Time,Frequency
0.0,341.59808660623
0.01,338.9353067447383
0.02,335.5190164740583
0.03,332.8270037553863
0.04,332.9930595721964
0.05,336.89483535529376
0.06,344.7214164784657
0.07,350.8757119798121
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,354.1267055321133
0.13,350.97984451210345
0.14,347.24502631715603
0.15,342.59185700441947
0.16,337.3578091435429
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,345.4370090193649
0.26,350.2553158999773
0.27,352.8071744014377
0.28,353.07264763397995
0.29,351.35846331119853
0.3,349.40900049676634
0.31,345.53120268790025
0.32,339.5866175426402
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,340.72005458654587
0.4,346.6628237991105
0.41,350.7456436398156
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,353.24815653682253
0.47,348.669934614364
0.48,344.1772444994694
0.49,338.74692477457654
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,341.2992185792978
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,330.7896019392201
1.17,326.09771696516367
1.18,324.4418056653166
1.19,325.11310317448226
1.2,327.5320944245161
1.21,330.3233239523465
1.22,333.27395528850275
1.23,339.94769705004416
1.24,347.7909567746443
1.25,352.9310671547038
1.26,357.46423710768346
1.27,359.6092356452436
1.28,359.4301389638847
1.29,356.3594734849516
1.3,352.84879275028635
