Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,173.13736160009773
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,173.33807072234669
0.33,174.51180530648813
0.34,175.70453640409994
0.35,177.07085499733165
0.36,177.53817231541947
0.37,177.52762276252577
0.38,177.15158112556364
0.39,177.10177419608814
0.4,176.8591967743062
0.41,176.55291026290377
0.42,175.98460290715127
0.43,175.95872258535903
0.44,175.53225242146198
0.45,174.59507071536208
0.46,172.9171580581181
0.47,170.23389553390163
0.48,nan
0.49,nan
0.5,159.9208798838225
0.51,nan
0.52,156.00007950140304
0.53,155.38258178489662
0.54,154.99485207480456
0.55,155.34920882836582
0.56,156.80673649441917
0.57,159.7230790676286
0.58,162.58036982062478
0.59,164.56017578673277
0.6,165.7433345698934
0.61,167.02600245827745
0.62,166.52550640370015
0.63,163.0505345095866
0.64,160.69657312120538
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,135.4649996654957
1.24,133.99251860341994
1.25,133.4279410060268
1.26,133.4372813112142
1.27,133.1713991383183
1.28,132.97592940689054
1.29,132.37516960218667
1.3,130.70852231357097
1.31,128.472731282851
1.32,125.517175115789
1.33,123.6383104392271
1.34,121.22478017333329
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,274.3551212398013
2.16,277.6683975427291
2.17,281.8144137644752
2.18,283.6675801756671
2.19,283.4575223524774
2.2,279.361085131517
2.21,275.91720688843856
2.22,274.21312457166823
2.23,272.528330194424
2.24,271.7220633970033
2.25,271.2718202336938
2.26,271.2261065482707
2.27,271.63142004064173
2.28,272.55896740235943
2.29,273.7855385284913
2.3,275.40456261854337
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,309.6943435437852
2.38,313.7169395029771
2.39,nan
2.4,nan
2.41,nan
2.42,314.1404567905853
