Time,Frequency
0.0,357.9295539695306
0.01,358.96029831280725
0.02,359.14059374571
0.03,358.94207796492145
0.04,355.048838914991
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,558.1696821523404
0.33,563.7565224138457
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,550.4948141109682
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,590.53904901157
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,588.9026542690416
0.55,582.3224901519269
0.56,575.1936220379613
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,394.4034642191838
1.31,394.9790617311832
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,390.30387231727
1.39,nan
1.4,nan
1.41,366.684722814683
1.42,357.2918007310209
1.43,nan
1.44,nan
1.45,356.3556337803044
1.46,362.62647844049815
1.47,367.04460503363833
1.48,369.05288254497054
1.49,369.972869587755
1.5,370.28289578186457
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,336.00035327509227
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,338.0425822199176
1.71,341.97568506801923
1.72,344.49967334584824
1.73,346.4960354919766
1.74,348.4018468917417
1.75,350.3489671362382
1.76,350.9701735963549
1.77,350.2538205733725
1.78,349.1899286977985
1.79,348.2911658881645
1.8,347.5815319185457
1.81,346.3408728756718
1.82,344.2317134911096
1.83,342.58160383298326
1.84,339.9232034085147
1.85,338.3080688653615
1.86,337.1689180848907
1.87,336.377197913678
1.88,337.06542219627835
1.89,nan
1.9,356.9984878299567
1.91,360.5131586825252
1.92,nan
1.93,nan
1.94,nan
1.95,352.6455598000737
1.96,350.1481007686411
1.97,348.02045393541493
1.98,345.53499102078064
1.99,342.0971153151941
2.0,338.7047595869154
2.01,337.2433253239214
2.02,337.4862950020828
2.03,338.34844311272803
2.04,339.4809132839964
2.05,341.85101687157544
2.06,344.86888523118
2.07,346.6507930197549
2.08,348.33220787239406
2.09,349.4896420776724
2.1,350.072996799844
2.11,350.35052055078296
2.12,349.6905968102419
2.13,348.95599021199706
2.14,347.8886514607978
2.15,345.7107051347995
2.16,343.05176455800364
2.17,340.4318375178719
2.18,338.3548671397211
2.19,337.23888002006856
2.2,336.4243043666071
2.21,335.568622181409
2.22,335.26931264367533
2.23,335.8519714423985
2.24,336.93602918843163
2.25,338.98181183479164
2.26,340.72295179876414
2.27,340.6590888069162
2.28,337.4369424617398
2.29,335.0990664295473
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
2.46,nan
2.47,nan
2.48,nan
2.49,nan
2.5,nan
2.51,nan
2.52,nan
2.53,nan
2.54,nan
2.55,nan
2.56,264.4776523996274
2.57,259.1956842883212
2.58,255.33973031310185
2.59,nan
2.6,nan
2.61,nan
2.62,256.4442217679402
2.63,nan
2.64,nan
2.65,272.1743548123285
2.66,nan
2.67,nan
2.68,nan
2.69,nan
2.7,nan
2.71,nan
2.72,nan
2.73,nan
2.74,nan
2.75,nan
2.76,nan
2.77,nan
2.78,nan
2.79,nan
2.8,nan
2.81,nan
2.82,nan
2.83,nan
2.84,nan
2.85,nan
2.86,nan
2.87,nan
2.88,nan
2.89,nan
2.9,nan
2.91,nan
2.92,nan
2.93,nan
2.94,nan
2.95,nan
2.96,nan
2.97,nan
2.98,nan
2.99,nan
3.0,nan
3.01,nan
3.02,nan
3.03,nan
3.04,nan
3.05,nan
3.06,nan
3.07,nan
3.08,nan
3.09,nan
3.1,nan
3.11,nan
3.12,nan
3.13,nan
3.14,nan
3.15,nan
3.16,nan
3.17,nan
3.18,nan
3.19,nan
3.2,nan
3.21,nan
3.22,nan
3.23,nan
3.24,400.5749502809661
3.25,nan
3.26,nan
3.27,375.0679605488472
3.28,nan
3.29,nan
3.3,nan
3.31,nan
3.32,nan
3.33,nan
3.34,378.9589101504757
3.35,385.1643074945116
3.36,393.1005235008106
3.37,nan
3.38,nan
3.39,nan
3.4,nan
3.41,392.9433353050279
3.42,387.8697138260009
3.43,384.5038053539348
3.44,380.77689754991707
3.45,378.0344816948064
3.46,377.4369735503225
3.47,nan
3.48,nan
3.49,nan
3.5,nan
3.51,nan
3.52,nan
3.53,nan
3.54,nan
3.55,nan
3.56,nan
3.57,nan
3.58,nan
3.59,nan
3.6,nan
3.61,nan
3.62,nan
3.63,nan
3.64,nan
3.65,nan
3.66,nan
3.67,nan
3.68,nan
3.69,nan
3.7,nan
3.71,nan
3.72,nan
3.73,nan
3.74,nan
3.75,nan
3.76,nan
3.77,nan
3.78,nan
3.79,nan
3.8,nan
3.81,nan
3.82,nan
3.83,nan
3.84,nan
3.85,nan
3.86,nan
3.87,nan
3.88,nan
3.89,nan
3.9,nan
3.91,337.4216550780951
3.92,340.77466164211273
3.93,343.6473304578448
3.94,345.0092625983458
3.95,345.4220690170714
3.96,346.1290681403278
3.97,348.0495385219061
3.98,349.01899390667984
3.99,349.00985937609926
4.0,347.91447778090145
4.01,346.1556090835479
4.02,343.57183518997067
4.03,340.678236553536
4.04,340.8123172809993
4.05,342.9414801287152
4.06,345.56636661589425
4.07,348.184128069604
4.08,350.861448292717
4.09,353.7787424620941
4.1,355.76989209774365
4.11,356.9934176245647
4.12,356.9759190091514
4.13,354.32445930265783
4.14,349.23290519246416
4.15,345.05947303591705
4.16,341.2019842989269
4.17,337.59889244514125
4.18,335.3892943597974
4.19,nan
4.2,335.100240780458
4.21,337.8790542111742
4.22,341.50101636899706
4.23,345.4981922827686
4.24,347.7540682429844
4.25,349.34419799424467
4.26,349.79624487745264
4.27,349.4595163726507
4.28,348.548230669423
4.29,347.064502293141
4.3,343.3248000837226
4.31,338.31678640582186
4.32,334.9591530437473
4.33,nan
4.34,331.763162117674
4.35,332.65580502452536
4.36,334.60187782068533
4.37,338.74746460525733
4.38,341.05641274070484
4.39,nan
4.4,nan
4.41,nan
4.42,nan
4.43,344.57499986780084
4.44,338.30074356483897
4.45,334.66687378660987
4.46,333.31058281940443
4.47,331.5893859044249
4.48,nan
4.49,nan
4.5,nan
4.51,nan
4.52,nan
4.53,nan
4.54,nan
4.55,nan
4.56,nan
4.57,nan
4.58,400.6388198951185
4.59,399.8348952739535
4.6,400.403738164341
4.61,402.9436233877567
4.62,406.0329421123751
4.63,408.2293788817908
4.64,409.7461955427272
4.65,409.5299605367836
4.66,407.9606993180764
4.67,405.6720003470303
4.68,400.6433173179267
4.69,nan
4.7,nan
4.71,nan
4.72,nan
4.73,nan
4.74,nan
4.75,nan
4.76,nan
4.77,nan
4.78,nan
4.79,nan
4.8,nan
4.81,nan
4.82,nan
4.83,nan
4.84,nan
4.85,nan
4.86,nan
4.87,nan
4.88,nan
4.89,nan
4.9,nan
4.91,nan
4.92,nan
4.93,nan
4.94,nan
4.95,nan
4.96,nan
4.97,nan
4.98,nan
4.99,nan
5.0,nan
5.01,nan
5.02,nan
5.03,nan
5.04,nan
5.05,nan
5.06,nan
5.07,nan
5.08,nan
5.09,nan
5.1,nan
5.11,nan
5.12,nan
5.13,nan
5.14,nan
5.15,nan
5.16,nan
5.17,nan
5.18,nan
5.19,nan
5.2,nan
5.21,nan
5.22,nan
5.23,nan
5.24,nan
5.25,nan
5.26,nan
5.27,nan
5.28,nan
5.29,nan
5.3,nan
5.31,nan
5.32,nan
5.33,nan
5.34,nan
5.35,428.8657544986767
5.36,433.89208362464456
5.37,437.55607745029295
5.38,439.00185501580086
5.39,439.9188851738589
5.4,440.9765983463109
5.41,440.0564785459738
5.42,435.1629343916285
5.43,431.7033245829504
5.44,430.0766822126789
5.45,nan
5.46,nan
5.47,nan
5.48,nan
5.49,nan
5.5,nan
5.51,nan
5.52,nan
5.53,nan
5.54,nan
5.55,nan
5.56,nan
5.57,nan
5.58,nan
5.59,nan
5.6,nan
5.61,nan
5.62,nan
5.63,nan
5.64,nan
5.65,nan
5.66,nan
5.67,nan
5.68,nan
5.69,nan
5.7,nan
5.71,nan
5.72,nan
5.73,nan
5.74,nan
5.75,nan
5.76,nan
5.77,nan
5.78,nan
5.79,nan
5.8,nan
5.81,nan
5.82,432.210580515517
5.83,428.5365239136732
5.84,nan
5.85,420.1785688070105
5.86,421.9842539619439
5.87,422.9916253492321
5.88,423.1696013531487
5.89,422.6713890932329
5.9,nan
5.91,420.80085726308346
5.92,419.7447751463489
5.93,417.55394970149695
5.94,411.3079038992611
5.95,408.216307573696
5.96,408.4401438798574
5.97,412.0986268511474
5.98,414.3319161692983
5.99,416.6036137181329
6.0,418.00773312812703
6.01,419.2340094158288
6.02,420.1365675459881
6.03,419.1616572000489
6.04,416.85890538313095
6.05,413.7596357222952
6.06,409.5523129326492
6.07,405.9369831285917
6.08,403.6812216153161
6.09,401.7553176341456
6.1,399.6954538713908
6.11,397.6391009139651
6.12,396.5799942251412
6.13,395.8643070361797
6.14,396.24435188109567
6.15,398.5590567904356
6.16,nan
6.17,nan
6.18,nan
6.19,nan
6.2,nan
6.21,nan
6.22,nan
6.23,nan
6.24,nan
6.25,nan
6.26,nan
6.27,nan
6.28,418.2899663015552
6.29,422.8329908048876
6.3,nan
6.31,nan
6.32,nan
6.33,nan
6.34,nan
6.35,nan
6.36,419.5912112591368
6.37,nan
6.38,nan
6.39,nan
6.4,nan
6.41,nan
6.42,nan
6.43,nan
6.44,nan
6.45,nan
