Time,Frequency
0.0,314.4501620717824
0.01,315.10930690027544
0.02,315.2484716669668
0.03,311.8766629136295
0.04,303.25524394021426
0.05,nan
0.06,nan
0.07,nan
0.08,269.0096288259021
0.09,265.791909631513
0.1,263.8484339742034
0.11,262.2106808654972
0.12,261.9505320055613
0.13,265.7175602292141
0.14,271.26376388465724
0.15,273.57478809526725
0.16,272.0691737194749
0.17,266.6831433535344
0.18,267.88688860934934
0.19,275.05590773573766
0.2,nan
0.21,nan
0.22,271.84610447269864
0.23,269.5269770357888
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,381.8589501457404
0.73,387.7821040649136
0.74,393.6645756699143
0.75,nan
0.76,nan
0.77,392.77502607227353
0.78,390.3865009965917
0.79,389.1848142935115
0.8,386.5807922449259
0.81,382.9736666636984
0.82,378.6561488828178
0.83,nan
0.84,nan
0.85,352.07439229204385
0.86,345.94279062245687
0.87,341.54893167419374
0.88,337.15553917317527
0.89,337.5080403980173
0.9,340.40105390851033
0.91,343.53739397850404
0.92,347.7031314287924
0.93,349.6823077376854
0.94,352.65526078417577
0.95,354.3078963379538
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,490.349798394253
1.47,487.5642997066364
1.48,485.2769141500852
1.49,485.1133206618061
1.5,487.3551547356656
1.51,491.6188538195757
1.52,495.0947887389776
1.53,498.2334162100948
1.54,502.2034084527229
1.55,504.982975017728
1.56,504.7611239764798
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,512.0308686771243
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
