Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,245.40695423635145
0.92,246.7752766250048
0.93,247.10407620709387
0.94,246.65694877738628
0.95,244.1454202316042
0.96,240.388918194188
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,249.3197861925535
1.08,251.77247358350235
1.09,253.48959177377031
1.1,253.66156731960572
1.11,252.926020888634
1.12,251.3071558640233
1.13,248.35141305447013
1.14,245.0943779807835
1.15,240.4891204365753
1.16,237.132084763792
1.17,nan
1.18,nan
1.19,nan
1.2,235.9616963993169
1.21,238.30484550208024
1.22,241.06237472233715
1.23,243.41732028424025
1.24,245.85733807985676
1.25,248.39316461257764
1.26,250.01105214078427
1.27,250.0078043728824
1.28,248.9629678290015
1.29,246.8026985180515
1.3,243.35026309727968
1.31,238.67733916494717
1.32,233.52792688012485
1.33,227.70817061400555
1.34,225.2206941933292
1.35,226.663948904098
1.36,231.07059157560215
1.37,238.47949824440357
1.38,242.65855421568148
1.39,248.1628381730308
1.4,254.4905443998116
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,252.449911498265
1.46,246.6740892476573
1.47,240.55752763843628
1.48,234.115569565165
1.49,226.9350576631054
1.5,nan
1.51,nan
1.52,233.4997236844802
1.53,237.0485740346193
1.54,239.1330154190342
1.55,240.99121586887628
1.56,243.00609331369407
1.57,244.10424211782512
1.58,244.0014125127556
1.59,242.8917483971908
1.6,240.7684585669445
1.61,237.73549026335888
1.62,235.1786228011392
1.63,nan
1.64,nan
1.65,236.4638462272095
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,234.05409741282037
1.77,234.9313978202955
1.78,236.77693645437185
1.79,242.04636113155544
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,241.42288209524483
1.88,235.94094383716524
1.89,230.42841585203985
1.9,225.56876630844096
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,225.4868289061593
1.97,229.24299878340136
1.98,233.90476146673572
1.99,236.69245463211928
2.0,239.57466327473503
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
