Time,Frequency
0.0,185.59432881143528
0.01,186.95995901410635
0.02,187.95493118832027
0.03,190.16606163521445
0.04,194.1604309491325
0.05,200.33239577970252
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,207.2130819269712
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,281.7454946884144
0.47,283.5293012729488
0.48,283.5206652431275
0.49,280.75751410854457
0.5,277.5683459846772
0.51,276.38960173199666
0.52,276.079658745817
0.53,274.8467383395258
0.54,273.24159477313253
0.55,271.83903263006374
0.56,270.5416712450725
0.57,269.800735211964
0.58,268.59007297816123
0.59,267.322626893887
0.6,266.43172247972
0.61,267.839074495854
0.62,269.6482843503431
0.63,272.77242280162505
0.64,274.4779906992127
0.65,275.9858321031587
0.66,277.20336118455884
0.67,277.69220211189685
0.68,277.55313208513326
0.69,277.4302004645224
0.7,277.5318986941456
0.71,277.9746033338714
0.72,278.2835896524859
0.73,278.227016029707
0.74,277.99453824058554
0.75,277.3045002322593
0.76,275.5897630966508
0.77,273.019806754158
0.78,268.6332812136813
0.79,264.8411946451926
0.8,262.4649789274361
0.81,260.8114475567128
0.82,260.027714821292
0.83,260.53595925081726
0.84,262.4706735904147
0.85,265.4013452866624
0.86,268.4272236948323
0.87,270.7565763985458
0.88,272.42049382897835
0.89,273.49684284632866
0.9,274.09977609122853
0.91,274.0086087985945
0.92,273.735510205513
0.93,272.6687759614898
0.94,268.9034217245683
0.95,267.4976654743964
0.96,265.42158196944496
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,205.65072253899916
1.26,207.2458777229932
1.27,209.95598498442345
1.28,213.4712773604109
1.29,217.1357347536427
1.3,220.4527871412084
1.31,222.71713221908865
1.32,223.3932483416817
1.33,223.17382033982463
1.34,220.7113734588892
1.35,216.93322152319
1.36,211.91658844280855
1.37,206.65424870074307
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,222.02589019767476
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,213.95494351410747
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,196.2188820773796
1.59,199.96232458032608
1.6,203.47014738083428
1.61,207.34226096757556
1.62,211.21074501033115
1.63,212.9714219482099
1.64,213.2965719415297
1.65,212.38023764477248
1.66,210.09868751215183
1.67,205.68413566022016
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,298.72302017425613
2.35,304.67600355848055
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,307.86181728082835
2.42,300.7503710101999
2.43,290.2444105763301
2.44,285.30081574925055
2.45,nan
2.46,nan
2.47,nan
2.48,288.8284291392191
2.49,294.0321651550615
2.5,299.0547666085692
2.51,302.87494560715106
2.52,304.9307397302913
2.53,nan
2.54,nan
2.55,nan
2.56,nan
2.57,nan
2.58,nan
2.59,nan
2.6,nan
2.61,nan
2.62,nan
2.63,nan
2.64,nan
2.65,nan
2.66,nan
2.67,nan
2.68,nan
2.69,nan
2.7,nan
2.71,nan
2.72,nan
2.73,nan
2.74,nan
2.75,nan
2.76,nan
2.77,nan
2.78,nan
2.79,nan
2.8,nan
2.81,nan
2.82,nan
2.83,nan
2.84,nan
2.85,nan
2.86,nan
2.87,nan
2.88,nan
2.89,nan
2.9,nan
2.91,nan
2.92,nan
2.93,nan
2.94,nan
2.95,nan
2.96,nan
2.97,nan
2.98,nan
2.99,nan
3.0,nan
3.01,nan
3.02,nan
3.03,nan
3.04,nan
3.05,nan
3.06,nan
3.07,nan
3.08,nan
3.09,nan
3.1,nan
3.11,nan
3.12,nan
3.13,nan
3.14,nan
3.15,nan
3.16,nan
3.17,nan
3.18,nan
3.19,nan
3.2,nan
3.21,nan
3.22,nan
3.23,nan
3.24,nan
3.25,nan
3.26,nan
3.27,nan
3.28,nan
3.29,nan
3.3,nan
3.31,nan
3.32,nan
3.33,nan
3.34,nan
3.35,nan
3.36,nan
3.37,nan
3.38,nan
3.39,nan
3.4,nan
3.41,nan
3.42,nan
3.43,nan
3.44,nan
3.45,nan
3.46,nan
3.47,nan
3.48,nan
3.49,nan
3.5,nan
3.51,nan
3.52,nan
3.53,nan
3.54,268.6214909473316
3.55,268.9622053096715
3.56,267.640158758287
3.57,263.7244763043887
3.58,259.9681961321952
3.59,258.7193514883544
3.6,260.6870700152588
3.61,269.65724794676686
3.62,272.1034394983662
3.63,272.23792749030406
3.64,271.8823272284841
3.65,272.20282551394496
3.66,270.8249696502521
3.67,267.9752804002474
3.68,nan
3.69,nan
3.7,nan
3.71,nan
3.72,nan
3.73,nan
3.74,nan
3.75,nan
3.76,nan
3.77,nan
3.78,nan
3.79,nan
3.8,nan
3.81,nan
3.82,nan
3.83,nan
3.84,nan
3.85,nan
3.86,nan
3.87,nan
3.88,nan
3.89,nan
3.9,nan
3.91,nan
3.92,nan
3.93,nan
3.94,nan
3.95,nan
3.96,nan
3.97,nan
3.98,nan
3.99,nan
4.0,nan
4.01,nan
4.02,nan
4.03,nan
4.04,nan
4.05,nan
4.06,nan
4.07,nan
4.08,nan
4.09,nan
4.1,nan
4.11,265.0332449530956
4.12,265.6344548175628
4.13,266.2360106675536
4.14,266.6675408589271
4.15,266.2357270428404
4.16,265.5802682931054
4.17,265.3677174616589
4.18,265.8696297157832
4.19,270.02157038009466
4.2,274.3432789746849
4.21,275.11195562169166
4.22,273.0223583295969
4.23,266.31533204510447
4.24,262.40653072039555
4.25,nan
4.26,nan
4.27,nan
4.28,nan
4.29,nan
4.3,nan
4.31,nan
4.32,nan
4.33,nan
4.34,nan
4.35,nan
4.36,nan
4.37,nan
4.38,nan
4.39,nan
4.4,nan
4.41,nan
4.42,nan
4.43,nan
4.44,nan
4.45,nan
4.46,nan
4.47,nan
4.48,nan
4.49,nan
4.5,nan
4.51,nan
4.52,nan
4.53,nan
4.54,nan
4.55,nan
4.56,nan
4.57,270.11691689340046
4.58,nan
4.59,nan
4.6,nan
4.61,267.38317581641405
4.62,271.9561714379548
4.63,275.9839318441823
4.64,278.28341356294686
4.65,279.8609642870751
4.66,279.5396988000692
4.67,277.3290229371627
4.68,273.76694927702306
4.69,269.7996074456853
4.7,265.2162122957469
4.71,261.6752902194513
4.72,nan
4.73,nan
4.74,269.3018576088677
4.75,273.4915293602029
4.76,276.49876139382013
4.77,nan
4.78,nan
4.79,nan
4.8,nan
4.81,nan
4.82,nan
4.83,nan
4.84,nan
4.85,nan
4.86,nan
4.87,nan
4.88,nan
4.89,nan
4.9,nan
4.91,nan
4.92,nan
4.93,nan
4.94,nan
4.95,nan
4.96,nan
4.97,nan
4.98,nan
4.99,nan
5.0,nan
5.01,nan
5.02,264.0462047321013
5.03,268.29957068913086
5.04,270.0936817209549
5.05,270.7584603749913
5.06,270.9473283721976
5.07,271.2444164445031
5.08,271.29231711461523
5.09,271.3993406783612
5.1,271.1548229111537
5.11,269.1154036873184
5.12,267.7158082702453
5.13,267.5701525832485
5.14,266.98473136677075
