Time,Frequency
0.0,484.6871742092028
0.01,486.01953610482985
0.02,485.5079660337675
0.03,483.0584101030399
0.04,478.38655799957473
0.05,473.37652555575227
0.06,465.0393058284527
0.07,nan
0.08,443.3167349591648
0.09,435.803727925138
0.1,432.4245332204856
0.11,431.7688336091389
0.12,431.9950439165972
0.13,432.7473817198588
0.14,432.88792671031024
0.15,432.1618288601067
0.16,431.2140341320998
0.17,428.66280807264303
0.18,422.6959720482532
0.19,420.276693973285
0.2,422.64306251035526
0.21,426.6483344418005
0.22,430.102191634412
0.23,429.787995170356
0.24,429.27930702424953
0.25,429.4774395291719
0.26,428.6648490233668
0.27,427.5868163284771
0.28,425.87235972390096
0.29,426.589294685779
0.3,421.0579270842248
0.31,nan
0.32,404.2929205966343
0.33,403.7923804994509
0.34,402.9713211892323
0.35,402.0807802919068
0.36,401.8244786078416
0.37,402.253104327908
0.38,403.66699513176377
0.39,405.3489914692447
0.4,406.7833172523188
0.41,408.1400174848585
0.42,409.3971043157126
0.43,411.1609927536354
0.44,412.2100108766844
0.45,413.3771083709116
0.46,414.3219075982944
0.47,413.2993599572182
0.48,411.2669556695175
0.49,409.88032781535566
0.5,408.7374105689032
0.51,406.29564298545694
0.52,404.1935743131936
0.53,400.98151506939394
0.54,396.9095433213994
0.55,nan
0.56,nan
0.57,395.8261928213394
0.58,398.3803075919758
0.59,401.3365404186823
0.6,406.4301200577865
0.61,411.9011105374205
0.62,414.7318205473865
0.63,415.4880893106948
0.64,415.9116604562076
0.65,415.71653588078
0.66,416.04647406606455
0.67,416.1277809109681
0.68,416.1253277628026
0.69,416.03393323125687
0.7,415.7794985902195
0.71,415.1899529836852
0.72,414.3538460625654
0.73,411.5005428332242
0.74,407.1835303154325
0.75,402.08841696536
0.76,396.8733914189916
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,395.888419385619
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,335.93886538859834
1.43,339.44859428174016
1.44,342.9122349280889
1.45,nan
1.46,346.66273411841564
1.47,346.24496606072705
1.48,345.243825947556
1.49,342.4558548551884
1.5,337.91392636866186
1.51,334.9397230796979
1.52,333.4733318233146
1.53,333.3621504721112
1.54,334.31704288998003
1.55,336.849713325821
1.56,340.79263822997865
1.57,344.6061268655068
1.58,347.67177294388887
1.59,350.833428910254
1.6,354.83526857314763
