Time,Frequency
0.0,283.31952237157475
0.01,282.7205217402084
0.02,281.79302093881967
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,295.02949496582625
0.42,299.89133606038985
0.43,302.75596241971704
0.44,305.6159714328836
0.45,308.1625648799795
0.46,311.6205806790133
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,258.9716682369644
0.84,265.548256999293
0.85,270.0119651650443
0.86,272.9112513919551
0.87,273.916587961372
0.88,273.7634245439878
0.89,273.0197690777685
0.9,271.5327117340568
0.91,269.1320943886243
0.92,266.33559070081395
0.93,261.4313653611091
0.94,258.2044987010602
0.95,257.22469142587425
0.96,257.9607089691432
0.97,260.3684160908917
0.98,264.1842987948055
0.99,267.76603508763446
1.0,270.6566164925144
1.01,272.5239224202861
1.02,274.1697205982072
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,308.8066978363583
1.08,312.12059944890007
1.09,313.5968746121568
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,314.592657581152
1.15,307.57868564023005
1.16,302.43035287332094
1.17,294.6275496240359
1.18,288.26036316569605
1.19,nan
1.2,nan
1.21,282.36657382532235
1.22,286.44154116644364
1.23,290.98102416602035
1.24,294.71820072611155
1.25,297.7576675411166
1.26,299.10386037760566
1.27,299.8575129530081
1.28,299.2077731083798
1.29,294.0147074309492
1.3,288.70498664361446
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,292.83316595530334
1.58,283.6929010034261
1.59,278.4575935834858
1.6,277.5954531798842
1.61,277.03290172901904
1.62,278.23938695438454
1.63,280.9983274604729
1.64,284.52853179434504
1.65,290.25220199545936
1.66,293.6131838791795
1.67,294.1224557590917
1.68,292.0362519694567
1.69,288.07733651329625
1.7,284.68024882424464
1.71,281.031272436372
1.72,277.91007558013456
1.73,276.9969873672233
1.74,278.45389372275065
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,256.12301998421134
1.9,260.0834608583973
1.91,265.00570070865444
1.92,267.851378243568
1.93,269.28885495989977
1.94,269.2883688495476
1.95,268.5486201105472
1.96,267.4529546995108
1.97,265.9046756886606
1.98,264.3775239248872
1.99,260.574529079291
2.0,255.1446720072758
2.01,nan
2.02,nan
2.03,256.15900029775
2.04,258.8148601289806
2.05,262.20926279848914
2.06,266.87211647729896
2.07,270.82432832847564
2.08,273.4942146502292
2.09,nan
2.1,nan
2.11,278.6246454458352
2.12,276.6096381473928
2.13,273.18795974295847
2.14,268.0365343362305
2.15,263.247312893145
2.16,260.1473598512554
2.17,258.1440081799344
2.18,258.0280063517681
2.19,260.5894899337908
2.2,265.07996695233584
2.21,268.79250593323985
2.22,270.27130320236614
2.23,269.7563698096766
2.24,267.4809200333413
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,303.2964904373528
2.41,298.94061468239283
2.42,295.022280957455
2.43,295.20097760994844
2.44,297.7539428270947
2.45,301.86833630731206
2.46,305.04794918423704
2.47,307.7319262126465
2.48,308.2738700600416
2.49,306.9126913925558
2.5,303.57496263385946
2.51,296.00392992670135
2.52,289.897549544902
2.53,nan
2.54,nan
2.55,nan
2.56,272.343243613441
2.57,260.3134090257604
2.58,nan
2.59,nan
2.6,255.7663695387851
2.61,259.3258744083973
2.62,265.3203187985348
2.63,270.16327385834086
2.64,272.1061672669041
2.65,273.4575758951039
2.66,274.5195161395773
2.67,274.2096682754575
2.68,272.41661533224755
2.69,270.42714099460443
2.7,267.73061026179323
2.71,nan
2.72,nan
2.73,272.79634401336057
2.74,271.8992790554237
2.75,271.32081483658857
2.76,271.36064423842566
2.77,270.51794194377925
2.78,271.3608572876413
2.79,271.42033343406973
2.8,nan
2.81,nan
2.82,nan
2.83,nan
2.84,nan
2.85,nan
2.86,nan
2.87,nan
2.88,nan
2.89,314.16172385431634
2.9,317.4630640042479
2.91,319.9063676626929
2.92,320.6747690686368
2.93,320.7710816264806
2.94,321.67278462408706
2.95,321.0179928393841
2.96,318.1847113014098
2.97,313.20671473596127
2.98,307.1979005353856
2.99,303.0127260701811
3.0,297.17157012122294
3.01,290.2712480161886
3.02,286.27696273974186
3.03,285.04282695205666
3.04,285.55382935414946
3.05,287.7817194708523
3.06,292.52276871695153
3.07,295.7163495119779
3.08,295.814978443208
3.09,293.9868359009446
3.1,nan
3.11,nan
3.12,nan
3.13,nan
3.14,nan
3.15,nan
3.16,nan
3.17,nan
3.18,nan
3.19,nan
3.2,nan
3.21,nan
3.22,nan
3.23,nan
3.24,nan
3.25,nan
3.26,nan
3.27,nan
3.28,nan
3.29,nan
3.3,nan
3.31,nan
3.32,nan
3.33,nan
3.34,nan
3.35,nan
3.36,nan
3.37,nan
3.38,nan
3.39,nan
3.4,nan
3.41,nan
3.42,nan
3.43,nan
3.44,nan
3.45,nan
3.46,378.2371042907661
3.47,nan
3.48,nan
3.49,nan
3.5,379.22857182719656
3.51,nan
3.52,nan
3.53,nan
3.54,nan
3.55,nan
3.56,382.07317982621527
3.57,nan
3.58,nan
3.59,nan
3.6,nan
3.61,332.8361767029466
3.62,334.9113060837983
3.63,334.46535005252474
3.64,333.9532249305341
3.65,332.42281165254974
3.66,330.44415303633195
3.67,329.28097399576075
3.68,329.0189511000488
3.69,328.24164595202404
3.7,326.0684028668977
3.71,320.2045800593986
3.72,nan
3.73,nan
3.74,nan
3.75,nan
3.76,nan
3.77,255.49273570690508
3.78,nan
3.79,nan
3.8,257.46198177713035
3.81,260.7791372991453
3.82,265.1226672708486
3.83,267.4898641792598
3.84,269.9594907143322
3.85,271.2975844642472
3.86,272.3403836740476
3.87,273.69865638219375
3.88,274.4920949701124
3.89,274.45269262373506
3.9,273.0353417498136
3.91,270.32646659783217
3.92,267.27457410465087
3.93,264.0331692006543
3.94,261.5038101498058
3.95,258.8658377358193
3.96,257.3351442513714
3.97,257.52863663071184
3.98,259.2725308323914
3.99,262.7308047056919
4.0,266.92813382889875
4.01,270.2997804211512
4.02,272.9022489086334
4.03,274.5162901290619
4.04,nan
4.05,274.80032018064696
4.06,273.3139891794274
4.07,270.54627456352256
4.08,267.0588134113366
4.09,263.3597945428453
4.1,260.51302565851734
4.11,258.93938079224654
4.12,259.2353690283722
4.13,260.89119278396464
