Time,Frequency
0.0,249.597877555769
0.01,249.3522493722388
0.02,249.73769210137948
0.03,250.86714483691043
0.04,252.7852146904088
0.05,255.026590396725
0.06,257.19664951384533
0.07,257.8112677366151
0.08,257.76183457973593
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,195.1209840554875
0.23,198.03653131263272
0.24,201.38691765234051
0.25,204.45762813494463
0.26,207.22534414768197
0.27,209.23046788032323
0.28,210.6500979144704
0.29,210.59327488914303
0.3,208.8258276773585
0.31,206.173979052236
0.32,nan
0.33,nan
0.34,185.92627658620063
0.35,185.79596388254623
0.36,nan
0.37,nan
0.38,nan
0.39,187.57052140540068
0.4,191.16924409584448
0.41,194.6944691169257
0.42,nan
0.43,nan
0.44,203.87707714788817
0.45,204.1571947913742
0.46,203.71097591467787
0.47,nan
0.48,nan
0.49,193.5586848586147
0.5,192.47954356135529
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,227.7291147727218
0.67,230.80112999663757
0.68,232.9272303856814
0.69,235.04651135073448
0.7,236.97606382248668
0.71,239.7978011225028
0.72,242.15097126741156
0.73,244.03273802204117
0.74,245.2071484710834
0.75,245.8111846464048
0.76,245.4894307817121
0.77,246.71572337738695
0.78,248.85240048848905
0.79,251.2231797158452
0.8,252.508573574436
0.81,252.9296097876352
0.82,253.1748161662724
0.83,254.02214424716053
0.84,252.82152058554843
0.85,252.281149556874
0.86,252.65170964228912
0.87,252.76230144456065
0.88,253.76036142073545
0.89,255.71799497638983
0.9,258.3186312084909
0.91,259.47037233393405
0.92,258.5285583284195
0.93,257.23600150223234
0.94,257.7339534106472
0.95,260.57308537669235
0.96,263.02769494562835
0.97,264.42937430724334
0.98,264.6961122563432
0.99,264.29706408322
1.0,263.382774323769
1.01,262.60124585566786
1.02,262.0139217995108
1.03,260.137819941438
1.04,nan
1.05,nan
1.06,nan
1.07,264.4179321875721
1.08,263.71293255657304
1.09,260.99596351057653
1.1,259.3533904611472
1.11,258.61517940510737
1.12,258.288258855707
1.13,257.592815948794
1.14,258.5104131461802
1.15,259.83853890751
1.16,261.1972921679427
1.17,262.52505929185907
1.18,263.8762416886568
1.19,265.8068923319481
1.2,267.102455123139
1.21,267.8730049150837
1.22,267.99264317422154
1.23,265.7266659307194
1.24,262.38056266620924
1.25,260.029113340854
1.26,258.5986033875414
1.27,257.7064230681153
1.28,256.31976887233344
1.29,256.276273524798
1.3,257.20469097817704
1.31,257.9949930647038
1.32,258.7449326431288
1.33,258.190843692495
1.34,258.14381093892564
1.35,259.4454398518386
1.36,261.18520251542554
1.37,261.3273267168323
1.38,259.9429212287992
1.39,257.0464146246268
1.4,253.36673883630667
1.41,250.36220528827096
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,261.81486352118105
1.62,262.85698695464527
1.63,263.097352235032
1.64,262.28088404668176
1.65,260.16411150973875
1.66,258.3848892836934
1.67,256.97470920735617
1.68,255.4227491495656
1.69,254.4880496219325
1.7,254.36769630233223
1.71,254.5244618002448
1.72,255.0239962709205
1.73,256.28978464633224
1.74,258.31647565846487
1.75,261.4005218169264
1.76,264.7704835434365
1.77,267.2913608439628
1.78,268.91322931377937
1.79,270.06423971168874
1.8,270.48179351793686
1.81,269.29250545681657
1.82,266.5820806669836
1.83,261.83508771854906
1.84,257.708568726141
1.85,256.0200096992688
1.86,255.5390917521241
1.87,256.00870045097946
1.88,257.93398422313004
1.89,259.8905405756636
1.9,261.16134489913856
1.91,263.6898545347517
1.92,266.82973255862936
1.93,268.74420225781944
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
2.46,nan
2.47,nan
2.48,nan
2.49,nan
2.5,nan
2.51,nan
2.52,nan
2.53,nan
2.54,nan
2.55,nan
2.56,nan
2.57,nan
2.58,nan
2.59,nan
2.6,nan
2.61,nan
2.62,nan
2.63,nan
2.64,nan
2.65,nan
2.66,nan
2.67,295.8563268578565
2.68,300.09912615281013
2.69,303.1226212477826
2.7,304.3679603561213
2.71,304.69323034356626
2.72,304.44191933497746
2.73,304.33088652829053
2.74,304.58818424165617
2.75,304.3775963720737
2.76,302.6822101804617
2.77,299.4430780972615
2.78,295.2796984279486
2.79,291.70264218567746
2.8,289.23800801613567
2.81,287.48493096503347
2.82,286.1439307567732
2.83,284.95854108105334
2.84,283.5043161299978
2.85,280.4505475904831
2.86,280.0626486045082
2.87,280.38570579067255
2.88,279.3892492819539
2.89,278.19301653920314
2.9,277.23495369986705
2.91,276.3317136730324
2.92,274.9648925076277
2.93,274.03591984567333
2.94,273.2807360478505
2.95,272.6988305112098
2.96,272.4837024634268
2.97,272.8022726433459
2.98,273.5497556077077
2.99,274.1783609943328
3.0,274.7648810244266
3.01,275.1690324451641
3.02,275.35175787047524
3.03,274.9365703559824
3.04,273.85965027790945
3.05,272.2738350795913
3.06,269.78353360654245
3.07,268.4097670657153
3.08,266.65429433170084
3.09,nan
3.1,nan
3.11,nan
3.12,nan
3.13,nan
3.14,256.0127824165943
3.15,259.45820896858453
3.16,266.2276806611694
3.17,268.76169283443977
3.18,269.2875130083406
3.19,nan
3.2,nan
3.21,nan
3.22,262.0008897563087
3.23,nan
3.24,nan
3.25,nan
3.26,nan
3.27,nan
3.28,nan
3.29,nan
3.3,nan
3.31,nan
3.32,250.3314229986447
3.33,254.7706095680738
3.34,254.9891423994049
3.35,252.9206134815201
3.36,251.93285774545043
3.37,253.00578517167452
3.38,254.38972378802015
3.39,254.5668959318523
3.4,252.73003768183943
3.41,248.0139426298093
3.42,241.8015561351312
3.43,nan
3.44,nan
3.45,nan
3.46,nan
3.47,nan
3.48,nan
3.49,nan
3.5,nan
3.51,nan
3.52,nan
3.53,nan
3.54,nan
3.55,nan
3.56,nan
3.57,nan
3.58,nan
3.59,nan
3.6,nan
3.61,nan
3.62,nan
3.63,nan
3.64,nan
3.65,nan
3.66,nan
3.67,nan
3.68,nan
3.69,nan
3.7,nan
3.71,nan
3.72,nan
3.73,nan
3.74,nan
3.75,nan
3.76,nan
3.77,nan
3.78,nan
3.79,nan
3.8,nan
3.81,nan
3.82,nan
3.83,nan
3.84,nan
3.85,nan
3.86,202.4223153941163
3.87,nan
3.88,nan
3.89,nan
3.9,nan
3.91,nan
3.92,nan
3.93,nan
3.94,nan
3.95,nan
3.96,nan
3.97,nan
3.98,nan
3.99,nan
4.0,nan
4.01,nan
4.02,251.65421130354036
4.03,252.9225259405071
4.04,252.01720112692516
4.05,251.00461124022868
4.06,251.84713666070056
4.07,253.5461145543103
4.08,256.16265640244217
4.09,259.8465629522996
4.1,262.7937632952221
4.11,263.8228863143171
4.12,263.7084036049717
4.13,265.3335951453962
4.14,265.8534681727751
4.15,266.6290294833798
4.16,267.10074151136484
4.17,267.9990094974212
4.18,268.30041350422414
4.19,270.341055184746
4.2,272.6960141681844
4.21,274.10954202997084
4.22,270.095033333075
4.23,265.069023216752
4.24,256.6176955842307
4.25,256.00600046052773
4.26,259.31831159105747
4.27,261.73050270055137
4.28,265.00201585717826
4.29,268.8076870353976
4.3,270.6357830780338
4.31,270.2736790886326
4.32,267.62829087390867
4.33,nan
4.34,nan
4.35,nan
4.36,nan
4.37,nan
4.38,nan
4.39,nan
4.4,nan
4.41,nan
4.42,nan
4.43,nan
4.44,nan
4.45,nan
4.46,nan
4.47,nan
4.48,nan
4.49,nan
4.5,nan
4.51,nan
4.52,nan
4.53,nan
4.54,nan
4.55,nan
4.56,nan
4.57,nan
4.58,nan
4.59,nan
4.6,nan
4.61,nan
4.62,nan
4.63,nan
4.64,nan
4.65,nan
4.66,nan
4.67,nan
4.68,nan
4.69,nan
4.7,nan
4.71,nan
4.72,nan
4.73,nan
4.74,nan
4.75,nan
4.76,nan
4.77,nan
4.78,nan
4.79,nan
4.8,nan
4.81,nan
4.82,nan
4.83,nan
4.84,nan
4.85,nan
4.86,nan
4.87,nan
4.88,nan
4.89,nan
4.9,nan
4.91,nan
4.92,nan
4.93,nan
4.94,nan
4.95,nan
4.96,nan
4.97,nan
4.98,nan
4.99,nan
5.0,nan
5.01,nan
5.02,nan
5.03,nan
5.04,313.00441920258146
5.05,311.1098145165644
5.06,309.9160792761981
5.07,309.6196344233906
5.08,310.2923283429481
5.09,310.69461118792594
5.1,310.8947230239331
5.11,310.0405466541257
5.12,307.7584512609923
5.13,303.2854185058341
5.14,297.5905005864525
5.15,nan
5.16,nan
5.17,nan
5.18,nan
5.19,nan
5.2,nan
5.21,nan
5.22,nan
5.23,nan
5.24,nan
5.25,nan
5.26,nan
5.27,nan
5.28,nan
5.29,nan
5.3,nan
5.31,nan
5.32,nan
5.33,nan
5.34,nan
5.35,255.5366989298901
5.36,256.1592670668924
5.37,256.5013878828541
5.38,256.697605868713
5.39,257.66644249467794
5.4,258.848174132094
5.41,260.5148453076112
5.42,262.3073532789072
5.43,264.80182075079017
5.44,266.5922958127815
5.45,267.6280746472649
5.46,268.57723854113806
5.47,269.9212973874889
5.48,271.0538634483786
5.49,271.900501770998
5.5,270.75597376228563
5.51,267.8219876993102
5.52,264.45423186872546
5.53,261.51318375749355
5.54,259.63866797011394
5.55,258.6892427598891
5.56,258.60913706198164
5.57,259.2748207872379
5.58,261.0170380930074
5.59,262.99289462413253
5.6,265.643600576613
5.61,268.3575142927197
5.62,269.3353442749408
5.63,268.3631923675772
5.64,267.0591172587926
5.65,265.18524905729845
5.66,264.6443261017505
5.67,265.0197005100516
5.68,265.1494290860574
5.69,263.7187363227196
5.7,262.0307434351934
5.71,261.60525209627565
5.72,261.6588309501639
5.73,261.8895836019418
5.74,262.7439091913599
5.75,264.69251326150606
5.76,265.44177627758773
5.77,264.56371198576534
5.78,262.15291056047465
5.79,259.00863508718584
5.8,254.56900460014057
5.81,250.3660255059965
5.82,247.91779932285053
5.83,247.3884966550632
5.84,248.01216075084335
5.85,250.8671806017199
5.86,255.75792781617747
5.87,259.9378499556361
5.88,263.97207519552063
5.89,nan
5.9,nan
5.91,nan
5.92,nan
5.93,nan
5.94,nan
5.95,nan
5.96,nan
5.97,nan
5.98,nan
5.99,nan
6.0,nan
6.01,nan
6.02,nan
6.03,nan
6.04,nan
6.05,nan
6.06,nan
6.07,nan
6.08,nan
6.09,nan
6.1,nan
6.11,nan
6.12,nan
6.13,251.4591933982272
6.14,nan
6.15,nan
6.16,nan
6.17,nan
6.18,nan
6.19,nan
6.2,251.8307167244317
6.21,256.44356163619204
6.22,261.632670141851
6.23,264.4228938970936
6.24,264.513931803589
6.25,263.6508375510515
6.26,261.37159620528143
6.27,257.77752072062816
6.28,254.67927517446412
6.29,251.58968077567783
6.3,250.4548757056182
6.31,250.96926094140483
6.32,252.1880038181436
6.33,254.0110447497672
6.34,254.3205360137389
6.35,253.86368806898244
6.36,257.089957703468
