Time,Frequency
0.0,nan
0.01,206.6995792498795
0.02,205.54154659728545
0.03,204.64829680557855
0.04,201.42917782673817
0.05,197.5119943646436
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,206.52640676970557
0.15,210.11080965702772
0.16,212.1117214828016
0.17,213.14711374982892
0.18,212.17628407295803
0.19,210.2604485718224
0.2,208.5260349890296
0.21,207.57083597677132
0.22,206.55089450298132
0.23,205.43197842904755
0.24,203.79680784428228
0.25,202.00235155206016
0.26,199.8461402871692
0.27,198.92196822966244
0.28,199.110163398298
0.29,199.95407669213316
0.3,201.03367582134732
0.31,202.1916173758017
0.32,203.8158620329172
0.33,205.10822080073072
0.34,205.90215563355
0.35,206.58439848647407
0.36,207.1784056733941
0.37,207.5836969794594
0.38,208.19490947489064
0.39,208.8664097118204
0.4,208.9729931677186
0.41,208.0146510403715
0.42,207.04185248688927
0.43,205.961982263822
0.44,205.06933464256755
0.45,203.928843928424
0.46,202.1689470789364
0.47,199.71680356024285
0.48,197.9920787026516
0.49,197.3732275679025
0.5,197.5923068178352
0.51,198.43275959557332
0.52,199.60521816244065
0.53,200.93159154383488
0.54,202.20910474527852
0.55,203.91987396061083
0.56,205.49647138811292
0.57,206.98871883100315
0.58,208.4925647422908
0.59,209.68821294012056
0.6,209.7906384213667
0.61,208.91685248948409
0.62,207.50177176856332
0.63,205.78114097331127
0.64,204.3104731512952
0.65,202.5303946555169
0.66,200.72581824331309
0.67,199.4400771771268
0.68,199.4767987073921
0.69,200.77480956239089
0.7,202.91916625103863
0.71,204.6632333744218
0.72,206.23170017443988
0.73,207.85853898295107
0.74,209.00065880056536
0.75,209.6193628804864
0.76,209.28440878510963
0.77,208.06547219985805
0.78,206.440890650805
0.79,204.84952760355063
0.8,202.5704573352022
0.81,198.5945332034493
0.82,195.6636123314942
0.83,194.0499381324629
0.84,193.6744590862357
0.85,194.49252753467803
0.86,196.3978838208224
0.87,199.0854410911499
0.88,202.41080869058013
0.89,204.99034085998272
0.9,206.76200848961625
0.91,207.9505090785991
0.92,208.705649785103
0.93,209.5572943587132
0.94,209.980013354793
0.95,209.54384026752825
0.96,208.06739333804677
0.97,206.6607116033329
0.98,204.9206763266584
0.99,203.1267950539912
1.0,200.6811865024868
1.01,198.89841960291204
1.02,198.48698390212664
1.03,199.41812090293251
1.04,201.5546357426959
1.05,204.2806236891344
1.06,206.56128974819836
1.07,nan
1.08,nan
1.09,219.66723043762977
1.1,220.558453507184
1.11,218.1811453449639
1.12,216.32797717255715
1.13,213.53431770581167
1.14,nan
1.15,nan
1.16,198.4766967468728
1.17,195.05301315734516
1.18,194.30013851233755
1.19,195.3071837744878
1.2,196.5628880249243
1.21,198.5492017774912
1.22,201.699300638994
1.23,205.082278507036
1.24,207.97201638558755
1.25,210.2956254706092
1.26,211.84462986684167
1.27,213.02119114664407
1.28,212.8752588650796
1.29,210.4759453745713
1.3,207.72897282628952
1.31,205.24065150483244
1.32,201.78011741059868
1.33,199.43369902660595
1.34,198.01749293602032
1.35,196.91010545931252
1.36,196.382991254315
1.37,197.33387430896852
1.38,199.4268302870231
1.39,202.5268585876093
1.4,206.26134516379267
1.41,208.79244142345036
1.42,211.20907272137455
1.43,213.3607308162012
1.44,214.8284308583545
1.45,215.41054225101053
1.46,215.11143942472717
1.47,214.0075041735361
1.48,210.51064009744888
1.49,nan
1.5,nan
1.51,200.2348808630627
1.52,197.08951174281947
1.53,196.0833598954256
1.54,196.4740681570288
1.55,197.1709073382803
1.56,197.8125251460687
1.57,199.14545579126252
1.58,202.80280325087284
1.59,207.16758062503845
1.6,211.78823992896068
1.61,216.4308508473696
1.62,218.342441021874
1.63,218.20076439653607
1.64,216.8562829317652
1.65,215.59044002939743
1.66,214.2121986387569
1.67,210.99539728855493
1.68,207.7012069162973
1.69,nan
1.7,199.1335247247744
1.71,196.1336592376209
1.72,195.56136772585853
1.73,196.3472237232168
1.74,198.1625273472972
1.75,200.50650644707792
1.76,203.22234928575463
1.77,205.0731260650092
1.78,206.7437831487173
1.79,208.845675298154
1.8,210.66600258994288
1.81,211.4909945201823
1.82,211.2411668644641
1.83,210.2172398465912
1.84,209.43296546802745
1.85,209.2949818046128
1.86,208.30958232237543
1.87,206.5887105988927
1.88,204.99133358535636
1.89,203.30629253157693
1.9,202.21430643444785
1.91,201.96316399768796
1.92,201.54827943837245
1.93,201.9279768802488
1.94,203.38711605250347
1.95,205.17125574465376
1.96,207.74925511335675
1.97,210.44989149479937
1.98,211.95418481446416
1.99,212.46442831000653
2.0,212.48891409077015
2.01,211.7965095873804
2.02,209.76164157611817
2.03,208.01029913578253
2.04,206.1989716274664
2.05,203.76639843941476
2.06,201.0882092610269
2.07,198.0175294716901
2.08,195.94888123220844
2.09,195.0524002909341
2.1,195.60011813444464
2.11,196.07835736187084
2.12,197.0802977693688
2.13,199.07519348487995
2.14,201.28652234098183
2.15,203.34537276244103
2.16,204.8436398480693
2.17,205.63627141809255
2.18,206.21334528115855
2.19,206.65090121352503
2.2,207.2782229012953
2.21,207.9969075850424
2.22,207.6577301713215
2.23,206.08802732016247
2.24,204.11769683917555
2.25,202.17590970558712
2.26,200.0015476532763
2.27,198.070362856328
2.28,197.681053808277
2.29,199.02249216731877
2.3,201.19792043039905
2.31,202.52678075597868
2.32,202.86171033622057
2.33,203.17702564031669
2.34,203.50686852408344
2.35,203.4735363323425
2.36,203.69798695943436
2.37,204.4059993017515
2.38,205.171366323865
2.39,205.66037803674777
2.4,205.5372417615013
2.41,205.17323922930305
2.42,204.95666030896675
2.43,204.4175882567238
2.44,203.40198619465428
2.45,201.44296950944545
2.46,199.16280250587548
2.47,196.89921538947505
2.48,195.17314002356952
2.49,194.23450317080452
2.5,194.7516371221709
2.51,195.94748204202827
2.52,197.3883405221404
2.53,199.2821057460082
2.54,201.03354356123705
2.55,203.00125011411927
2.56,204.66295016170744
2.57,205.9595985220375
2.58,207.13770077507888
2.59,208.10782274262328
2.6,208.2446126422213
2.61,207.8398416692405
2.62,206.7390394905598
2.63,205.83682121283712
2.64,205.4067133675665
2.65,204.8357197955714
2.66,204.7341820249434
2.67,204.33691830564712
2.68,203.47611326602845
2.69,202.2704753053391
2.7,201.24626395307945
2.71,200.8645910663546
2.72,201.15365332372423
2.73,201.98153523313263
2.74,203.41488816828212
2.75,205.08707387813703
2.76,207.02945032766468
2.77,208.4653569321472
2.78,209.8950191818837
2.79,211.19559760005976
2.8,212.4368060314069
2.81,213.08507298954456
2.82,213.18173541804504
2.83,212.35651971598992
2.84,210.060554662958
2.85,207.41999768093632
2.86,205.525094957033
2.87,203.51098375827564
2.88,201.78278025133028
2.89,201.29184924848045
2.9,202.0255688433932
2.91,202.9145168759869
2.92,204.3467370510085
2.93,206.1956488461224
2.94,207.5603596813781
2.95,208.18976511301813
2.96,208.5376676700544
2.97,208.72183856321712
2.98,208.95731734801612
2.99,209.3896567813248
3.0,206.99514150557388
3.01,204.2849632250738
3.02,202.60807664469627
3.03,201.82926544482984
3.04,201.7002958887429
3.05,202.60958886290865
3.06,204.02680554269807
3.07,204.6519228672317
3.08,205.0462144694357
3.09,205.93437215023152
3.1,207.0534096111894
3.11,207.66895592733616
3.12,207.72647550814705
3.13,nan
3.14,nan
3.15,nan
3.16,nan
3.17,nan
3.18,nan
3.19,nan
3.2,nan
3.21,nan
3.22,nan
3.23,nan
3.24,nan
3.25,nan
3.26,nan
3.27,nan
3.28,nan
3.29,nan
3.3,nan
3.31,nan
3.32,nan
3.33,nan
3.34,nan
3.35,nan
3.36,nan
3.37,nan
3.38,nan
3.39,nan
3.4,nan
3.41,nan
3.42,nan
3.43,nan
3.44,nan
3.45,nan
3.46,nan
3.47,nan
3.48,nan
3.49,nan
3.5,nan
3.51,nan
3.52,nan
3.53,nan
3.54,nan
3.55,nan
3.56,nan
3.57,nan
3.58,nan
3.59,nan
3.6,nan
3.61,nan
3.62,nan
3.63,nan
3.64,nan
3.65,nan
3.66,nan
3.67,nan
3.68,nan
3.69,nan
3.7,nan
3.71,nan
3.72,nan
3.73,nan
3.74,nan
3.75,nan
3.76,nan
3.77,nan
3.78,nan
3.79,nan
3.8,nan
3.81,nan
3.82,nan
3.83,nan
3.84,nan
3.85,nan
3.86,nan
3.87,nan
3.88,nan
3.89,nan
3.9,nan
3.91,nan
3.92,nan
3.93,nan
3.94,nan
3.95,nan
3.96,nan
3.97,nan
3.98,nan
3.99,nan
4.0,nan
4.01,nan
4.02,nan
4.03,nan
4.04,nan
4.05,nan
4.06,nan
4.07,nan
4.08,nan
4.09,nan
4.1,nan
4.11,nan
4.12,nan
4.13,nan
4.14,nan
4.15,nan
4.16,nan
4.17,nan
4.18,nan
4.19,nan
4.2,nan
4.21,nan
4.22,nan
4.23,nan
4.24,nan
4.25,nan
4.26,nan
4.27,nan
4.28,nan
4.29,nan
4.3,nan
4.31,nan
4.32,nan
4.33,nan
4.34,nan
4.35,nan
4.36,nan
4.37,nan
4.38,nan
4.39,nan
4.4,nan
4.41,nan
4.42,nan
4.43,nan
4.44,nan
4.45,nan
4.46,nan
4.47,nan
4.48,nan
4.49,nan
4.5,nan
4.51,nan
4.52,nan
4.53,nan
4.54,nan
4.55,nan
4.56,nan
4.57,nan
4.58,nan
4.59,nan
4.6,nan
4.61,nan
4.62,nan
4.63,nan
4.64,nan
4.65,nan
4.66,nan
4.67,nan
4.68,nan
4.69,nan
4.7,nan
4.71,nan
4.72,nan
4.73,nan
4.74,nan
4.75,nan
4.76,nan
4.77,nan
4.78,nan
4.79,nan
4.8,nan
4.81,nan
4.82,nan
4.83,nan
4.84,nan
4.85,nan
4.86,nan
4.87,nan
4.88,nan
4.89,nan
4.9,nan
4.91,317.9076141578438
4.92,320.9913972722064
4.93,323.7386411680945
4.94,325.7951975736932
4.95,328.17424033554767
4.96,329.90576076592225
4.97,331.0725507392246
4.98,332.652554572358
4.99,333.49137543612073
5.0,333.1201043332326
5.01,331.3991226018138
5.02,329.59949644510453
5.03,nan
5.04,310.8323778049388
5.05,308.66556070295223
5.06,307.46187681484594
5.07,305.9703466236708
5.08,308.582577906526
5.09,nan
5.1,329.6271320055588
5.11,330.03428412703363
5.12,329.2294967886908
5.13,329.46597197605405
5.14,331.7641241429092
5.15,334.4749848811342
5.16,334.4544959968127
5.17,332.8176043961436
5.18,331.89348497216685
5.19,331.8471398704974
5.2,331.5542080388497
5.21,330.7264878462846
5.22,330.53136051670947
5.23,330.7139910407465
5.24,331.1185741837665
5.25,331.4456745845232
5.26,331.2344668422504
5.27,331.31753544268133
5.28,332.7657420692008
5.29,335.8513913010776
5.3,337.8134239864993
5.31,336.7946609897205
5.32,333.7134234193305
5.33,330.9414881641492
5.34,329.4256490204413
5.35,329.35124374901113
5.36,329.8080724033128
5.37,330.4239823628274
5.38,331.4923460662556
5.39,332.8889551541028
5.4,333.9868386633045
5.41,334.601487498592
5.42,334.41936084813165
5.43,334.6800905450614
5.44,336.4952641020765
5.45,337.240032490858
5.46,336.4263315268228
5.47,334.5151240781175
5.48,332.6739215617559
5.49,331.81439904532044
5.5,331.8198758056681
5.51,332.0009724928969
5.52,332.3324212544165
5.53,332.70612367953936
5.54,333.07821663762616
5.55,333.6362031343248
5.56,334.1970417445094
5.57,334.3109691130703
5.58,333.8610633158911
5.59,333.381655460337
5.6,333.53572062447233
5.61,334.7237027128265
5.62,336.679120847192
5.63,337.9178448744542
5.64,338.3951103990918
5.65,337.5593636327872
5.66,335.61162546063736
5.67,333.08273370857466
5.68,331.6029318097071
5.69,331.8932295626521
5.7,334.94818163249334
5.71,340.3039378969846
5.72,341.81354070321413
5.73,340.5521751952397
5.74,339.6078277725609
5.75,337.8453524348876
5.76,335.72921659368325
5.77,333.5060378516864
5.78,331.0221400365628
5.79,328.3008289630617
5.8,325.7171093511886
5.81,322.5951952092371
5.82,nan
5.83,nan
5.84,nan
5.85,nan
5.86,nan
5.87,nan
5.88,nan
5.89,nan
5.9,nan
5.91,nan
5.92,nan
5.93,nan
5.94,nan
5.95,nan
5.96,nan
5.97,nan
5.98,nan
5.99,nan
6.0,nan
6.01,nan
6.02,nan
6.03,nan
6.04,nan
6.05,nan
6.06,nan
6.07,nan
6.08,nan
6.09,nan
6.1,nan
6.11,nan
6.12,nan
6.13,nan
6.14,nan
6.15,nan
6.16,nan
6.17,nan
6.18,nan
6.19,nan
6.2,nan
6.21,nan
6.22,nan
6.23,nan
6.24,nan
6.25,nan
6.26,nan
6.27,nan
6.28,nan
6.29,nan
6.3,nan
6.31,nan
6.32,nan
6.33,nan
6.34,nan
6.35,nan
6.36,nan
6.37,nan
6.38,nan
6.39,nan
6.4,325.496728108287
6.41,330.25064243972645
6.42,333.027899528882
6.43,333.49652115907014
6.44,331.5305625148502
6.45,328.7061568718866
6.46,326.2483937686899
6.47,326.7461924255057
6.48,329.5743780321702
6.49,333.67724980431376
6.5,337.91281445805055
6.51,339.30741271715067
6.52,340.39568252679686
6.53,341.2922007415857
6.54,342.26821202441
6.55,342.57780267785245
6.56,343.3548269503236
6.57,344.6727779054769
6.58,345.51871858638435
6.59,345.7010453241429
6.6,344.9404026589343
6.61,343.2499037763484
6.62,340.1573468430016
6.63,337.11623431119847
6.64,336.3050892043448
6.65,nan
6.66,333.57170402815746
6.67,335.4140101797851
6.68,340.3781142223925
6.69,341.08547159733126
6.7,336.91166748293915
6.71,334.5850838035829
6.72,334.8131522517407
6.73,335.80887361120114
6.74,337.9485293283858
6.75,340.4385801236887
6.76,342.797967252524
6.77,345.0934353068947
6.78,344.9703477821268
6.79,341.5858807878208
6.8,339.13932194862497
6.81,339.32969098144247
6.82,339.8051283008524
6.83,338.5229970433818
6.84,335.18231359482456
6.85,332.7046928361742
6.86,331.1185074088472
6.87,330.96668889949456
6.88,331.3058438912974
6.89,331.95283152701955
6.9,332.73843391223886
6.91,332.796392747157
6.92,331.9612132526293
6.93,331.04785845983434
6.94,330.6332085440917
6.95,330.947533358495
6.96,331.4424543784788
6.97,331.58420383232766
6.98,331.49308344235294
6.99,330.5766694434594
7.0,329.2918118563126
7.01,328.94120750789483
7.02,329.73412160837665
7.03,331.2371571127337
7.04,333.15038110519185
7.05,334.6334799582255
7.06,335.28988774379053
7.07,334.9675244528494
7.08,334.946790016299
7.09,336.29488107580875
7.1,338.41471902359024
7.11,339.9142928467511
7.12,340.3113596534169
7.13,340.632748627799
7.14,340.893560526174
7.15,340.9323841966338
7.16,339.79367302773073
7.17,339.56718581293023
7.18,340.804159401426
7.19,341.705146517691
7.2,341.7283246772429
7.21,340.56047645457
7.22,339.0431563457405
7.23,338.8212209962956
7.24,339.0528889877045
7.25,339.1179175081678
7.26,339.44989041203667
7.27,340.7373888676772
7.28,341.5609826543578
7.29,341.50690596131096
7.3,339.87445748872085
7.31,337.188379888126
7.32,335.6175046815961
7.33,335.455861593694
7.34,336.6300231712497
7.35,336.82585335024163
7.36,335.81720115026155
7.37,334.7089171758017
7.38,333.98651357138107
7.39,333.7949829675204
7.4,333.66374382266133
7.41,333.60625373817874
7.42,333.54582849548626
7.43,333.76269233566234
7.44,334.19916348994343
7.45,334.73884043280486
7.46,334.92789397892693
7.47,334.44495178268005
7.48,334.0500834195144
7.49,333.66232952199607
7.5,333.99459552652905
7.51,334.15501720204577
7.52,333.91549021368405
7.53,333.73631270348744
7.54,333.60995637436594
7.55,334.26974818448576
7.56,335.56333580397427
7.57,335.57409714125333
7.58,334.8659958021874
7.59,334.4908734564657
7.6,334.8346379664292
7.61,335.684409527462
7.62,336.0076254432584
7.63,335.05102466898654
7.64,333.4743672444108
7.65,332.09443246897945
7.66,330.8699521477953
7.67,329.610735934166
7.68,329.12149778820014
7.69,328.87828402281093
7.7,329.05534454356336
7.71,329.45743080465314
7.72,329.92188187862587
7.73,330.57726582662906
7.74,332.0805486683826
7.75,333.1252785667301
7.76,333.0701117025154
7.77,332.9393076394081
7.78,332.77277723484616
7.79,332.8385363122694
7.8,333.5345918697008
7.81,335.1046195544304
7.82,336.18549088666094
7.83,335.70569334523924
7.84,334.7173256693411
7.85,334.0702693512228
7.86,333.59036272335686
7.87,333.8365364589652
7.88,335.60105236935897
7.89,337.55648563456805
7.9,338.3311919565356
7.91,337.76311401605744
7.92,336.34164803721177
7.93,334.7048972381157
7.94,332.8674503989408
7.95,330.3658800107476
7.96,329.6420546741625
7.97,330.12933962198923
7.98,331.95791212335
7.99,333.6787557608855
8.0,334.7873689181069
8.01,337.4001828672297
8.02,342.2798193456112
8.03,nan
8.04,nan
8.05,nan
8.06,346.74808646672466
8.07,341.90887014729776
8.08,338.6772942738771
8.09,335.7067510965541
8.1,334.62562643933927
8.11,334.33613789830895
8.12,334.52153004252693
8.13,333.769935035872
8.14,332.56803901554565
8.15,331.4535314677665
8.16,330.57984192213013
8.17,329.88133449330985
8.18,330.25121873406385
8.19,330.979270325758
