Time,Frequency
0.0,239.5141587497908
0.01,240.61486089831385
0.02,nan
0.03,nan
0.04,nan
0.05,254.00581111735312
0.06,257.65764629427724
0.07,259.7662165320085
0.08,261.1549642479392
0.09,261.6387183511848
0.1,260.8036337241997
0.11,259.3506103416971
0.12,256.5833304495202
0.13,nan
0.14,nan
0.15,244.36025129378703
0.16,241.3662669855373
0.17,238.3564988614021
0.18,235.84224942894292
0.19,234.4006953237208
0.2,236.4671118132919
0.21,241.94366629512757
0.22,nan
0.23,nan
0.24,nan
0.25,264.6029933282517
0.26,266.8634142216391
0.27,268.9038092295079
0.28,268.90986652038987
0.29,267.92408073715075
0.3,265.5497490718467
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,221.36234028026627
0.57,218.5627942036599
0.58,214.10564136965024
0.59,210.91504776119163
0.6,211.24024893509497
0.61,212.965130098804
0.62,211.97614735119487
0.63,208.5340012819178
0.64,204.41965560835945
0.65,201.82399718065088
0.66,202.2609886591924
0.67,201.79434220484825
0.68,198.17229233903996
0.69,193.02677589896683
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,171.16883323814417
0.75,167.88302684933302
0.76,165.1867336508715
0.77,162.34674549549695
0.78,159.32872909333418
0.79,156.11426021084776
0.8,154.68117220504115
0.81,nan
0.82,nan
0.83,155.11461337283112
0.84,155.40789216516683
0.85,155.65462906967187
0.86,155.1470037617021
0.87,153.3073210103367
0.88,150.3764449788662
0.89,148.3226081891296
0.9,148.1482637572056
0.91,151.3307828893457
0.92,155.2813533605309
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,480.18837699363553
1.21,484.1416030949501
1.22,484.50610317996654
1.23,485.6023328095671
1.24,488.2892088854337
1.25,489.2846853511225
1.26,485.9230846933554
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,373.9777045581442
1.35,368.5911862822186
1.36,370.36704229605664
1.37,370.8060412799269
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,318.0112265228332
1.56,321.98146391914287
1.57,322.32771815738994
1.58,320.57922081147666
1.59,318.0926441557818
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,249.9097444385337
1.67,247.44818125623527
1.68,246.63083244355528
1.69,245.1253248061801
1.7,239.11815318387252
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,186.65304594871597
1.83,184.27133625755965
1.84,181.69899070721664
1.85,179.18170116461343
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,155.09506219415923
1.92,151.86207698441248
1.93,150.1504599293114
1.94,148.73465376169688
1.95,146.01942906675458
1.96,142.6386143858776
1.97,139.32799265818795
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,116.5355555483152
2.05,113.88911435467315
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
2.46,nan
2.47,nan
2.48,nan
2.49,nan
2.5,nan
2.51,nan
2.52,nan
2.53,nan
2.54,nan
2.55,nan
2.56,nan
2.57,nan
2.58,nan
2.59,nan
2.6,nan
2.61,nan
2.62,nan
2.63,nan
2.64,nan
2.65,nan
2.66,nan
2.67,nan
2.68,nan
2.69,nan
2.7,nan
2.71,nan
2.72,nan
2.73,nan
2.74,nan
2.75,nan
2.76,nan
2.77,nan
2.78,nan
2.79,nan
2.8,nan
2.81,nan
2.82,nan
2.83,nan
2.84,nan
2.85,nan
2.86,nan
2.87,nan
2.88,nan
2.89,nan
2.9,nan
2.91,nan
2.92,nan
2.93,nan
2.94,nan
2.95,nan
2.96,nan
2.97,nan
2.98,nan
2.99,nan
3.0,nan
3.01,nan
3.02,nan
3.03,nan
3.04,nan
3.05,nan
3.06,nan
3.07,nan
3.08,nan
3.09,nan
3.1,nan
3.11,nan
3.12,nan
3.13,nan
3.14,nan
3.15,nan
3.16,nan
3.17,nan
3.18,nan
3.19,nan
3.2,nan
3.21,nan
3.22,nan
3.23,nan
3.24,nan
3.25,nan
3.26,nan
3.27,nan
3.28,nan
3.29,nan
3.3,nan
3.31,nan
3.32,nan
3.33,nan
3.34,nan
3.35,nan
3.36,nan
3.37,nan
3.38,nan
3.39,nan
3.4,nan
3.41,nan
3.42,nan
3.43,nan
3.44,nan
3.45,nan
3.46,nan
3.47,nan
3.48,nan
3.49,nan
3.5,nan
3.51,nan
3.52,nan
3.53,nan
3.54,nan
3.55,nan
3.56,nan
3.57,nan
3.58,nan
3.59,nan
3.6,nan
3.61,nan
3.62,nan
3.63,nan
3.64,nan
3.65,458.85547418544144
3.66,458.7568214784103
3.67,458.3614529146304
3.68,459.3030868921951
3.69,465.3246939813744
3.7,466.2770907808394
3.71,464.741142219036
3.72,464.58170663213
3.73,461.5237536407992
3.74,nan
3.75,nan
3.76,nan
3.77,nan
3.78,458.0737240124892
3.79,457.0532242123
3.8,456.3670444751783
3.81,457.0315047670917
3.82,454.9806182273472
3.83,453.4441390390753
3.84,454.7336194479944
3.85,459.1400935964217
3.86,465.8903204633879
3.87,470.4472610072301
3.88,nan
3.89,472.4752081555571
3.9,466.1670939644179
3.91,nan
3.92,463.4584610955258
3.93,468.4328230109557
3.94,470.6308322172205
3.95,467.626084426345
3.96,468.91196742625226
3.97,473.2433925231447
3.98,473.50842162782976
3.99,472.86583748645177
4.0,472.4263985896989
4.01,471.5959927829576
4.02,nan
4.03,nan
4.04,nan
4.05,nan
4.06,nan
4.07,nan
4.08,nan
4.09,475.9919165420149
4.1,476.5523001459928
4.11,478.10156677942297
4.12,479.360197328186
4.13,479.3149962463287
4.14,477.0080254643617
4.15,476.7945100451659
4.16,477.3997404617144
4.17,474.6807045626071
4.18,469.9114962911836
4.19,469.69874579011054
4.2,468.94587887478974
4.21,468.0547150868683
4.22,468.26896397268064
4.23,468.8875300225605
4.24,471.6405672040832
4.25,473.8582511407758
4.26,475.0233448442652
4.27,474.6748028554589
4.28,473.22659810134576
4.29,471.6143074431618
4.3,470.1801371157536
4.31,471.2128087745914
4.32,472.5436306652465
4.33,471.4804036348353
4.34,471.2097910859902
4.35,471.91764913874914
4.36,472.6378077107246
4.37,474.2443138584924
4.38,475.90772782537033
4.39,476.19309820343096
4.4,474.25491435896913
4.41,472.794309054384
4.42,474.6669151002159
4.43,475.8400430726672
4.44,472.4870187216517
4.45,471.1732300424678
4.46,471.3139028316744
4.47,470.6795354466685
4.48,469.2666119508488
4.49,467.1764627712816
4.5,467.5866301002316
4.51,470.3475465533546
4.52,470.8895446453753
4.53,469.89204425029686
4.54,470.3214413220233
4.55,468.84704123336456
4.56,463.803297033347
4.57,462.3497525485306
4.58,466.6154340454059
4.59,466.70667559799097
4.6,463.3530538548257
4.61,461.5266632950119
4.62,456.2439885190293
4.63,450.126408282886
4.64,445.4692510318349
4.65,446.3235107878244
4.66,450.3509254986806
4.67,449.7340248737635
4.68,444.78436817836587
4.69,451.0427567583666
4.7,nan
4.71,nan
4.72,448.79078012165854
4.73,443.9444570155332
4.74,442.4878128876457
4.75,442.21887287628215
4.76,443.0628822777981
4.77,443.8281826897038
4.78,443.1782984751826
4.79,440.0552668134631
4.8,433.6940130719613
4.81,431.8902188758413
4.82,430.8897034854493
4.83,430.8473486054677
4.84,430.7030505184232
4.85,422.8007880452726
4.86,nan
4.87,nan
4.88,nan
4.89,nan
4.9,nan
4.91,401.9311617480956
4.92,401.69915725879457
4.93,398.6893963134945
4.94,392.5842193902242
4.95,388.36818903611
4.96,390.0185031433825
4.97,394.3613907429641
4.98,394.4095115364764
