Time,Frequency
0.0,260.92644365713784
0.01,260.2452601325899
0.02,259.4346942890115
0.03,259.2252321748569
0.04,258.7403144586916
0.05,258.41473800526336
0.06,257.47558404343454
0.07,256.8820804217875
0.08,255.5143983517069
0.09,253.84475078779903
0.1,252.0553201509273
0.11,250.91557051489232
0.12,250.2736346983751
0.13,250.14361474187453
0.14,250.5479713202755
0.15,251.412058639433
0.16,252.3519085393158
0.17,253.8720503901086
0.18,255.6620540915048
0.19,257.22201540939375
0.2,258.8622745823387
0.21,260.18504285722975
0.22,260.9186401299916
0.23,261.20654427852173
0.24,260.92520420130575
0.25,260.1374917190537
0.26,258.43118953587333
0.27,256.0539072158356
0.28,251.4827769809197
0.29,247.3074919096428
0.3,245.1000389842647
0.31,244.6705743325603
0.32,248.38556134752923
0.33,nan
0.34,268.2844774557899
0.35,271.3830222681501
0.36,271.7398323422498
0.37,272.07465685136884
0.38,272.1100230979581
0.39,270.6251807311897
0.4,267.21076516676334
0.41,nan
0.42,nan
0.43,250.42408181738452
0.44,247.71977043218757
0.45,246.60698535458548
0.46,246.26498335156936
0.47,246.5743883812078
0.48,246.5434885210621
0.49,246.3127104499524
0.5,246.65226933795407
0.51,247.86182088085485
0.52,249.0575003340251
0.53,250.389285100402
0.54,251.50585271067064
0.55,252.5670224748564
0.56,253.88295933749328
0.57,254.87541718236596
0.58,255.4759986498528
0.59,255.35427951421
0.6,254.29462725798288
0.61,252.67052170021717
0.62,251.0900531367409
0.63,250.60362075000148
0.64,250.8952241072796
0.65,251.92261598393856
0.66,252.8656082398011
0.67,254.0595198352464
0.68,255.1276151707096
0.69,255.31190285108093
0.7,252.90555925544396
0.71,250.12146858748304
0.72,248.67968956782505
0.73,247.743472694724
0.74,247.4996364636872
0.75,248.1806614384166
0.76,250.2723243062981
0.77,254.35468288956795
0.78,257.2779185603257
0.79,260.16715795251696
0.8,263.04667766593644
0.81,266.03461778130475
0.82,268.30002236620453
0.83,269.76175940782593
0.84,270.2249634996157
0.85,269.1472509155607
0.86,266.0814993086756
0.87,nan
0.88,nan
0.89,nan
0.9,243.81509148215423
0.91,241.24890728206825
0.92,241.1646358924764
0.93,243.71571033039388
0.94,247.3907861683372
0.95,nan
0.96,nan
0.97,263.341239570542
0.98,266.5256960499915
0.99,269.1063440169048
1.0,269.8104606346915
1.01,269.92062831976784
1.02,268.64893817109385
1.03,264.93399066623255
1.04,nan
1.05,nan
1.06,238.22980395240964
1.07,234.2590373990081
1.08,233.79271940571115
1.09,236.06498047318289
1.1,240.4585866197381
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,276.60407556294825
1.33,271.8951865055694
1.34,268.81787610564146
1.35,269.79156704645345
1.36,274.2255475214516
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,294.0307836480916
1.42,300.0771301077621
1.43,nan
1.44,302.2051713246166
1.45,298.6286782354552
1.46,295.45826980379394
1.47,293.4660620835321
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,346.0067589914028
1.59,349.26178815635103
1.6,350.7029117000378
1.61,350.979003455722
1.62,349.5249985033848
1.63,346.90481504878875
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,323.2156669749368
1.94,327.99744219258054
1.95,330.364156368868
1.96,330.7150457459062
1.97,329.58400785417047
1.98,326.2299851843287
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
