Time,Frequency
0.0,365.008949194411
0.01,362.4553548587925
0.02,360.18816572838614
0.03,356.4594542802982
0.04,353.682975322463
0.05,354.541567039251
0.06,357.1310646592786
0.07,360.6135427656992
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,372.49279262941786
0.16,nan
0.17,364.2936484285837
0.18,359.11863963814176
0.19,357.8350074614548
0.2,359.760085978686
0.21,361.1768960588204
0.22,366.8330605987254
0.23,372.9720691666251
0.24,376.68168347513017
0.25,378.7425005779815
0.26,378.9907201080376
0.27,377.5256236487388
0.28,373.56518997669104
0.29,nan
0.3,nan
0.31,359.3622458136025
0.32,357.1058060197098
0.33,356.5184109753363
0.34,356.6676132414694
0.35,356.5565602044481
0.36,355.38623874912304
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,379.6264764142205
0.45,nan
0.46,367.9362696562533
0.47,366.9000623890148
0.48,366.20756050818375
0.49,364.1842052067624
0.5,361.69252969961127
0.51,357.6990339682163
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,315.7296645942779
0.57,313.65473789000146
0.58,312.447334168589
0.59,312.1143098217815
0.6,311.3374927854952
0.61,311.392781808999
0.62,311.0431189548513
0.63,309.987779423555
0.64,307.4075019219563
0.65,303.5249730202576
0.66,nan
0.67,nan
0.68,289.0807105496876
0.69,nan
0.7,nan
0.71,287.7041459719003
0.72,294.5823713938273
0.73,298.83178413860986
0.74,301.591154227023
0.75,302.77413465492555
0.76,302.9619708723893
0.77,300.43821914831426
0.78,295.55848018983914
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,269.76623134786826
0.95,266.8206819914499
0.96,265.934370888305
0.97,265.31335079686164
0.98,265.39179637534227
0.99,265.39639237586186
1.0,264.43856558678505
1.01,262.48213725370937
1.02,nan
1.03,nan
1.04,nan
1.05,333.1356524611235
1.06,333.8924895923234
1.07,333.7521253287091
1.08,332.1229656194282
1.09,328.75933136429006
1.1,nan
1.11,nan
1.12,nan
1.13,301.24730467675005
1.14,296.84181987412506
1.15,295.7250147536122
1.16,297.693652288385
1.17,301.2831287762978
1.18,304.6130779609135
1.19,309.6428211228928
1.2,313.81883628256725
1.21,316.973618664881
1.22,316.04127164382965
1.23,311.233213851022
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,402.02794948930233
1.35,nan
1.36,402.19118409644415
1.37,398.2512238081381
1.38,393.7798970500014
1.39,392.6264385940246
1.4,393.7876754745832
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,294.3040209825502
1.46,298.1069922614482
1.47,300.3264309247588
1.48,301.19836650659363
1.49,300.0370458470736
1.5,297.2329711879377
1.51,293.2876522559216
1.52,288.7074255281092
1.53,283.86957793241044
1.54,281.86274665301903
1.55,282.17617472447665
1.56,283.8049392225085
1.57,286.85160223247067
1.58,291.3556297846402
1.59,297.4638149506192
1.6,299.6919743788864
1.61,299.7923186704514
