Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,318.341619192496
0.2,318.61445284470153
0.21,320.74325144218875
0.22,321.66181292263474
0.23,321.2500896734607
0.24,320.4314631448668
0.25,316.7873652736858
0.26,313.40499508833585
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,320.1906168395544
0.45,319.8243732575256
0.46,320.9162011841119
0.47,321.4241950895505
0.48,320.83691797298394
0.49,320.07755571756866
0.5,318.2846801124017
0.51,317.6842706566743
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,247.70925308213705
0.64,250.85198023743655
0.65,253.79783333597143
0.66,254.8813241251651
0.67,253.62017609194737
0.68,250.48578308432167
0.69,247.9204761652313
0.7,246.101393751472
0.71,246.05773155470587
0.72,247.1500491140681
0.73,249.86054051102744
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,182.91994141993075
1.15,179.1789984439709
1.16,179.28134691019264
1.17,181.7649851514575
1.18,184.86714756679584
1.19,187.4097605944104
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,215.50073284985527
1.25,217.59514576066357
1.26,218.00177162142745
1.27,217.1279404477789
1.28,215.16813288497903
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,170.88690967407035
1.34,167.96921109560162
1.35,167.54788431776788
1.36,168.28821549489788
1.37,171.74739976850128
1.38,176.2054976969782
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,180.43270375595077
1.5,177.5687460808955
1.51,175.06787008481993
1.52,173.4037312585218
1.53,172.6692482784138
1.54,173.47850462772078
1.55,175.3010729235168
1.56,nan
1.57,nan
1.58,nan
1.59,226.42817057004163
1.6,229.47976409761736
1.61,229.8451687122559
1.62,227.4187241874418
1.63,222.72421820356516
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,218.0552062527659
1.77,222.44052624311843
1.78,nan
1.79,218.4398982840712
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,209.7738540506688
1.93,nan
1.94,nan
1.95,208.5245993768531
1.96,nan
1.97,nan
1.98,nan
1.99,178.58842454633364
2.0,nan
2.01,177.7783861114078
2.02,179.40358750289386
2.03,nan
2.04,nan
2.05,213.54206112080075
2.06,nan
2.07,nan
2.08,215.7899621341372
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
