Time,Frequency
0.0,nan
0.01,nan
0.02,471.2804336708434
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,444.9644634177329
0.11,nan
0.12,465.4672230362312
0.13,464.8182563034376
0.14,465.0931809422269
0.15,465.7277485403972
0.16,465.48347734046513
0.17,465.70074692765104
0.18,466.7106826238856
0.19,469.1647345812052
0.2,471.2583835714522
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,469.33011825127335
0.33,467.2936633107228
0.34,466.35319683128
0.35,464.1640623799509
0.36,462.21602655397766
0.37,463.6931928599146
0.38,466.89152397111263
0.39,468.9204217794515
0.4,469.9266307211426
0.41,470.5120583798636
0.42,470.81786278420674
0.43,470.6841042490052
0.44,470.5663052494372
0.45,470.1444765908471
0.46,470.3155939048089
0.47,470.43754331906007
0.48,470.3262433562262
0.49,470.6949011095441
0.5,nan
0.51,471.3316815980282
0.52,466.8017740031741
0.53,463.9979716124411
0.54,464.2576290722203
0.55,465.264890356089
0.56,466.73549551451714
0.57,468.16231781536857
0.58,469.8357544667258
0.59,470.56657763919
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,470.8805208781973
0.7,468.5688665742943
0.71,465.749334656437
0.72,462.5445844425253
0.73,461.1543251005492
0.74,461.0222869438969
0.75,460.8378002589397
0.76,461.9746022787698
0.77,463.9301033551891
0.78,466.29304883322106
0.79,468.6154593808408
0.8,469.76147565369695
0.81,470.2872952959957
0.82,470.1505982307971
0.83,468.0840274851739
0.84,463.2307118983499
0.85,457.1049994832404
0.86,446.9905134399888
0.87,440.7986604408709
0.88,440.0336071739591
0.89,441.5393707421296
0.9,444.2982815616415
0.91,448.57097646133616
0.92,457.37629876348
0.93,463.8229056995985
0.94,466.067603837084
0.95,466.7173808169946
0.96,466.06045373755256
0.97,465.8241309650001
0.98,463.33675119690827
0.99,459.7192134440664
1.0,454.7892584415497
1.01,445.7837754650026
1.02,436.5739391806239
1.03,428.1577496604688
1.04,423.13219154789886
1.05,423.8869596358394
1.06,427.5675526303112
1.07,431.3890110614526
1.08,434.6496825973503
1.09,437.08772737534304
1.1,438.3583923940219
1.11,440.2932171565124
1.12,443.0209809744032
1.13,445.4475208378136
1.14,445.9015420295624
1.15,445.8559119854728
1.16,444.9836313227273
1.17,443.4096422413477
1.18,441.8692389916884
1.19,441.389323702869
1.2,441.3333666358503
1.21,442.2795931855868
1.22,443.32455148127735
1.23,442.91911369105617
1.24,440.899348553226
1.25,436.9492029885147
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,409.82633670168354
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,468.79236304479576
1.42,469.7139057485143
1.43,471.3112275810209
1.44,471.296771104209
1.45,469.9573391429526
1.46,469.73135869085695
1.47,470.7566462406989
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,469.57270266976514
1.62,467.996753526048
1.63,467.9466086869257
1.64,467.314348578911
1.65,463.6985113021774
1.66,459.3494721821588
1.67,457.6545099247371
1.68,459.2401634654231
1.69,462.5408608088383
1.7,465.9031359904893
1.71,467.3036348405527
1.72,467.81722030872857
1.73,468.63400211091465
1.74,469.461087696754
1.75,471.2048136904067
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,469.7606225367936
1.82,467.5360406901654
1.83,465.42337780490107
1.84,462.9961575892037
1.85,461.3913178526823
1.86,460.319846017157
1.87,460.1828414519172
1.88,460.831414312389
1.89,462.0938770819844
1.9,463.5340074144037
1.91,464.415004102081
1.92,466.1364227481056
1.93,467.1216027594692
1.94,467.0575238593468
