Time,Frequency
0.0,nan
0.01,167.2357455583492
0.02,165.9805662567064
0.03,164.0138892540099
0.04,162.06700612692816
0.05,161.60090742875684
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,129.83452784560228
0.13,131.68447386628768
0.14,134.9465504919793
0.15,nan
0.16,nan
0.17,nan
0.18,160.25851044671018
0.19,164.4565739346297
0.2,167.72213089921306
0.21,170.95516964828536
0.22,172.66815922021547
0.23,172.5528755147012
0.24,170.7795832275079
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,131.76405068278603
0.31,136.0565577538603
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,211.5643323806682
0.63,213.1280573670356
0.64,213.71203324717035
0.65,214.69882784546
0.66,216.0404733172463
0.67,217.5888432725088
0.68,219.1559862157169
0.69,220.91128224773564
0.7,222.4906110285764
0.71,223.54200690767752
0.72,224.2654598515968
0.73,223.5252141832309
0.74,221.44010044172575
0.75,219.11852685857968
0.76,217.4596210001248
0.77,214.88836545854517
0.78,211.269961957856
0.79,208.1655263447784
0.8,nan
0.81,196.52319942896276
0.82,195.07788038619088
0.83,196.7247648934659
0.84,nan
0.85,209.35558460576544
0.86,213.63991103214656
0.87,215.68199570193784
0.88,215.1860604066839
0.89,214.1792945220757
0.9,213.9058447888941
0.91,214.0329305596902
0.92,215.5484751747426
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,244.22627463726707
1.04,246.87826710442903
1.05,248.31304491114255
1.06,248.42617726060564
1.07,247.424174437765
1.08,245.70119364035415
1.09,241.67401750488008
1.1,nan
1.11,nan
1.12,nan
1.13,206.27596496504663
1.14,204.3519647430141
1.15,206.40227349300943
1.16,209.18166048646512
1.17,214.3850998846436
1.18,nan
1.19,nan
1.2,240.9745113453991
1.21,245.78060870170876
1.22,248.34245160994192
1.23,249.49763094673045
1.24,249.65317706620925
1.25,248.51129404232495
1.26,247.0808958306122
1.27,244.21635164899465
1.28,240.3653338344739
1.29,235.47608724723705
1.3,nan
1.31,nan
1.32,nan
1.33,206.0136581924195
1.34,203.85916001560733
1.35,205.37881421925908
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,252.0189858143317
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,252.50326716285423
1.58,254.54397979201727
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,253.71626486067663
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,211.4318869299096
1.69,208.6946996417544
1.7,209.77001210931385
1.71,212.05505306348343
1.72,216.7377749458112
1.73,223.36280951009925
1.74,nan
1.75,nan
1.76,252.81082940138188
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,155.64587096119072
1.92,158.27784944282703
1.93,nan
1.94,171.53612300017326
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,123.15720671555589
2.02,122.19575144021908
2.03,nan
2.04,134.53651867341398
2.05,nan
2.06,nan
2.07,161.58115296467287
2.08,165.63419824081035
2.09,169.29555755581373
2.1,172.19043425849324
2.11,171.04076794153468
2.12,166.55373311623006
2.13,164.12703638885228
2.14,nan
2.15,nan
2.16,139.67632106184888
2.17,136.4823024148845
2.18,135.39353133808137
2.19,137.09323267835862
2.2,139.22650308869927
2.21,141.27876923970334
2.22,144.42593003871718
2.23,146.92460915794453
2.24,149.30724975936866
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,210.59501693553003
2.37,208.3338205987975
2.38,206.5458131891772
2.39,205.37758055047007
2.4,204.4054188381443
2.41,203.9749630060529
2.42,204.5658896607816
2.43,206.1201112418817
2.44,207.91331411541825
2.45,208.58666061421144
2.46,207.27140676910463
2.47,nan
2.48,nan
2.49,nan
2.5,nan
2.51,nan
2.52,nan
2.53,nan
2.54,nan
2.55,nan
2.56,nan
2.57,nan
2.58,nan
2.59,nan
2.6,227.923360028832
2.61,224.95320571136065
2.62,223.45066039561223
2.63,222.8063674811674
2.64,220.85560562846013
2.65,218.0562395823785
2.66,215.12034748720637
2.67,213.95753079978408
2.68,214.3627290884885
2.69,215.2212415198269
2.7,215.9339911237687
2.71,217.05446420265335
2.72,217.7818412083605
2.73,218.2735221803755
2.74,218.3624526165612
2.75,218.574833400656
2.76,218.95279940714656
2.77,219.0613942674314
2.78,219.4378117805384
2.79,220.23074229440573
2.8,220.55467044990368
2.81,220.18829715534548
2.82,218.1527463033457
2.83,214.8330235740345
2.84,209.947705993713
2.85,206.615585825504
2.86,204.55861654058168
2.87,203.1841004289009
2.88,202.81075522964545
2.89,203.49653471813235
2.9,205.9917671319461
2.91,209.51628862686815
2.92,213.69421768914836
2.93,217.7499179189488
2.94,221.0043006928876
2.95,223.20116756555905
2.96,224.65115840054224
2.97,225.16621178552168
2.98,224.82062579064785
2.99,224.02933253258945
3.0,222.37299357782604
3.01,218.0095579403172
3.02,212.045346809928
3.03,205.8577960551202
3.04,201.3074743878296
3.05,199.60672900394457
3.06,199.8072409138095
3.07,201.99787227292452
3.08,204.7297204046096
3.09,207.25030913801987
3.1,208.57197711057245
3.11,209.84017749444664
3.12,210.76582339662497
3.13,212.25359490225856
3.14,214.0288140256281
3.15,199.87527668653672
3.16,170.3714040874954
3.17,156.4284244353035
3.18,139.95919463692877
3.19,122.25729966594338
3.2,107.30599942822394
3.21,102.12527682805468
3.22,87.5606693129304
3.23,77.84469988219355
3.24,71.20084436637183
3.25,nan
3.26,nan
3.27,nan
3.28,nan
3.29,nan
3.3,nan
3.31,nan
3.32,nan
3.33,nan
3.34,nan
3.35,nan
3.36,43.15422417626525
3.37,nan
3.38,nan
3.39,43.14286686012554
3.4,43.18303446064565
3.41,43.16303283826265
3.42,43.12871149363491
3.43,43.22521998111084
3.44,43.12909958579338
3.45,43.13071104921778
3.46,43.13419059209316
3.47,nan
3.48,43.25794969780237
3.49,43.18151799939351
3.5,43.22889701105425
3.51,nan
3.52,nan
3.53,43.17513719068491
3.54,43.25562419256582
3.55,43.20727881730632
3.56,nan
3.57,43.17993851273414
3.58,43.18931682680812
3.59,43.15604059181341
3.6,43.13207209954268
3.61,43.19738758353345
3.62,43.25936009564885
3.63,43.16772215780183
3.64,43.25495443337331
3.65,43.223218998248846
3.66,nan
3.67,nan
