Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,341.14180871582965
0.18,347.81428043618723
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,277.632720814448
0.31,277.079916351322
0.32,275.26766961971737
0.33,271.3487215404168
0.34,265.51739458914955
0.35,262.68768100252765
0.36,261.6125030368161
0.37,261.4015093195301
0.38,261.4314397665282
0.39,261.53135128477686
0.4,261.25261697607124
0.41,260.6616039774672
0.42,262.06026700322724
0.43,265.15610891628603
0.44,267.78830778940016
0.45,267.21774712561694
0.46,265.64973323744607
0.47,265.3492653974185
0.48,266.5528906447438
0.49,267.34799042138565
0.5,267.73246197707374
0.51,266.5049607054769
0.52,263.784979213213
0.53,260.06573290162964
0.54,256.8481441710969
0.55,253.42239068973328
0.56,251.9593428474086
0.57,252.62546019537425
0.58,255.63728432880163
0.59,258.900368431453
0.6,262.6425008552009
0.61,nan
0.62,nan
0.63,nan
0.64,311.54454945666026
0.65,317.5305809193205
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,255.5291167650113
0.75,256.7588007164358
0.76,258.3595985285197
0.77,258.87100366598804
0.78,258.8281591540017
0.79,259.42331767165393
0.8,262.0312322287088
0.81,271.28728416284366
0.82,280.1129848755155
0.83,289.3843135314335
0.84,296.1078921435699
0.85,299.3280557431817
0.86,300.76991295298086
0.87,299.3133888806143
0.88,298.2669845373554
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,245.099409421833
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,457.2074666059304
1.22,452.9633852795751
1.23,446.9222462417936
1.24,439.8697131025484
1.25,433.51167556683015
1.26,430.9122052575528
1.27,429.9296673712356
1.28,429.2361245524038
1.29,nan
1.3,nan
1.31,440.5411474725345
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,332.91946581383223
1.46,339.0445959698136
1.47,347.6361400689394
1.48,nan
1.49,369.795764045379
1.5,376.92494194693256
1.51,nan
1.52,396.2719328820384
1.53,399.2969312414724
1.54,395.6167587947946
1.55,390.9947832050497
1.56,387.28387877787446
1.57,383.6455734783852
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,432.535514036525
1.74,433.9500250744322
1.75,435.200855877873
1.76,437.1329013764372
1.77,438.7132318638919
1.78,443.7453687920543
1.79,449.9665498861415
1.8,452.90062486014045
1.81,452.22040140299697
1.82,450.0131311293424
1.83,448.5805532251204
1.84,443.7346156045216
1.85,441.100265610497
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,401.87763922099816
1.91,403.6712020779862
1.92,403.7430812726237
1.93,403.0815135207298
1.94,401.34630570226943
1.95,402.1048862487343
1.96,405.43202194403017
1.97,408.7252545857485
1.98,410.41531332207705
1.99,nan
2.0,395.82593361292845
2.01,nan
2.02,nan
2.03,376.046887691861
2.04,377.321077404687
2.05,379.2136403958143
2.06,378.999453459722
2.07,nan
2.08,nan
2.09,nan
2.1,353.30372545284683
2.11,353.3103367324376
2.12,351.3257317678724
2.13,nan
2.14,316.52609662758977
