Time,Frequency
0.0,256.7245107364082
0.01,259.2606886630283
0.02,261.04813535752857
0.03,261.280886071745
0.04,259.586137388941
0.05,255.9231149223336
0.06,251.63633497295788
0.07,248.42180774774695
0.08,246.6420174063863
0.09,246.1766526919523
0.1,246.29100672772304
0.11,246.34457298358848
0.12,246.90900569735905
0.13,250.3389174938029
0.14,254.6769180180006
0.15,257.2510894545275
0.16,259.68319979945704
0.17,261.5765987830086
0.18,262.35994309510085
0.19,261.322195988977
0.2,259.55904415492927
0.21,256.8938626039412
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,252.7433910753981
0.43,252.74645767104863
0.44,252.2335971353689
0.45,251.9713900241084
0.46,251.4554773455731
0.47,250.635021766156
0.48,249.8203201199837
0.49,249.0091429446436
0.5,248.71960909700388
0.51,248.8036592992575
0.52,248.9796849580058
0.53,249.5865736342047
0.54,250.60749659445585
0.55,252.105820313401
0.56,253.23015519503917
0.57,254.0007174838792
0.58,254.6525781915437
0.59,254.83441392521644
0.6,254.92984073841367
0.61,254.35871363318373
0.62,253.52933536044333
0.63,252.40925775278535
0.64,250.56377601511684
0.65,248.56425916542037
0.66,246.7163084804204
0.67,245.08630447711087
0.68,243.9935840773264
0.69,244.03634759137665
0.7,245.0855070996265
0.71,247.0744469274681
0.72,249.421545602185
0.73,252.8252796053733
0.74,255.5509172608752
0.75,257.9731787064524
0.76,259.3259497887012
0.77,259.2102828243942
0.78,258.2004700941999
0.79,256.1296509891096
0.8,252.74482430976508
0.81,248.71553753400855
0.82,244.69720523676983
0.83,240.52700151178016
0.84,239.68073428041325
0.85,241.4754870713045
0.86,244.3718537517738
0.87,246.78833614358368
0.88,248.34010434773057
0.89,250.81111536480532
0.9,252.11795096939383
0.91,251.6965736824381
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,249.77998987821056
1.09,249.0317141459936
1.1,247.5909377484344
1.11,247.0164948695425
1.12,247.23836376932485
1.13,249.45591092549373
1.14,251.43879431011817
1.15,252.0931323109321
1.16,251.0702585780627
1.17,249.3412072385646
1.18,247.6524214577429
1.19,245.6600234071123
1.2,244.9616380753933
1.21,246.21384877165053
1.22,248.148722664414
1.23,248.2154989472652
1.24,248.27268197996037
1.25,249.0682467318204
1.26,nan
1.27,nan
1.28,255.3383251541765
1.29,252.2362654997183
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,297.4474672924465
1.45,301.9965560460195
1.46,304.30789832934005
1.47,303.00340330178574
1.48,296.8421166646981
1.49,290.4102168369518
1.5,285.165138502297
1.51,275.4325266205188
1.52,268.3291803551446
1.53,257.80991085215106
1.54,252.241496870653
1.55,252.05802049655745
1.56,256.3699832536005
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,302.19074422999955
1.62,309.68748383230087
1.63,316.34102220462853
1.64,318.584468354915
1.65,315.9483052744168
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,269.25102090810003
1.71,nan
1.72,249.83882670463885
1.73,248.2017167240419
1.74,248.8413427483388
1.75,250.80083742600323
1.76,254.21031612109743
1.77,256.82295772545183
1.78,259.3041672129432
1.79,261.45385931617835
1.8,262.59857469720424
1.81,262.5156341697174
1.82,259.70322684391806
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,199.9148762206694
1.91,205.5622718154788
1.92,211.1634932422824
1.93,215.05986312550937
1.94,217.53046793959015
1.95,218.22537988087987
1.96,217.87486398587023
1.97,215.7129104575084
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,214.98559329076667
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,208.12416568784255
2.17,212.29771962087656
2.18,214.00678611938548
2.19,215.79993507756168
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,202.58144531465396
2.38,203.77931246896392
2.39,203.2496478217558
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
2.46,nan
2.47,nan
2.48,nan
2.49,nan
2.5,nan
2.51,nan
2.52,nan
2.53,nan
2.54,nan
2.55,nan
2.56,nan
2.57,nan
2.58,nan
2.59,nan
2.6,nan
2.61,nan
2.62,nan
2.63,nan
2.64,nan
2.65,nan
2.66,nan
2.67,nan
2.68,nan
2.69,nan
2.7,nan
2.71,nan
2.72,nan
2.73,nan
2.74,nan
2.75,nan
2.76,nan
2.77,nan
2.78,nan
2.79,nan
2.8,nan
2.81,nan
2.82,nan
2.83,nan
2.84,nan
2.85,nan
2.86,nan
2.87,nan
2.88,nan
2.89,nan
2.9,nan
2.91,nan
2.92,nan
2.93,nan
2.94,nan
2.95,nan
2.96,nan
2.97,nan
2.98,nan
2.99,nan
3.0,nan
3.01,nan
3.02,207.9514773236766
3.03,209.16579336667536
3.04,207.9250276845504
3.05,nan
3.06,nan
3.07,nan
3.08,nan
3.09,nan
3.1,nan
3.11,238.64200906007085
3.12,242.5183782613544
3.13,245.41853764778944
3.14,246.82265591524043
3.15,248.05518047826425
3.16,250.0600919105994
3.17,251.5708171829689
3.18,251.78176939659036
3.19,250.689775948531
3.2,250.1596171880627
3.21,250.55247694864812
3.22,251.0866552931204
3.23,251.17623089103125
3.24,251.06018438023432
3.25,250.15029254941533
3.26,248.6391068583521
3.27,246.9162810212808
3.28,244.58332940074652
3.29,240.87779337798636
3.3,nan
3.31,238.11548512666096
3.32,240.76217833510825
3.33,243.96833082496755
3.34,244.5248573399169
3.35,nan
3.36,nan
3.37,nan
3.38,nan
3.39,nan
3.4,nan
3.41,nan
3.42,nan
3.43,nan
3.44,nan
3.45,nan
3.46,nan
3.47,nan
3.48,242.5006151038382
3.49,252.9575138632833
3.5,260.8947528424595
3.51,262.9711054268517
3.52,262.57125192760446
3.53,nan
3.54,nan
3.55,nan
3.56,nan
3.57,nan
3.58,nan
3.59,nan
3.6,nan
3.61,nan
3.62,262.3411784839784
3.63,260.59993320998865
3.64,261.8774204440047
3.65,nan
3.66,nan
3.67,nan
3.68,nan
3.69,281.7524360642917
3.7,284.9528597377294
3.71,nan
3.72,291.71595277552785
3.73,293.1576287874502
3.74,293.5432096674705
3.75,292.4019192392061
3.76,290.08016691934995
3.77,287.2786919782187
3.78,284.6428895558984
3.79,281.6443729525989
3.8,276.66423312843256
3.81,271.2428812462912
3.82,265.4170226057728
3.83,260.229713090238
3.84,256.34689718281766
3.85,253.781585634972
3.86,255.0893691674795
3.87,259.7553276107843
3.88,261.74280082338913
3.89,nan
3.9,nan
3.91,nan
3.92,nan
3.93,268.1546660287334
3.94,nan
3.95,nan
3.96,284.4254967298274
3.97,286.36106163012687
3.98,286.4533482011836
3.99,nan
4.0,nan
4.01,nan
4.02,nan
4.03,nan
4.04,nan
4.05,nan
4.06,242.9813894546125
4.07,241.4117974050127
4.08,240.15185421167132
4.09,239.63635747235304
4.1,nan
4.11,nan
4.12,nan
4.13,nan
4.14,nan
4.15,231.4355781142132
4.16,nan
4.17,nan
4.18,nan
4.19,nan
4.2,nan
4.21,nan
4.22,nan
4.23,nan
4.24,nan
4.25,nan
4.26,nan
4.27,nan
