Time,Frequency
0.0,350.4030538055224
0.01,349.2691489926961
0.02,348.8982742526953
0.03,348.5993837765216
0.04,349.2193608597034
0.05,351.0247873045134
0.06,352.3670040155065
0.07,353.3565825618708
0.08,354.50803179744435
0.09,355.85179186142443
0.1,356.8303532808459
0.11,357.149602814632
0.12,357.32175556527943
0.13,356.5148149375969
0.14,355.1988049059663
0.15,353.83356736072216
0.16,353.46054389250685
0.17,356.9429173559332
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,354.46168360531794
0.31,350.8576480480896
0.32,348.2546349248301
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,387.5949364401582
0.72,387.6588165765349
0.73,385.1782816400372
0.74,381.8415733845005
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,346.9181723147382
0.84,349.68694989691016
0.85,351.54914864879714
0.86,353.04528027860727
0.87,355.3669785158689
0.88,359.1507330185153
0.89,365.3844085981174
0.9,366.6495470695602
0.91,nan
0.92,354.82086612985773
0.93,350.16526552883823
0.94,346.4284233317072
0.95,341.818882593357
0.96,332.59804417688883
0.97,326.4424967545714
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,349.27984940750326
1.35,347.26270312015686
1.36,348.89287925178576
1.37,nan
1.38,nan
1.39,nan
1.4,388.6785248896596
1.41,386.5139464663079
1.42,nan
1.43,nan
1.44,365.24328262475296
1.45,359.84248384004906
1.46,353.58412925532724
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,376.61092639529926
1.54,374.91424238730536
1.55,372.81987245979576
1.56,nan
1.57,nan
1.58,350.92992245505025
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,368.1630300347195
1.76,365.7753269412504
1.77,361.3829281178018
1.78,nan
1.79,nan
1.8,nan
1.81,354.2434977151441
1.82,355.97312300710627
1.83,357.41794634298174
1.84,359.2359518100259
1.85,359.3316820644546
1.86,359.93737336145807
1.87,363.73748400107536
1.88,368.15619321089713
1.89,368.8811011732926
1.9,366.74228639057566
1.91,364.9742989989389
1.92,362.0707128705215
1.93,361.2403260313885
1.94,360.9031079983358
1.95,361.7303366867199
1.96,363.1587320906796
1.97,364.2433563935199
1.98,363.4191614855265
1.99,357.5133539942664
2.0,351.76130346881075
2.01,350.3529050532089
2.02,350.48012818687704
2.03,348.6911591000115
2.04,345.4890078611551
2.05,341.76656060035737
2.06,337.928735012857
2.07,336.3236750088739
2.08,336.9326912506584
2.09,340.6330034455335
2.1,345.3871077709193
2.11,349.6642214588734
2.12,354.5700412315335
2.13,358.58844142327365
2.14,361.4917925446428
2.15,363.09287859122696
2.16,363.6305160011704
2.17,363.3794992121537
2.18,362.3803956545249
2.19,357.7516954711311
2.2,353.4125958565076
2.21,350.503660106036
2.22,347.0761782366627
2.23,341.20212385030175
2.24,338.167807233824
2.25,339.5629123416564
2.26,341.88745621168465
2.27,344.8204946239671
2.28,348.3200202436032
2.29,350.5789589488444
2.3,355.0534800564117
2.31,364.7669434365701
2.32,362.8485230744138
2.33,361.5691727741552
2.34,360.7251068137594
2.35,358.6309000301869
2.36,356.2495308007515
2.37,354.85703816527325
2.38,354.0822978666818
2.39,352.7239934748178
2.4,351.05002185965566
2.41,350.11917200204846
2.42,350.37025865037685
2.43,351.49628612650554
2.44,353.44925155143414
2.45,355.8146310881901
2.46,357.95543302387955
2.47,365.148795592057
2.48,374.3786978983196
2.49,378.3230631004648
2.5,378.66748155590255
2.51,378.2471923915723
2.52,376.8522343323076
2.53,373.0830379721782
2.54,366.3365517773252
2.55,357.8271085987642
2.56,351.5485844396653
2.57,346.85971666314094
2.58,342.9353792787816
2.59,340.56096780289914
2.6,337.57070308658047
2.61,337.2075983059474
2.62,339.8016549145151
2.63,347.7430475202356
2.64,353.6116487527199
2.65,358.47537323396864
2.66,368.64785640640855
2.67,374.6718116010729
2.68,376.1860115321014
2.69,377.0379564504589
2.7,376.61909118947625
2.71,372.425372762998
2.72,367.1821625031183
2.73,362.2312152342273
2.74,355.6772312490233
2.75,350.3875233761957
2.76,345.58290020251326
2.77,342.20915494410406
2.78,338.7689227027591
2.79,337.2244930180721
2.8,337.7785727422327
2.81,338.2788029218688
2.82,nan
2.83,361.61098930599
2.84,364.89745632025085
2.85,368.3248146372151
2.86,371.6460526928876
2.87,372.2657426162716
2.88,371.49076924504647
2.89,371.04343847815016
2.9,370.10041591083854
2.91,367.2723386205372
2.92,361.8992815168372
2.93,354.2058712930205
2.94,349.7869198463221
2.95,345.7461762466164
2.96,342.4925888180078
2.97,339.9964240195119
2.98,339.4234048770596
2.99,340.08934404469187
3.0,342.58495536308953
3.01,347.4467612327243
3.02,353.27837879909896
3.03,361.1798547103938
3.04,371.41213684456727
3.05,377.4202518499084
3.06,378.6078709368709
3.07,378.543669594833
3.08,377.4268989729122
3.09,374.4211905957513
3.1,369.0300832501742
3.11,363.0020726802368
3.12,352.50768872118755
3.13,347.71361658326373
3.14,342.9400459560691
3.15,335.9099027513401
3.16,331.88458789456274
3.17,329.89868764669944
3.18,330.6609573876731
3.19,334.87189646194673
3.2,341.1683445739733
3.21,348.9746064879004
3.22,357.3370896423694
3.23,367.9258791261312
3.24,376.3339151000566
3.25,381.3433498096436
