Time,Frequency
0.0,368.346509835499
0.01,368.6016214933353
0.02,369.4921252205352
0.03,369.8821437752573
0.04,369.3532064190666
0.05,368.7247854385199
0.06,370.0620297906886
0.07,373.50510371776414
0.08,375.31936994738
0.09,374.2620980361841
0.1,372.56496028811966
0.11,370.8820859549345
0.12,370.4416625440615
0.13,370.9112058351609
0.14,371.7826926310317
0.15,371.11144367222016
0.16,370.676652803403
0.17,371.7502971250548
0.18,373.32138522689513
0.19,373.43710563425657
0.2,371.3310500026918
0.21,369.417285084052
0.22,369.0718781533763
0.23,370.0477270045064
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,300.3041183596302
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,374.09551612612336
0.42,371.567844349044
0.43,364.7676230766244
0.44,357.6691316649419
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,372.2536480187957
0.5,370.9380122227271
0.51,370.8507855763222
0.52,372.4717689727324
0.53,373.6510718648233
0.54,375.2416234479701
0.55,376.4079189394881
0.56,nan
0.57,376.5962618435917
0.58,375.0248283587245
0.59,371.4738920533361
0.6,367.3684079679211
0.61,362.9726497168404
0.62,361.0077216331473
0.63,361.8237346599542
0.64,364.49966838275225
0.65,368.7876014629636
0.66,371.5304899342081
0.67,371.808456986601
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,364.53492949440994
0.74,362.2512985183142
0.75,360.04189048975115
0.76,357.66974266566353
0.77,357.14529639752413
0.78,361.9010087883817
0.79,369.76108699081016
0.8,374.5525772959882
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,372.8478909407553
0.88,358.8704249801491
0.89,351.00632073745084
0.9,347.8579426614754
0.91,349.0660465554859
0.92,352.50602504536096
0.93,356.7478536954558
0.94,359.52455374677305
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,360.9005814977853
1.03,354.48354459475814
1.04,351.1693262109084
1.05,350.5436448526538
1.06,352.6820840442744
1.07,355.5597836828628
1.08,361.6446799267375
1.09,368.9665292856356
1.1,371.2344110119448
1.11,369.8400493768856
1.12,nan
1.13,357.1333083702258
1.14,353.8927609777053
1.15,350.8154042607482
1.16,nan
1.17,nan
1.18,317.5129435781876
1.19,314.7337185770343
1.2,316.16013335952005
1.21,318.97080418631833
1.22,321.26764071750586
1.23,323.5517115581264
1.24,nan
1.25,330.137934616713
1.26,330.0318454989519
1.27,327.5111798617896
1.28,324.163146765972
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,316.68906590328044
1.39,315.6921380903783
1.4,313.2091503517709
1.41,309.55463272350846
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,308.4668064485249
1.54,324.73446624526275
1.55,347.5939921093778
1.56,352.2116378813228
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
