Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,278.2691803639475
0.05,280.2605861590558
0.06,279.82098473916045
0.07,275.9765087324373
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,245.35435119954423
0.13,237.90979450751252
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,448.9837418081441
0.71,447.51257095501614
0.72,450.6383926352012
0.73,456.3924113149353
0.74,462.5193510922028
0.75,466.2159572671168
0.76,468.08453321641593
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,428.9106215920445
0.88,nan
0.89,nan
0.9,421.0893779085535
0.91,423.8002635936471
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,389.9343065730896
0.99,390.3763036399515
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,232.9097359731485
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,213.7011659244476
1.62,215.32617787396865
1.63,nan
1.64,217.15035238998135
1.65,215.38812549226745
1.66,213.7112658385872
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,215.95431055403117
1.74,218.453772578408
1.75,220.5749654792192
1.76,224.08376381578336
1.77,229.5993179559448
1.78,233.29623607500656
1.79,234.92153308978928
1.8,235.7099596607901
1.81,235.94509089775676
1.82,234.93435160352175
1.83,232.8737189898061
1.84,229.83483728565895
1.85,223.42211336511224
1.86,217.93442011670797
1.87,217.19021964601137
1.88,218.5103644763165
1.89,222.4349010947224
1.9,nan
1.91,240.63324055542708
1.92,248.41278461409732
1.93,254.53763806188616
1.94,257.55546309596104
1.95,258.2140332721869
1.96,256.6387612936943
1.97,252.8765685575618
1.98,nan
1.99,nan
2.0,228.5701528693532
2.01,225.24115455101708
2.02,225.3711275579469
2.03,229.11653365484543
2.04,234.55754645904528
2.05,242.09370118842813
2.06,248.4287829220607
2.07,251.7199024036688
2.08,252.14602008961964
2.09,251.2570785303386
2.1,246.0993683921856
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,235.66438612889883
2.26,242.55573285379717
2.27,245.604665970788
2.28,245.81993005470096
2.29,242.64219307508023
2.3,236.81122432502625
2.31,232.29458679693263
2.32,229.296871311931
2.33,226.5020045277828
2.34,223.87971786055044
2.35,223.71886802263796
2.36,226.6880838092245
