Time,Frequency
0.0,361.6478737367461
0.01,362.407078880735
0.02,363.5775773152232
0.03,366.13665698522834
0.04,369.2076816623856
0.05,372.2638825134811
0.06,375.40687122486815
0.07,377.5913289962991
0.08,376.3931390740333
0.09,371.6453097642062
0.1,366.64941398176944
0.11,360.6155282644137
0.12,354.7928855469624
0.13,350.7849823944375
0.14,349.159474334565
0.15,348.895371520893
0.16,348.8984204414164
0.17,347.6984690754858
0.18,346.41471430589763
0.19,344.5097218965134
0.2,343.42471901476176
0.21,nan
0.22,nan
0.23,349.1044031622476
0.24,348.329936335149
0.25,346.4578085280271
0.26,nan
0.27,336.7636268660414
0.28,335.8054976442773
0.29,337.6040032831329
0.3,340.0390413556014
0.31,nan
0.32,nan
0.33,367.6556027051408
0.34,371.49395616855486
0.35,373.0039501401664
0.36,374.4867545426232
0.37,376.6664529517393
0.38,378.0573279489256
0.39,nan
0.4,378.4616475776704
0.41,377.8862881405598
0.42,376.882011821356
0.43,375.8138648123967
0.44,375.1416583590366
0.45,373.97793898097007
0.46,369.6806353845624
0.47,363.8699724892791
0.48,361.3031941907052
0.49,361.2182804034064
0.5,362.257849399673
0.51,362.7392655583142
0.52,362.6892956190764
0.53,362.8859921115143
0.54,363.2082732268817
0.55,363.24517530415153
0.56,361.9658490539686
0.57,357.79033776666165
0.58,351.7463294921217
0.59,347.1589759706624
0.6,337.3518497876955
0.61,330.6373379042618
0.62,330.0036254402902
0.63,nan
0.64,nan
0.65,348.2126021493221
0.66,355.3660208651197
0.67,358.7523397533411
0.68,357.6208619921153
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
