Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,393.4203068636522
0.56,394.411110542575
0.57,397.3103752670559
0.58,399.7383332752003
0.59,398.61362811241946
0.6,396.873067197227
0.61,395.35598950103184
0.62,393.098016598807
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,269.5826419792656
1.15,271.812330391624
1.16,273.4194109053899
1.17,273.80093389406125
1.18,273.45329679099666
1.19,274.12463037424453
1.2,275.286966938878
1.21,276.29044530645115
1.22,276.3732934768826
1.23,276.77561718063635
1.24,278.5083649779619
1.25,281.9776597028687
1.26,286.0290873289516
1.27,nan
1.28,nan
1.29,314.15334972569065
1.3,315.470793125911
1.31,313.972768525846
1.32,309.39042175136655
1.33,306.9644113565351
1.34,304.3867566617656
1.35,302.439519168182
1.36,301.82453548675426
1.37,302.9635990700367
1.38,305.01708990983377
1.39,312.1320730578214
1.4,320.2069152283466
1.41,324.0868531374498
1.42,327.4743660370526
1.43,330.2774451056795
1.44,332.5236168229671
1.45,332.4358550729821
1.46,331.1156774324958
1.47,329.0425840558998
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,315.7143543700034
1.53,325.3507795715127
1.54,332.16037205360743
1.55,337.90611393535664
1.56,346.1354466248821
1.57,352.31628701377315
1.58,365.0215194637793
1.59,373.5334660818663
1.6,377.9183165237512
1.61,377.0095328904102
1.62,373.80889831426987
1.63,nan
1.64,nan
1.65,nan
1.66,331.71117945300347
1.67,326.9145493325513
1.68,323.7843248830978
1.69,322.9914981583375
1.7,323.36609526135555
1.71,323.4170772414627
1.72,324.31644364131705
1.73,325.14884336552745
1.74,325.64337909032974
1.75,326.2730406299439
1.76,327.017328590062
1.77,327.3938178759703
1.78,nan
1.79,313.9175113642954
1.8,306.5748959043986
1.81,296.5360563494283
1.82,292.3558852018351
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,350.8202648996462
1.89,351.57663847289564
1.9,351.976410190424
1.91,355.08429066971894
1.92,359.9858915896976
1.93,363.0736281499204
1.94,364.1748126331338
1.95,363.2287799740718
1.96,359.26373107254267
1.97,355.59435979686293
1.98,350.429758489645
1.99,344.2634433029377
2.0,338.0206740037981
2.01,330.8626290661473
2.02,323.9435108967863
2.03,320.2989910045559
2.04,319.06445476424943
2.05,318.68200429379505
2.06,319.8320521553399
2.07,321.77511548221094
2.08,324.9665891331426
2.09,327.3107782045738
2.1,329.85497349551446
2.11,331.4997055931452
2.12,332.3957273415541
2.13,332.6383294221199
2.14,330.9438578657315
2.15,325.8193407521917
2.16,320.2018086174816
2.17,315.0702814435927
