Time,Frequency
0.0,243.0172779787313
0.01,243.5318150469208
0.02,243.043544637476
0.03,242.0057207256505
0.04,239.95962825217308
0.05,nan
0.06,nan
0.07,214.93271175840607
0.08,210.7814365242573
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,322.404912683259
0.71,nan
0.72,328.7886580935747
0.73,333.2194556962008
0.74,nan
0.75,nan
0.76,379.31001321784487
0.77,384.60854614803816
0.78,387.38909776183016
0.79,384.6651280185465
0.8,378.13348922259047
0.81,nan
0.82,nan
0.83,339.40190617307167
0.84,334.02844908990573
0.85,332.2797927681692
0.86,333.1087477711817
0.87,334.7025152709679
0.88,337.5208985523726
0.89,339.660706749492
0.9,339.6339759820115
0.91,337.03606747962004
0.92,332.85980905389056
0.93,330.73819268803334
0.94,328.2903005888292
0.95,nan
0.96,329.12139650007055
0.97,334.28130020778895
0.98,341.250130391119
0.99,346.6404192771682
1.0,351.4877546080715
1.01,355.1098081963748
1.02,357.9755275487417
1.03,360.8585924843431
1.04,361.6373432821993
1.05,360.29361886018336
1.06,357.22009986506475
1.07,353.033964134957
1.08,347.63041083400225
1.09,341.2787450080808
1.1,338.76290102657185
1.11,338.15680484513933
1.12,337.8561400597519
1.13,336.32882094720827
1.14,336.11100237926644
1.15,nan
1.16,nan
1.17,348.0578867232515
1.18,349.79547872917686
1.19,347.7001705527566
1.2,344.36709274934884
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,327.55380142604
1.26,323.6255360961732
1.27,318.1496500067082
1.28,314.16551436930195
1.29,314.6758162301705
1.3,nan
1.31,nan
1.32,342.57263342550425
1.33,346.3001179231559
1.34,349.21974184263007
1.35,352.040828055437
1.36,354.62986785701094
1.37,356.84618864439875
1.38,357.37533982295423
1.39,356.52728683066704
1.4,354.2712160882039
1.41,351.28593874228096
1.42,348.010091060264
1.43,nan
1.44,327.81484671088214
1.45,326.42603501147323
1.46,323.63788728349215
1.47,319.16037943515096
1.48,315.98500718155566
1.49,315.3254720557349
1.5,318.44682666862786
1.51,nan
1.52,nan
1.53,350.1778928514882
1.54,351.6934461014108
1.55,353.2989879536524
1.56,353.12714622525164
1.57,352.73293777674155
1.58,352.4375651083346
1.59,353.0477660741727
1.6,352.84355151945056
1.61,350.0912682543748
1.62,347.9964774950979
1.63,345.2342202892296
1.64,341.6952696557638
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,332.97952351178014
1.72,331.3965586383944
1.73,331.66915499624577
1.74,335.75260973318274
1.75,337.180120708232
1.76,334.2949214743854
1.77,331.8614512756004
1.78,331.3303987881528
1.79,329.970926350519
1.8,327.88594968805023
1.81,326.7220124021219
1.82,327.0628553328109
1.83,328.7547197618747
1.84,332.0917679137706
1.85,337.13478434414606
1.86,340.81132400874355
1.87,343.54608051216417
1.88,346.1455637524889
1.89,348.06563319779184
1.9,350.68042935307665
1.91,351.648478672746
1.92,346.5485302964103
1.93,343.07939971960514
1.94,338.04499459077203
1.95,331.9007544612048
1.96,326.9477705942892
1.97,323.0715992142621
1.98,318.4375429834948
1.99,315.46120727792834
2.0,312.9542256764636
2.01,312.5017623829488
2.02,314.7722930422321
2.03,325.47078308362234
2.04,330.3333700099606
2.05,332.4865282695108
2.06,333.60180371325214
2.07,334.51500576610016
2.08,335.22376370570464
2.09,334.4150911985716
2.1,334.65771303221265
2.11,334.8866328591503
2.12,332.50134871542974
2.13,329.553574749529
2.14,327.30436667898493
2.15,323.7857592206223
2.16,318.770319037461
2.17,314.4598470040104
2.18,312.40169325451865
2.19,310.2034355941003
2.2,307.73242934215205
2.21,308.59490301886126
2.22,310.27876249394734
2.23,310.18782315002943
2.24,311.1497410993093
2.25,315.1397203354329
2.26,318.6734600454231
2.27,nan
2.28,nan
2.29,313.2602110503774
2.3,316.3277711168109
2.31,316.69097171123826
2.32,316.84572687618066
2.33,316.9117512049302
2.34,317.4394666443099
2.35,318.22031039057424
2.36,316.44508191375127
2.37,314.09445809435954
2.38,nan
2.39,310.1323891557959
2.4,309.7064020425777
2.41,310.662281689678
2.42,310.83385183245343
2.43,310.3728130067412
2.44,nan
2.45,nan
2.46,304.2555807949961
2.47,306.31138486409804
2.48,307.2700601736488
2.49,307.78710183597923
2.5,308.50831711399564
2.51,308.9843372832972
2.52,308.9294976089368
2.53,308.7177892347522
2.54,308.134615118835
2.55,307.85239948530324
2.56,307.5383705103323
2.57,307.17753213640054
2.58,306.17681526326066
2.59,303.3642907098653
2.6,299.21927357488005
2.61,296.43260642949576
2.62,295.8897485452576
2.63,nan
2.64,nan
2.65,314.8422452443131
2.66,316.6586810470754
2.67,320.2373742698936
2.68,320.6119818870501
2.69,316.78779206451384
2.7,314.61770735463386
2.71,311.89202029442004
2.72,nan
2.73,310.81706065568324
2.74,310.9597990162606
2.75,310.3337352547099
2.76,309.858439375645
2.77,306.4039198342594
2.78,306.18265774021785
2.79,307.8718164808652
2.8,304.6148136748054
2.81,304.11988391894704
2.82,305.35823929339364
2.83,304.7403482999668
2.84,305.76137943847266
2.85,305.1180281305434
2.86,304.5618021701584
2.87,303.1801074531266
2.88,300.89613665773646
2.89,299.980087190482
2.9,298.01884180685823
2.91,296.83424351272976
2.92,294.0117997472374
2.93,291.5968902454268
2.94,289.9336628020405
2.95,286.67915336910755
2.96,287.51632492360807
2.97,nan
2.98,nan
2.99,nan
3.0,nan
3.01,265.6745842349537
3.02,nan
3.03,nan
3.04,nan
3.05,nan
3.06,nan
3.07,nan
3.08,nan
3.09,nan
3.1,nan
3.11,nan
3.12,nan
3.13,nan
3.14,nan
3.15,nan
3.16,nan
3.17,nan
3.18,nan
3.19,nan
3.2,nan
3.21,nan
3.22,nan
3.23,nan
3.24,nan
3.25,nan
3.26,nan
3.27,nan
3.28,nan
3.29,nan
3.3,nan
3.31,nan
3.32,nan
3.33,nan
3.34,nan
3.35,nan
3.36,nan
3.37,nan
3.38,nan
3.39,nan
3.4,nan
3.41,nan
3.42,nan
3.43,nan
3.44,nan
3.45,nan
3.46,nan
3.47,nan
3.48,nan
3.49,nan
3.5,nan
3.51,nan
3.52,nan
3.53,nan
3.54,nan
3.55,nan
3.56,nan
3.57,nan
3.58,nan
3.59,nan
3.6,nan
3.61,nan
3.62,nan
3.63,nan
3.64,nan
3.65,nan
3.66,nan
3.67,nan
3.68,nan
3.69,nan
3.7,nan
3.71,nan
3.72,nan
3.73,nan
3.74,nan
3.75,nan
3.76,nan
3.77,nan
3.78,nan
3.79,nan
3.8,nan
3.81,nan
3.82,nan
3.83,nan
3.84,nan
3.85,nan
3.86,nan
3.87,nan
3.88,nan
3.89,nan
3.9,nan
3.91,nan
3.92,nan
3.93,nan
3.94,nan
3.95,315.51527481968
3.96,317.3139765309033
3.97,317.78672029122924
3.98,317.4638866663132
3.99,318.4193658331942
4.0,318.3979900303184
4.01,315.76124183005
4.02,315.0736778455607
4.03,317.445138224836
4.04,321.4940259990781
4.05,327.27235648621325
4.06,327.24850456013405
4.07,nan
4.08,nan
4.09,nan
4.1,nan
4.11,nan
4.12,nan
4.13,nan
4.14,nan
4.15,nan
4.16,248.1351313081408
4.17,248.05084605707108
4.18,247.92312683900457
4.19,247.19795537341605
4.2,242.1610451141491
4.21,nan
4.22,nan
4.23,nan
4.24,nan
4.25,nan
4.26,nan
4.27,nan
4.28,nan
4.29,nan
4.3,nan
4.31,nan
4.32,242.57640295641903
4.33,245.5902993537696
4.34,248.93771053543625
4.35,252.7976720140332
4.36,nan
4.37,265.6602018766259
4.38,nan
4.39,nan
4.4,nan
4.41,298.42504194224574
4.42,nan
4.43,nan
4.44,nan
4.45,nan
4.46,nan
4.47,nan
4.48,nan
4.49,331.51012134958864
4.5,332.35207361106967
4.51,336.9859285981768
4.52,346.41243321513315
4.53,353.5868495417617
4.54,360.6116945258179
4.55,nan
4.56,nan
4.57,406.4350825429963
4.58,nan
4.59,nan
4.6,nan
4.61,nan
4.62,nan
4.63,nan
4.64,nan
4.65,nan
4.66,354.56719175005253
4.67,351.24436887445137
4.68,nan
4.69,nan
4.7,293.3029880932729
4.71,nan
4.72,nan
4.73,nan
4.74,nan
4.75,339.3727979518227
4.76,343.0517617275609
4.77,346.50232262739473
4.78,349.7230704243952
4.79,351.6708707448032
4.8,352.4490215735861
4.81,351.06997048055166
4.82,349.2126675306951
4.83,346.1036209673439
4.84,341.08813188577346
4.85,336.63080616642867
4.86,332.87452789389937
4.87,330.5154028197865
4.88,330.35676907343407
4.89,330.2956019969568
4.9,328.08820319146423
4.91,nan
4.92,328.38928275773696
4.93,330.2382915433624
4.94,330.40895754139507
4.95,330.09622687977503
