Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,267.8888302827883
0.22,nan
0.23,267.8035006926325
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,204.40423133816796
0.43,206.9899530741776
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,376.88684367524905
0.54,380.9392556329002
0.55,386.7397868412274
0.56,389.73228007830704
0.57,391.3021525427149
0.58,392.4731113054561
0.59,392.5207471719693
0.6,393.411471138916
0.61,395.5436453419088
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,321.6255748169584
0.71,304.5792034903909
0.72,302.07190233897995
0.73,304.14309569325985
0.74,314.8892433255807
0.75,nan
0.76,350.97105157738804
0.77,nan
0.78,398.4334776014996
0.79,396.6064277979642
0.8,391.7747633758587
0.81,nan
0.82,381.2692106100517
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,389.2748720857464
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,266.9986621477668
1.21,270.0314409214228
1.22,271.1823547276258
1.23,270.82435702327655
1.24,267.8872957559985
1.25,262.2823183896985
1.26,254.66469299289355
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,244.39585362088428
1.44,249.4185756511809
1.45,253.53829568628535
1.46,255.15022892164436
1.47,250.9927816904534
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,240.88028971470425
1.73,244.61276354115185
1.74,245.7773069960272
1.75,245.6880209517149
1.76,nan
1.77,nan
1.78,255.7893571643912
1.79,254.7773176755953
1.8,250.86030085093304
1.81,247.10853053393728
1.82,241.273989855909
1.83,238.49703933881327
1.84,238.2600847614552
1.85,238.56163239411583
1.86,237.97911714950425
1.87,236.82205017241563
1.88,235.09549089896
1.89,233.27768965297167
1.9,nan
1.91,nan
1.92,222.0278704053392
1.93,220.6010814268763
1.94,218.31600435826084
1.95,215.424898173924
1.96,212.11262081824464
1.97,211.64499228421963
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,248.3348333960469
2.03,250.2267146676168
2.04,251.02754321415455
2.05,250.4991818074384
2.06,249.21838297193824
2.07,247.58255685995903
2.08,244.88287935939417
2.09,241.75689775115
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,254.0535822220097
2.15,257.9253273859888
2.16,262.4273516875512
2.17,265.2583586326749
2.18,266.2202933137486
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,246.15443318584784
2.24,246.40103200048415
2.25,nan
2.26,246.58900203272768
2.27,245.1252289036449
2.28,243.9430403550698
2.29,243.44485097287077
2.3,nan
2.31,nan
