Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,380.5841264364015
0.19,nan
0.2,382.1088085608527
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,297.9279711090997
0.42,299.19205956358246
0.43,302.25990074104345
0.44,305.0340953121204
0.45,306.7672822256107
0.46,307.4844234209542
0.47,307.5951837463469
0.48,306.9653788511008
0.49,305.7559477250622
0.5,303.5413656461087
0.51,300.2734262302109
0.52,296.0468024104125
0.53,291.971609986826
0.54,nan
0.55,nan
0.56,269.3817163832126
0.57,259.88947848483645
0.58,256.5914002551468
0.59,256.7994274744482
0.6,259.50702542859267
0.61,262.5822135752815
0.62,266.7093019714549
0.63,271.18636759682994
0.64,274.3600800173059
0.65,276.40320134105656
0.66,276.6994328073344
0.67,276.03437116613685
0.68,274.5583734973711
0.69,272.4341994661635
0.7,268.38120296804266
0.71,260.1702210204439
0.72,253.90384545790468
0.73,251.91304779751567
0.74,253.4299814743214
0.75,256.45739960177906
0.76,260.17504749237685
0.77,265.21516258825943
0.78,270.69568154074045
0.79,274.9734044970064
0.8,278.04926782653376
0.81,279.4211238842252
0.82,279.0549956293654
0.83,277.35948007180093
0.84,274.92517813319085
0.85,271.26428734808405
0.86,nan
0.87,253.1804324423636
0.88,252.202241079852
0.89,254.35997178915704
0.9,259.286279929293
0.91,261.0626060709935
0.92,264.4541478456353
0.93,269.73694755613224
0.94,273.84254381677874
0.95,nan
0.96,nan
0.97,282.6400077334156
0.98,279.27114711890266
0.99,nan
1.0,nan
1.01,nan
1.02,257.4928611091069
1.03,257.3019503162052
1.04,260.84221158774926
1.05,265.77250485939504
1.06,272.0328081331892
1.07,274.10189825753764
1.08,274.5234223162007
1.09,270.95911818248425
1.1,268.1409731174689
1.11,272.9523593079326
1.12,276.1228439421944
1.13,278.067314676466
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,347.8435969820222
1.2,351.67248523877936
1.21,352.6395920279834
1.22,351.78128796223604
1.23,348.76418234062675
1.24,nan
1.25,nan
1.26,319.1464643649186
1.27,319.4181254348857
1.28,321.5705118444561
1.29,321.8680275853538
1.3,321.9149550215888
1.31,322.1955958101857
1.32,321.51564995394017
1.33,319.46726856763377
1.34,315.35044644154533
1.35,308.3333725930226
1.36,300.58071149183024
1.37,294.34522002462825
1.38,290.35190711695924
1.39,287.423611581214
1.4,286.27723172288967
1.41,287.7179567592545
1.42,291.2547040046379
1.43,297.1362959043882
1.44,301.7721054779404
1.45,302.84566866268733
1.46,300.81759524693024
1.47,297.27891795330544
1.48,nan
1.49,nan
1.5,280.7408181754904
1.51,nan
1.52,nan
1.53,nan
1.54,253.5417163260225
1.55,254.42607856487965
1.56,259.27996227678085
1.57,264.74725434434504
1.58,270.76613016852656
1.59,274.74705244073976
1.6,276.9286609534872
1.61,277.2181501208673
1.62,276.92928950104834
1.63,275.6523803805716
1.64,273.43429538661377
1.65,269.6540018500829
1.66,261.6829868800179
1.67,257.3679177722932
1.68,257.6598465629497
1.69,260.8102422301547
1.7,265.41806104230966
1.71,270.256174877777
1.72,275.75665023760826
1.73,280.392572927685
1.74,281.9756512193084
1.75,280.709466724982
1.76,275.69167912846814
1.77,nan
1.78,257.64656150646726
1.79,253.6592961638384
1.8,253.01080947661336
1.81,254.94308120834208
1.82,258.32674895851915
1.83,262.0121639894045
1.84,263.594414117251
1.85,260.6362103525028
1.86,nan
1.87,255.2301666343565
1.88,253.0954588636266
1.89,254.4312537490378
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,319.0010379265245
