Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,318.5081947456837
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,275.63428832890213
0.17,274.46441148185323
0.18,274.1194485123969
0.19,273.0401723679847
0.2,269.7161867956657
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,286.97936240977987
0.29,288.49318838017507
0.3,289.1377315834496
0.31,287.9220673341285
0.32,284.93194115290856
0.33,283.91277671747224
0.34,284.55790041376383
0.35,285.79407861574435
0.36,286.98848644495
0.37,286.6099252119022
0.38,285.1634412426416
0.39,282.8775714652081
0.4,281.1021033938629
0.41,280.26384997523525
0.42,280.6356213731618
0.43,282.2467976022168
0.44,285.8915298997936
0.45,289.67394546616185
0.46,292.640570225101
0.47,294.9885608646632
0.48,295.93544455816493
0.49,295.13461690385805
0.5,293.1090980253069
0.51,289.4511422025996
0.52,285.0355352830731
0.53,282.9575322499702
0.54,281.23143597587574
0.55,280.3721917204268
0.56,280.809606993086
0.57,281.4818536761512
0.58,283.1704993967919
0.59,285.4742139379647
0.6,286.8207742466872
0.61,285.65792514013816
0.62,281.63410700513634
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,392.4733180626009
0.8,nan
0.81,406.73625802690856
0.82,412.6747046041454
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,390.7102314252354
0.99,397.8722003601628
1.0,407.2959503132744
1.01,420.2063209018024
1.02,424.8529010312168
1.03,423.5884765664954
1.04,nan
1.05,nan
1.06,nan
1.07,295.009052858756
1.08,288.31360770194567
1.09,285.1573174927959
1.1,283.51033633144846
1.11,280.7999661127767
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,272.8277793397189
1.17,nan
1.18,271.33816939841995
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,781.9889278158945
2.26,770.0977115260662
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
