Time,Frequency
0.0,372.2680413658244
0.01,373.35610996047456
0.02,374.6580932854795
0.03,374.83907755560784
0.04,nan
0.05,nan
0.06,374.49961702372127
0.07,374.3108725428379
0.08,374.1990642079653
0.09,374.1372327916749
0.1,373.77533500171535
0.11,372.078679060594
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,358.0550235307579
0.18,356.6183358462715
0.19,357.514296175114
0.2,nan
0.21,nan
0.22,373.4032039829365
0.23,372.84357578219095
0.24,371.6260495212845
0.25,368.4874363291965
0.26,365.1109543543458
0.27,365.4293912686147
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,364.1528346447256
0.45,357.65489402623245
0.46,349.8636265377268
0.47,343.3671684544475
0.48,333.1434834848546
0.49,327.6853876630062
0.5,324.8903096197924
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,329.0002575926321
1.08,332.0905903523251
1.09,nan
1.1,nan
1.11,374.0926184468499
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,331.3022860106292
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,373.6833108476089
1.48,374.0390359305625
1.49,369.7114624214058
1.5,365.7941505126563
1.51,364.4676767818362
1.52,365.2274817750035
1.53,366.5974843862226
1.54,368.6911708892783
1.55,370.3256969409676
1.56,371.3976403329662
1.57,372.097013714319
1.58,nan
1.59,nan
1.6,nan
1.61,356.7095601801885
1.62,356.4133578879247
1.63,358.31382657033254
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,361.3980860973516
2.25,366.4816614550879
2.26,368.2489125153418
2.27,369.4121909009035
2.28,371.9214667025648
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,370.0372804355658
2.34,367.7490484138617
2.35,367.60872037898565
2.36,nan
2.37,370.52450559478496
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
2.46,nan
2.47,nan
2.48,nan
2.49,374.5430814500803
2.5,373.3026996059042
2.51,372.6002279292334
2.52,372.05857677263725
2.53,371.0775900094143
2.54,370.13316197651017
2.55,370.0743430940733
2.56,370.7108267560088
2.57,371.4755936302578
2.58,372.5678542973944
2.59,372.92905717486383
2.6,372.1543214981016
2.61,371.4506555639805
2.62,371.8572924620429
2.63,373.2696555590567
2.64,374.6442765950216
2.65,nan
2.66,375.0452470960101
2.67,374.4307122516177
2.68,373.76622195705727
2.69,372.9838282203608
2.7,372.244574576641
2.71,371.7473573883629
2.72,371.16430302960464
2.73,370.86499243539146
2.74,372.121275312733
2.75,373.8350271172527
2.76,nan
2.77,nan
2.78,375.0147507555595
2.79,374.2275745505944
2.8,373.3508966750156
2.81,371.0051374824003
2.82,367.8622068906629
2.83,nan
2.84,nan
2.85,375.2315098483601
2.86,373.51632299479513
2.87,372.6764293338985
2.88,372.19058411318383
2.89,372.0248119264322
2.9,372.8787943376565
2.91,372.7685268985837
2.92,371.5934836528746
2.93,369.9902821787683
2.94,368.7956017771023
2.95,367.978303974676
2.96,367.6394709763314
2.97,367.9544372364962
2.98,367.9332078870019
2.99,368.6866295537805
3.0,370.1080548276461
3.01,369.9345143976345
3.02,369.6113383221923
3.03,nan
3.04,nan
3.05,nan
3.06,nan
3.07,nan
3.08,369.73308650502406
3.09,369.768734717489
3.1,nan
3.11,nan
3.12,nan
3.13,353.07696518015945
3.14,349.3211314713285
3.15,345.14895343924286
3.16,340.8231620857376
3.17,341.80992883899387
3.18,349.8209329314307
3.19,356.4209704169258
3.2,359.7113929879109
3.21,364.3768708229652
3.22,nan
3.23,nan
3.24,nan
3.25,nan
3.26,nan
3.27,nan
3.28,nan
3.29,nan
3.3,nan
3.31,359.0450958021422
3.32,353.4355272383943
3.33,347.16505408585016
3.34,343.0732149562888
3.35,339.1053874669506
3.36,337.4318642538688
3.37,335.21254126567106
3.38,332.9315884119319
3.39,330.1818363760923
3.4,326.00324696377334
3.41,320.9250047238759
3.42,315.0004718830707
3.43,311.9625158423616
3.44,311.04276723674553
3.45,309.86185445633447
3.46,308.0925802220754
3.47,306.63599827381205
3.48,304.79374610042976
3.49,303.5648040819083
3.5,303.2091403408044
3.51,302.7706499551847
3.52,302.37013919808305
3.53,301.60095567199903
3.54,298.953253049392
3.55,295.4026408832891
3.56,291.8833386486316
3.57,288.2441499915257
3.58,287.1078539138134
3.59,286.2636004219468
3.6,285.1966829083641
3.61,283.72181551570463
3.62,282.50009944197484
3.63,282.6493448040277
3.64,284.6326610370713
3.65,286.73762973923806
3.66,287.7069272434732
3.67,286.8017020886689
3.68,284.60513769486334
3.69,280.6513860228186
3.7,nan
3.71,nan
3.72,nan
3.73,nan
3.74,nan
3.75,nan
3.76,nan
3.77,288.12307948760656
3.78,288.3767412283716
3.79,287.82384923307086
3.8,285.739729476982
3.81,283.6002848684945
3.82,282.1593460819524
3.83,280.0321644221231
3.84,279.0221412081055
3.85,280.00876019280184
3.86,281.9939981548852
3.87,284.5123715275212
3.88,287.029137075674
3.89,288.5075904866927
3.9,288.5936265499196
3.91,286.76319509016463
3.92,nan
3.93,275.4434342611302
3.94,276.005530991788
3.95,278.37171639028804
3.96,279.97192858808404
3.97,280.2865644963643
3.98,279.7806057711682
3.99,278.2896015555412
4.0,276.7957104081724
4.01,275.536824101772
4.02,274.0649806453622
4.03,272.0449032393324
4.04,270.7549379978436
4.05,271.2308322687632
4.06,272.88063171727407
4.07,275.9115850813452
4.08,nan
4.09,nan
4.1,288.9390647934718
4.11,289.2813740647403
4.12,287.35477254443657
4.13,285.5882076440486
4.14,281.87232376987066
4.15,278.5216078162835
4.16,274.75897231433134
4.17,272.0518221979212
4.18,271.6447177239668
4.19,273.0081222973398
4.2,275.56367322496817
4.21,278.51060693258137
4.22,281.65738258495526
4.23,284.2455015486825
4.24,286.6106988042337
