Time,Frequency
0.0,nan
0.01,367.118715463023
0.02,366.340751026198
0.03,360.5331901715606
0.04,351.09949412609075
0.05,344.7137043491617
0.06,337.3194698284343
0.07,328.02925123397875
0.08,316.40155488012743
0.09,309.0276258456467
0.1,313.2894581429675
0.11,320.6128269203305
0.12,330.6546260549559
0.13,337.1110856263275
0.14,351.3298575262576
0.15,361.74606443633417
0.16,368.743292946968
0.17,375.52332124443205
0.18,379.2843265705656
0.19,377.1624171444587
0.2,369.2458301288922
0.21,363.904746933392
0.22,nan
0.23,339.08331427230326
0.24,nan
0.25,316.39928683888644
0.26,311.42336986822704
0.27,307.62882769362056
0.28,309.51235535860246
0.29,315.66435947206566
0.3,324.6857805783717
0.31,334.9382972565302
0.32,342.32617901918167
0.33,358.4053584385612
0.34,365.46799963876526
0.35,378.2703014829619
0.36,381.1105392824004
0.37,379.7404706452962
0.38,378.6924724409301
0.39,376.0510003621729
0.4,367.9543811559802
0.41,361.5582715663669
0.42,349.209743475932
0.43,338.7643582928711
0.44,331.3536749352965
0.45,324.117878808672
0.46,321.1547015613501
0.47,324.4338068332036
0.48,335.3142608903996
0.49,nan
0.5,356.1468336679554
0.51,365.89083902793647
0.52,381.1585308515224
0.53,390.9131140440335
0.54,394.5347461525904
0.55,393.8035789477007
0.56,390.0664882291427
0.57,384.3519152955662
0.58,379.4929513594183
0.59,371.7046080309429
0.6,365.81337261940433
0.61,356.16076408874045
0.62,348.3885389172429
0.63,346.6802169815673
0.64,346.26423850940654
0.65,347.18523937942643
0.66,351.2162931731035
0.67,358.60043111786814
0.68,366.29065892540575
0.69,372.1241014970308
0.7,379.1152212909686
0.71,387.48402615784767
0.72,388.3430715633591
0.73,387.7438932667271
0.74,389.556175047172
0.75,393.2222412154579
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,259.59499289268234
1.49,263.31342828363546
1.5,265.217690820924
1.51,266.8834428643128
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
