Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,219.04810715359244
0.57,219.01061597840933
0.58,219.36069611214367
0.59,nan
0.6,nan
0.61,175.2571415787201
0.62,161.1919968932823
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,326.4025963676921
1.05,nan
1.06,nan
1.07,nan
1.08,307.0402030946194
1.09,304.2581607577867
1.1,305.1536421828644
1.11,305.54030687335165
1.12,305.62946571810335
1.13,306.80349257530287
1.14,307.84888622960284
1.15,309.169268377069
1.16,310.1089435602534
1.17,310.6113448947911
1.18,311.4952981161242
1.19,313.4314841905892
1.2,316.7154507973021
1.21,321.46262838961314
1.22,326.77495572533644
1.23,329.20638041704376
1.24,nan
1.25,320.4494437437572
1.26,316.4186912917985
1.27,310.7641593790278
1.28,303.158518270904
1.29,295.6706155859311
1.3,292.2857768140859
1.31,nan
1.32,287.37907459712244
1.33,nan
1.34,294.0925272766951
1.35,298.9996884866732
1.36,303.86972920267345
1.37,307.65926094252063
1.38,309.4140502862476
1.39,308.1734492269587
1.4,308.09713687778714
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,322.7757562585965
1.46,321.9159878073944
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,278.58394129406474
1.52,271.8259679532791
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,280.9767595081717
1.76,285.5759136457023
1.77,290.2832310256377
1.78,295.90637125599665
1.79,301.42163674788014
1.8,305.17388279453786
1.81,308.2248510544904
1.82,311.80280046616133
1.83,nan
1.84,319.2334557504513
1.85,322.1101792993349
1.86,325.017482593421
1.87,328.6986683207528
1.88,330.9028485075026
1.89,332.210505516519
1.9,330.2702507898354
1.91,nan
1.92,311.72066725769946
1.93,308.26781211650234
1.94,306.0738935280724
1.95,305.5452810354576
1.96,304.80833973746945
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,310.8244111305515
2.02,319.66795785826776
2.03,327.8595780796124
2.04,330.0641960987634
2.05,330.63832039817703
2.06,328.9678393967637
2.07,327.5531859376261
2.08,324.0053364185644
2.09,321.1442789064963
2.1,315.8337778700118
2.11,311.4808642418967
2.12,nan
2.13,nan
2.14,304.4192684106032
2.15,305.90928569591586
2.16,308.54487576246504
2.17,311.9376584181074
2.18,317.2543052082313
2.19,321.4401712910115
2.2,325.5394089903339
2.21,329.72581014863954
2.22,331.4031983752234
2.23,330.10782230235475
2.24,328.5211836949263
2.25,327.6145176755003
2.26,327.39712819129323
