Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,237.3503290372153
0.05,238.8840328892798
0.06,248.6198425206976
0.07,259.0281789693342
0.08,268.77935255282114
0.09,nan
0.1,nan
0.11,304.4903199626393
0.12,306.6542570138524
0.13,304.2050797587024
0.14,298.7616906511072
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,293.24345182101
0.24,295.1900638818848
0.25,295.7217119713012
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,399.1968581937017
1.02,412.3314885645744
1.03,416.7609002640654
1.04,414.906116458764
1.05,410.0514973439778
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,300.53540907218184
1.13,297.70729902252066
1.14,296.32597255150745
1.15,296.3399902337406
1.16,298.3843199693897
1.17,303.2755105456728
1.18,314.33605378520275
1.19,323.1576108047247
1.2,328.87895998614056
1.21,333.2760249354953
1.22,337.6745504319987
1.23,341.2547901835058
1.24,343.06047855548
1.25,342.3544679983877
1.26,342.5442561667615
1.27,343.7033592620708
1.28,344.3620027179275
1.29,345.7947977920456
1.3,346.9882371275007
1.31,347.7862141563413
1.32,348.3820058641716
1.33,349.71063633835854
1.34,349.9255912303946
1.35,350.09585624470105
1.36,349.4795579394969
1.37,348.77691946834824
1.38,347.8438507142041
1.39,346.6943267865231
1.4,344.0116043141305
1.41,338.42032083067176
1.42,330.29782204763967
1.43,323.2357701076344
1.44,315.3903609858617
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,345.1916889712783
1.52,345.0772982383921
1.53,344.67663091314733
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,237.94987247839464
1.67,240.57281441095097
1.68,243.7410245872693
1.69,246.8913049763734
1.7,250.55323169206477
1.71,254.0528633667213
1.72,256.53753541263194
1.73,258.5746308924355
1.74,259.78041776192595
1.75,259.5126558689741
1.76,258.4262040888688
1.77,256.8855112609648
1.78,255.2010280647898
1.79,257.39528041791465
1.8,258.7103870768278
1.81,262.30971518293507
1.82,nan
1.83,nan
1.84,nan
1.85,315.1315430225386
1.86,318.2412118806217
1.87,321.76399012424264
1.88,323.6961710170192
1.89,323.65169906141773
1.9,322.81349392380207
1.91,322.843912155844
1.92,323.0201228460054
1.93,323.0220351482733
1.94,323.2251320897261
1.95,322.97674023822645
1.96,321.8528809432536
1.97,320.02600432543363
1.98,318.1470176368722
1.99,315.77066522761226
2.0,312.8394669447792
2.01,308.62388088137504
2.02,306.1542837166619
2.03,305.4333632823542
2.04,305.73878516799243
2.05,306.16757137660267
2.06,304.56515398576266
2.07,301.8096020357772
2.08,298.8958210637422
2.09,296.4480360996317
2.1,293.71823928223887
2.11,290.2465725343147
2.12,284.6238410629018
2.13,276.72078870086136
2.14,272.5842476229725
2.15,266.9863971294825
