Time,Frequency
0.0,386.2170065247816
0.01,nan
0.02,nan
0.03,nan
0.04,354.9665896201717
0.05,348.4613139209704
0.06,343.87019589765146
0.07,340.03596525876816
0.08,331.5482980326359
0.09,nan
0.1,310.9711207848883
0.11,303.14556779213274
0.12,296.112635356364
0.13,292.8987303962334
0.14,290.5073395362299
0.15,287.32726700797707
0.16,282.48671287489856
0.17,276.74499132542337
0.18,273.2723279373152
0.19,269.5286571675432
0.2,265.8919743154338
0.21,263.3409131776984
0.22,261.16389483611545
0.23,257.681527180104
0.24,253.08918308479215
0.25,248.0969289998974
0.26,242.5578129451476
0.27,237.4262290464334
0.28,233.4172312900925
0.29,227.5086841123958
0.3,223.31460851773352
0.31,218.3355919294301
0.32,nan
0.33,205.42402491719076
0.34,202.59512749846692
0.35,198.23071190054324
0.36,194.32070744799717
0.37,191.59654088854296
0.38,188.80954347745413
0.39,185.8058401115187
0.4,183.20926308145815
0.41,179.8355809676167
0.42,177.2433602929385
0.43,174.68807186805253
0.44,172.66013418003
0.45,170.34676337781798
0.46,167.38250462799562
0.47,165.08105710946882
0.48,163.06003250961123
0.49,160.55328379954815
0.5,157.97031653081953
0.51,155.9412888543004
0.52,154.39865641184946
0.53,152.6598274762423
0.54,150.99019646230664
0.55,148.98636514198137
0.56,147.4246174700876
0.57,146.39741998634224
0.58,145.41398962293374
0.59,144.22236166577838
0.6,142.11302305587932
0.61,138.97232326481085
0.62,137.174012136044
0.63,136.3632348590168
0.64,136.4720460191077
0.65,136.09751363854812
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,123.348774776186
1.93,123.9690011633712
1.94,nan
1.95,nan
1.96,129.46699250718777
1.97,nan
1.98,126.87087732303532
1.99,125.56599683701768
2.0,124.78305939125283
2.01,123.50628292809306
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,127.22345653236894
2.11,129.6153455412462
2.12,129.67122264083278
2.13,127.69250846813704
2.14,124.52554622506032
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
2.46,nan
2.47,nan
2.48,nan
2.49,251.5658288588316
2.5,nan
2.51,nan
2.52,nan
2.53,nan
2.54,nan
2.55,nan
2.56,nan
2.57,nan
2.58,nan
2.59,nan
2.6,nan
2.61,nan
2.62,nan
2.63,nan
2.64,nan
2.65,nan
2.66,nan
2.67,nan
2.68,nan
2.69,nan
2.7,nan
2.71,nan
2.72,nan
2.73,nan
2.74,nan
2.75,nan
2.76,nan
2.77,nan
2.78,nan
2.79,nan
2.8,nan
2.81,nan
2.82,nan
2.83,nan
2.84,nan
2.85,242.4598557046517
2.86,nan
2.87,nan
2.88,nan
2.89,nan
2.9,nan
2.91,nan
2.92,nan
2.93,nan
2.94,nan
2.95,355.9958611938734
2.96,364.1501485952969
2.97,368.0821705017584
2.98,368.8219648951772
2.99,367.7825105015848
3.0,364.48201432304825
3.01,358.79264997097084
3.02,nan
3.03,nan
3.04,nan
3.05,nan
3.06,nan
3.07,nan
3.08,nan
3.09,nan
3.1,nan
3.11,nan
3.12,nan
3.13,nan
3.14,nan
3.15,nan
3.16,nan
