Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,222.91451658910267
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,350.1937069810863
0.37,363.4821374754529
0.38,367.0481719757492
0.39,367.5240815640131
0.4,365.7462751120039
0.41,363.4874275736022
0.42,365.1850880900381
0.43,368.4122261554024
0.44,371.8191515192162
0.45,374.4701410435549
0.46,376.79708163218913
0.47,379.15308479028255
0.48,380.8958906331203
0.49,382.99756256766136
0.5,385.8701330679536
0.51,387.6895069090114
0.52,391.28792026293206
0.53,396.6021116940934
0.54,399.2025984966792
0.55,397.5966954752813
0.56,394.1593487464655
0.57,388.9038922539413
0.58,385.5400807915876
0.59,384.11276594794265
0.6,383.8068243099985
0.61,383.90206982270536
0.62,385.0375206988159
0.63,387.9015619555548
0.64,391.8503982251664
0.65,393.8761099773552
0.66,394.3614938181292
0.67,391.69387704997735
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,385.29669881155314
0.77,384.1218414619039
0.78,380.39661913247824
0.79,378.4758741185843
0.8,379.5376765574026
0.81,384.32164076859146
0.82,386.86925314000064
0.83,388.8899319434119
0.84,390.3372987851089
0.85,390.76784812569946
0.86,391.0870124809964
0.87,393.10988171521456
0.88,396.2824618611119
0.89,399.54233124551706
0.9,405.63725996667387
0.91,nan
0.92,nan
0.93,nan
0.94,314.4835679172757
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,237.80639511882785
1.01,238.2532277826007
1.02,240.20388396846676
1.03,243.03417071897184
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,386.1686017380015
1.13,388.8871376306077
1.14,390.0791457996249
1.15,389.8382084217274
1.16,388.0882436980551
1.17,385.7008035985581
1.18,384.2969546368551
1.19,nan
1.2,nan
1.21,377.3546291874843
1.22,379.57065137220377
1.23,382.77053630560687
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,377.6411099833229
1.29,376.43968709914
1.3,374.70173919753984
1.31,372.2850938424169
1.32,370.8205848436637
1.33,372.2904215352135
1.34,378.07231270260047
1.35,382.4528721913232
1.36,387.4309714315984
1.37,388.9936450769992
1.38,389.2202968496562
1.39,389.0832833308363
1.4,389.81237441919086
1.41,387.980805626172
1.42,380.5063790210099
1.43,374.63898777600826
1.44,372.1997707470421
1.45,370.8411752851507
1.46,371.4651109423442
1.47,374.0844163865767
1.48,379.8047521155285
1.49,384.9299812869224
1.5,388.9379704040214
1.51,390.7281776706336
1.52,392.36562485918176
1.53,394.3021381294309
1.54,396.49688396018377
1.55,396.2706561574813
1.56,393.0589068960229
1.57,384.2706162436522
1.58,378.8560841403182
1.59,374.6410636019032
1.6,370.3738050522565
1.61,366.7231047938187
1.62,365.3727152931992
1.63,367.94263736817953
1.64,370.66595843637737
1.65,372.61580617370015
1.66,374.41096343902495
1.67,374.8076605894237
1.68,374.3274603553696
1.69,374.1534653777045
1.7,372.5660024125236
1.71,369.43356059689313
1.72,365.7173004875588
1.73,360.7172032095525
1.74,354.7619842326536
1.75,350.23854625332484
1.76,346.18459403326034
1.77,nan
1.78,nan
1.79,279.0102538355564
1.8,275.28732995572625
1.81,271.2959171896201
1.82,nan
1.83,250.73152619137383
1.84,245.6131084285282
1.85,241.58289465665104
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
