Time,Frequency
0.0,nan
0.01,nan
0.02,332.91150424278703
0.03,335.264566969692
0.04,343.16780840501343
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,344.27896754873046
0.1,338.5735337564756
0.11,335.3878427826114
0.12,334.31482173096504
0.13,333.9125245110647
0.14,334.7994409192909
0.15,337.0546928523771
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,320.0988901039687
0.29,320.0324749036267
0.3,322.18099692373124
0.31,327.26807142895046
0.32,331.6762789791044
0.33,337.0887307767056
0.34,342.49129471409435
0.35,344.9160436589648
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,276.6545571346911
0.43,273.33650450918776
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,298.6885764701305
0.72,300.9263399509354
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,292.57012177886577
0.89,291.2039957689982
0.9,292.5278479939108
0.91,295.287999257443
0.92,298.9086338371318
0.93,303.81229424215485
0.94,308.7075319833229
0.95,311.2294801755199
0.96,311.8859658824693
0.97,312.4536548384806
0.98,311.5706026951617
0.99,307.89754417950456
1.0,299.6313261861752
1.01,290.92924372607547
1.02,nan
1.03,274.61812814217967
1.04,267.7019516919491
1.05,263.94541959441983
1.06,266.1594617297704
1.07,270.6034488275679
1.08,274.7496283010116
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,270.8467185993452
1.22,266.87831089754275
1.23,263.5345497528729
1.24,264.41846830674064
1.25,267.0767358664073
1.26,270.59560426005885
1.27,273.3061934719849
1.28,nan
1.29,nan
1.3,290.66676687178807
1.31,nan
1.32,nan
1.33,nan
1.34,314.29158921216253
1.35,315.5558968638014
1.36,316.97988670246565
1.37,320.3470655398092
1.38,324.2309868959703
1.39,328.1685517543155
1.4,332.488770467914
1.41,336.41625621959207
1.42,341.5261336556847
1.43,343.2979579146331
1.44,341.5522206066265
1.45,336.70302657671675
1.46,331.83796315307126
1.47,328.45462711029137
1.48,326.5597478019698
1.49,325.8258454973669
1.5,324.91602608559793
1.51,320.4177121201283
1.52,315.30900712175776
1.53,310.6877704376574
1.54,306.6976878268673
1.55,302.723672932023
1.56,297.7835850718402
1.57,294.094773816565
1.58,293.5585615166827
1.59,294.675888533164
1.6,296.42781785223195
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,342.3983324761225
1.66,342.318818240972
1.67,344.84595358605867
1.68,343.9880115713672
1.69,340.189673653231
1.7,339.7795265788872
1.71,339.85999569131127
1.72,340.57350993066683
1.73,342.7350582179176
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,342.6897700302245
1.93,338.12222075975126
1.94,336.87996514452084
1.95,337.2142660304531
1.96,340.00605216058267
1.97,344.0847496734915
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
