Time,Frequency
0.0,332.66077792215503
0.01,333.70633878844933
0.02,334.7884531722244
0.03,336.60709390444333
0.04,338.4823103669571
0.05,340.68819084937195
0.06,342.23612015081466
0.07,342.5085543780406
0.08,342.52856195342065
0.09,342.77854105918374
0.1,343.78357555017834
0.11,344.86890008472767
0.12,346.1785334191103
0.13,347.3684369713218
0.14,348.81365370998344
0.15,349.3544444892673
0.16,348.8997970819024
0.17,347.689146333288
0.18,345.95916604912645
0.19,344.52155954023874
0.2,343.0947011635925
0.21,342.9658104945711
0.22,344.0566344836639
0.23,346.2061701285895
0.24,348.8223941951885
0.25,352.0903792340417
0.26,354.35502748876326
0.27,355.4387302788417
0.28,356.1901979350671
0.29,355.6575976374544
0.3,353.2773100879211
0.31,350.2718485700386
0.32,347.0614675390079
0.33,342.99325183171817
0.34,338.10816498112155
0.35,334.0769342086468
0.36,331.88739908487145
0.37,330.64007903745613
0.38,330.1670998509741
0.39,330.8966755705096
0.4,332.9356187682853
0.41,337.7209922539698
0.42,344.9038458326927
0.43,350.6825617641902
0.44,354.5284950502095
0.45,355.1739000430921
0.46,353.8873811756702
0.47,351.3260181166158
0.48,348.5553812155019
0.49,344.1492806781036
0.5,338.8675270244955
0.51,334.5030433893024
0.52,330.8747324744934
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,399.7353925925736
1.59,391.65846812522426
1.6,nan
1.61,nan
1.62,334.5816638085122
1.63,333.21117922674057
1.64,336.467473073908
1.65,nan
1.66,nan
1.67,nan
1.68,380.3374766032288
1.69,388.9650710770831
1.7,nan
1.71,nan
1.72,nan
1.73,409.5758466656924
1.74,408.2704663140323
1.75,404.60598923059314
1.76,399.6412502482048
1.77,393.4253602415106
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,384.4698842851077
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,398.6148817684757
2.35,401.8132588794853
2.36,408.66316896125335
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
2.46,nan
2.47,nan
2.48,nan
2.49,nan
2.5,nan
2.51,nan
2.52,nan
2.53,nan
2.54,nan
2.55,nan
2.56,nan
2.57,342.16378190424086
2.58,333.3295147005076
2.59,327.0235686932747
2.6,324.10618155659324
2.61,326.03591778129453
2.62,330.75090796708935
2.63,336.53046517374844
2.64,341.93387042531447
2.65,nan
2.66,nan
2.67,nan
2.68,nan
2.69,nan
2.7,nan
2.71,nan
2.72,nan
2.73,353.339275790038
2.74,358.87472680875146
