Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,384.8265897838261
0.55,nan
0.56,nan
0.57,371.44462795326746
0.58,nan
0.59,nan
0.6,nan
0.61,411.0528682362611
0.62,411.9845899773508
0.63,nan
0.64,394.14881917033495
0.65,391.7388067188785
0.66,393.63500786177786
0.67,396.11092065939886
0.68,nan
0.69,nan
0.7,nan
0.71,403.3514446717744
0.72,404.0385721362027
0.73,nan
0.74,399.5545881592509
0.75,395.3392702273775
0.76,389.9264163944196
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,395.2429120407653
0.83,395.7019173686478
0.84,395.1507353865622
0.85,394.544301233591
0.86,393.4883715127316
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,380.8832525018392
0.93,380.80797292090654
0.94,380.3906492025076
0.95,380.5681345751274
0.96,381.8244101906831
0.97,382.3365647265465
0.98,383.033649108604
0.99,385.9420694077448
1.0,390.89020146849646
1.01,393.9802902469617
1.02,394.938818317375
1.03,393.5316618928525
1.04,390.3614203078019
1.05,385.2555076902218
1.06,381.0523418465044
1.07,378.65367706379567
1.08,381.3826586350309
1.09,388.0887204264669
1.1,390.2688125685181
1.11,391.485150188968
1.12,392.4231530421822
1.13,392.7954615504148
1.14,392.684536277897
1.15,391.8333319974156
1.16,391.2224261385308
1.17,390.60969832933824
1.18,390.61565002407417
1.19,390.6977417397421
1.2,390.54153485625847
1.21,389.96471456115535
1.22,388.6457527540713
1.23,387.1467008095275
1.24,385.1497360097277
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,380.41629574573307
1.31,381.7922241691793
1.32,382.8998538946677
1.33,380.8694108239914
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,380.17099165193855
1.41,378.60241400013257
1.42,376.42593950038406
1.43,374.7997089626264
1.44,375.2937018157121
1.45,377.016086969141
1.46,380.4780151801272
1.47,385.924645552049
1.48,390.1980052940525
1.49,394.2690708501643
1.5,397.7011094667181
1.51,397.78684140173175
1.52,394.0057912204459
1.53,390.71259344869145
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,387.0407007663629
1.76,384.9647888415246
1.77,382.3153715585401
1.78,nan
1.79,369.7907042502965
1.8,365.59412876548015
1.81,366.3908196112141
1.82,nan
1.83,388.1377320245709
1.84,393.5072234091493
1.85,398.0048674476307
1.86,403.4623434071321
1.87,408.35193797615045
1.88,411.5553863816023
1.89,412.679962424182
1.9,411.2644785714554
1.91,404.0110019514357
1.92,392.3028376215058
1.93,387.6336132193609
1.94,383.4763207362753
1.95,381.2340846027914
1.96,383.4365930242193
1.97,387.2281981129864
1.98,390.6384425199943
1.99,393.4034270609617
2.0,397.8195438050768
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
