Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,195.50344417159488
0.12,198.36856528331492
0.13,nan
0.14,206.5263870116384
0.15,210.11079154892312
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,207.5708085015376
0.22,206.55091507511293
0.23,nan
0.24,203.79679489068815
0.25,202.0023993163511
0.26,199.846125810483
0.27,198.92202595582134
0.28,199.11021917136748
0.29,199.9540326760605
0.3,201.03366777105128
0.31,202.19156288859597
0.32,203.8159462262936
0.33,205.10818010728102
0.34,205.90217774638876
0.35,206.58443128218613
0.36,207.17840887446457
0.37,207.5837227860496
0.38,208.19488889487104
0.39,208.86636564518747
0.4,208.9729637274297
0.41,208.01467362003976
0.42,207.0418330619016
0.43,205.96202213926972
0.44,205.06933082916956
0.45,203.9288809642145
0.46,202.16896344883426
0.47,199.71682685445444
0.48,197.99204344913028
0.49,197.37319884104207
0.5,197.59235258931463
0.51,198.4327457129426
0.52,199.60518768289964
0.53,200.9315817167081
0.54,202.2091445363572
0.55,203.91989551399516
0.56,205.49649984091403
0.57,206.9887357474393
0.58,208.4925745920885
0.59,209.68827685128616
0.6,209.79062313772897
0.61,208.9168672858102
0.62,207.50175317241744
0.63,205.78109246490496
0.64,204.31046596269564
0.65,202.53035915696867
0.66,200.72583732650543
0.67,199.44010087606685
0.68,199.47672678261767
0.69,200.7747867774168
0.7,202.9192155433083
0.71,204.66324358489342
0.72,206.23167459490364
0.73,207.8585459929649
0.74,209.00064861395052
0.75,209.6194484500308
0.76,209.2844661853729
0.77,208.0654300329794
0.78,206.4408555584873
0.79,204.8495323609541
0.8,202.57049053877725
0.81,198.59454691723957
0.82,195.6635586248836
0.83,194.04989892269782
0.84,193.6744463478872
0.85,194.49252116825843
0.86,196.3979537197436
0.87,199.0854055280177
0.88,202.41079503641015
0.89,204.99032673801327
0.9,206.7620260100408
0.91,207.95051283970284
0.92,208.7056147631264
0.93,209.55731032564816
0.94,209.98000617121548
0.95,209.54379773140587
0.96,208.06743832551447
0.97,206.66070298232103
0.98,204.92065766015529
0.99,203.12682243008
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,207.729023639612
1.31,205.2406467776009
1.32,201.78014179386892
1.33,199.43366378807312
1.34,198.0175215578041
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,205.0731433711263
1.78,206.74380246241472
1.79,208.84569481914346
1.8,210.66596999554565
1.81,211.49097697808185
1.82,211.2411377496273
1.83,210.2172563070473
1.84,209.4329781730521
1.85,209.2949543113245
1.86,208.30959839422633
1.87,206.58871566976276
1.88,204.9913518305692
1.89,203.30628170448202
1.9,202.21425241771988
1.91,201.96315314901625
1.92,201.54827038741465
1.93,201.9279320513801
1.94,203.38707100811607
1.95,205.17124574704468
1.96,207.7492751068969
1.97,210.4498778578773
1.98,211.95418433879007
1.99,212.4644304551712
2.0,212.4889121798951
2.01,211.79650780412263
2.02,209.76166481140427
2.03,208.01030101093804
2.04,206.1990008651625
