Time,Frequency
0.0,319.48130685023966
0.01,315.983025127648
0.02,314.4588291127711
0.03,312.64578310735635
0.04,311.3103796922534
0.05,309.1582224716318
0.06,305.4067834625857
0.07,297.81649994504966
0.08,292.46276166243706
0.09,nan
0.1,nan
0.11,279.3532487222618
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,341.44868362244324
0.73,343.253604779075
0.74,343.98490776253243
0.75,343.7268350474975
0.76,342.2014061238584
0.77,340.35238697825446
0.78,339.59389397253096
0.79,339.8345653879959
0.8,339.27007040740364
0.81,338.17502712285864
0.82,335.41430366446724
0.83,333.27640752067714
0.84,330.5980465055714
0.85,328.42574362910574
0.86,327.8002174007545
0.87,327.573958568554
0.88,327.35809400756534
0.89,327.3060794902607
0.9,326.6168007964819
0.91,325.53726222240005
0.92,323.43346044565635
0.93,320.7829353004845
0.94,319.5142831711667
0.95,319.81928725316567
0.96,319.9528484490668
0.97,318.3269083234372
0.98,315.00501489644546
0.99,308.5034221516289
1.0,303.48991044557374
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,436.46728405594223
1.21,435.8164208183371
1.22,435.67744996043245
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,438.40461081852766
1.31,437.69487482006616
1.32,437.1911408310419
1.33,436.35557169409424
1.34,434.1493942890695
1.35,431.56251787704383
1.36,426.0965076834798
1.37,413.29620512840575
1.38,407.1351778344101
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,427.3954258018705
1.62,426.53281678495705
1.63,427.0314231600884
1.64,426.21288354709833
1.65,425.7688859808412
1.66,426.3583047423418
1.67,426.1689736756382
1.68,426.4976643952149
1.69,426.1402585521603
1.7,424.6734907451505
1.71,421.38090109781473
1.72,417.7138124661957
1.73,414.8566333513586
1.74,412.78603550950754
1.75,412.54358426805686
1.76,413.4585554473941
1.77,419.4225618979697
1.78,427.0759571321998
1.79,432.4680458448637
1.8,434.1947499501339
1.81,433.1363602986449
1.82,431.9262924998514
1.83,432.41510689469294
1.84,432.0785794365356
1.85,431.9795661167989
1.86,431.92249860829577
1.87,431.6917354453541
1.88,431.12923737482527
1.89,429.767100677229
1.9,427.7696261219591
1.91,426.3422411936903
1.92,425.514522038138
1.93,425.15633439279446
1.94,425.0186223850293
1.95,425.2588679936716
1.96,425.5618634001476
1.97,425.685633170425
1.98,426.0527980134702
1.99,427.1785975691166
