Time,Frequency
0.0,321.9157762840692
0.01,322.4590780011352
0.02,324.1075003986
0.03,329.77202089755593
0.04,334.9332186042465
0.05,338.28300019005235
0.06,340.1988759709928
0.07,339.00850735160697
0.08,336.0194705055238
0.09,329.97732669047366
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,259.0640035511241
0.15,264.3073659798449
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,348.20480949529053
0.23,349.86473767792864
0.24,350.1784346498545
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,272.0295745951413
0.38,273.5236890229543
0.39,273.2279065576279
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,299.56965197061004
0.53,300.05167212431854
0.54,298.81137943756977
0.55,296.0485988472097
0.56,293.7239780290052
0.57,292.24107425180125
0.58,291.0969313293889
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,282.1221497716643
0.66,nan
0.67,287.4252929139411
0.68,289.0615778505252
0.69,290.2289922987001
0.7,289.81367667972427
0.71,288.62511127165806
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,287.2595375084775
0.84,290.8028309409926
0.85,293.4724797190886
0.86,295.05638017057737
0.87,295.0629205904007
0.88,294.3278715574651
0.89,293.1732956353753
0.9,290.68129163138104
0.91,287.7562751021832
0.92,284.47441136984065
0.93,279.9487597660526
0.94,277.31219583553946
0.95,276.37800685796986
0.96,276.6997581726689
0.97,277.48090250203046
0.98,278.1560194726062
0.99,278.96091581904835
1.0,280.4800530698324
1.01,283.2301666064259
1.02,286.2249604049541
1.03,288.3702491580775
1.04,290.6639014956047
1.05,294.5092617290517
1.06,297.5937975198459
1.07,298.83425874801367
1.08,299.1998582312653
1.09,299.5121597349008
1.1,301.2233937844886
1.11,303.46583128851506
1.12,308.22201746126444
1.13,nan
1.14,312.43329387488325
1.15,313.5278211623332
1.16,315.0777526846873
1.17,316.7509192281275
1.18,320.0070165883982
1.19,nan
1.2,330.2134721405065
1.21,334.83259696145075
1.22,337.9908013962494
1.23,339.3248831372472
1.24,337.1367179172951
1.25,331.9889387910207
1.26,nan
1.27,nan
1.28,311.3931571755936
1.29,nan
1.3,294.1111151463464
1.31,288.76485125573134
1.32,288.08638442833575
1.33,291.16201097726537
1.34,296.2654448406576
1.35,303.32520990560846
1.36,nan
1.37,nan
1.38,nan
1.39,342.58208313814566
1.4,345.23444301885974
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,287.22003907390024
1.46,284.3762112594452
1.47,286.90156572708
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,330.1718585701609
1.54,333.1010639788292
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,275.95856725487647
1.69,272.66695622420565
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,285.00547978527646
1.82,284.30611102132804
1.83,283.97597265767314
1.84,284.2757366703416
1.85,284.1488299526271
1.86,282.1812425337721
1.87,278.289356355084
1.88,275.11575395280096
1.89,272.17588141904923
1.9,269.37380829191983
1.91,267.7263037898182
1.92,267.2632912982113
1.93,268.7470014993412
1.94,270.78711966350124
1.95,273.35685038675854
1.96,277.545842139916
1.97,283.5172816246373
1.98,288.33350238200643
1.99,293.2610234552089
2.0,298.19211864433254
2.01,302.1734885779907
2.02,304.1100301732603
2.03,303.62292625805435
2.04,299.9438294211286
2.05,294.7261131949172
2.06,289.18999865994937
2.07,281.6717947787928
2.08,275.4251112552579
2.09,270.7461346804491
2.1,266.9384990841672
2.11,265.9040438459748
2.12,267.4002469796041
2.13,268.9348292078993
2.14,271.0433706591785
2.15,273.396094737034
2.16,nan
2.17,290.44065741681703
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,310.8533554054813
2.23,310.0548542116497
2.24,308.5856053288239
2.25,305.1109149148766
2.26,nan
2.27,285.6328047050061
2.28,278.47359451491565
2.29,275.0421717319272
2.3,274.0140794249825
2.31,nan
2.32,276.46566542725645
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,287.4971637086187
2.38,287.71630517352673
2.39,286.32775565887124
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
2.46,nan
2.47,nan
2.48,nan
2.49,nan
2.5,nan
2.51,nan
2.52,nan
2.53,nan
2.54,165.85045941260344
2.55,nan
2.56,nan
2.57,nan
2.58,nan
2.59,nan
2.6,nan
2.61,nan
2.62,nan
2.63,nan
2.64,nan
2.65,nan
2.66,nan
2.67,nan
2.68,nan
2.69,nan
2.7,nan
2.71,nan
2.72,nan
2.73,nan
2.74,nan
2.75,nan
2.76,nan
2.77,nan
2.78,nan
2.79,nan
2.8,nan
2.81,nan
2.82,nan
2.83,nan
2.84,nan
2.85,nan
2.86,nan
2.87,nan
2.88,nan
2.89,nan
2.9,nan
2.91,nan
2.92,nan
2.93,nan
2.94,nan
2.95,nan
2.96,nan
2.97,nan
2.98,nan
2.99,nan
3.0,nan
3.01,nan
3.02,nan
3.03,nan
3.04,nan
3.05,nan
3.06,nan
3.07,nan
3.08,nan
3.09,nan
3.1,nan
3.11,nan
3.12,nan
3.13,nan
3.14,nan
3.15,300.6658183749265
3.16,nan
3.17,nan
3.18,nan
3.19,nan
3.2,nan
3.21,nan
3.22,nan
3.23,nan
3.24,nan
3.25,nan
3.26,nan
3.27,nan
3.28,nan
3.29,nan
3.3,nan
3.31,nan
3.32,nan
3.33,nan
3.34,nan
3.35,nan
3.36,nan
3.37,nan
3.38,nan
3.39,nan
3.4,nan
3.41,nan
3.42,nan
3.43,nan
3.44,nan
3.45,nan
3.46,nan
3.47,nan
3.48,nan
3.49,nan
3.5,nan
3.51,nan
3.52,nan
3.53,nan
3.54,nan
3.55,nan
3.56,nan
3.57,nan
3.58,nan
3.59,nan
3.6,nan
3.61,296.01863309076026
3.62,298.1479106310945
3.63,300.093937315302
3.64,nan
3.65,nan
3.66,297.6681398793916
3.67,294.12890416193693
3.68,nan
3.69,nan
3.7,nan
3.71,266.22833517585724
3.72,263.5381642022505
3.73,262.4995535049904
3.74,263.9199297264835
3.75,266.8043064346098
3.76,269.7138170021864
3.77,272.1174562657696
3.78,275.0470449240556
3.79,278.1016974288233
3.8,281.3880992233484
3.81,nan
3.82,nan
3.83,nan
3.84,274.3707162167879
3.85,271.89070923749904
3.86,266.0289918451324
3.87,258.722888084921
3.88,256.75433651823874
3.89,255.29857355312225
3.9,254.10128688030824
3.91,254.6412471474426
3.92,256.2155819288316
3.93,257.8670693408605
3.94,259.53721777155266
3.95,260.9734736975356
3.96,262.12544879467043
3.97,nan
3.98,nan
3.99,329.6455094795899
4.0,330.2793881908497
4.01,327.8813693104527
4.02,324.28529851545244
4.03,nan
4.04,nan
4.05,nan
4.06,nan
4.07,nan
4.08,nan
4.09,nan
4.1,nan
4.11,nan
4.12,nan
4.13,nan
4.14,nan
4.15,nan
4.16,nan
4.17,nan
4.18,nan
4.19,nan
4.2,nan
4.21,nan
4.22,nan
4.23,nan
4.24,nan
4.25,nan
4.26,nan
4.27,nan
4.28,nan
4.29,nan
4.3,nan
4.31,nan
4.32,nan
4.33,nan
4.34,nan
4.35,nan
4.36,nan
4.37,nan
4.38,nan
4.39,nan
4.4,nan
4.41,nan
4.42,nan
4.43,nan
4.44,nan
4.45,nan
4.46,nan
4.47,nan
4.48,nan
4.49,nan
4.5,nan
4.51,nan
4.52,nan
4.53,nan
4.54,nan
4.55,nan
4.56,nan
4.57,nan
4.58,nan
4.59,nan
4.6,nan
4.61,nan
4.62,344.97915467781235
4.63,344.9753849018225
4.64,344.1754961573273
4.65,343.7052461829739
4.66,344.95559022109114
4.67,348.3336310506659
4.68,353.6029627351594
4.69,362.4337737788309
4.7,nan
4.71,376.9082124805557
4.72,380.3098798168522
4.73,378.1984554168991
4.74,nan
4.75,nan
4.76,nan
4.77,nan
4.78,330.6507990134618
4.79,324.69002976765705
4.8,317.97819685510245
4.81,312.9482004427053
4.82,310.69304457340183
4.83,308.29810142569494
4.84,306.29854125718134
4.85,306.16963064744925
4.86,308.1813534064505
4.87,310.4736224940815
4.88,310.1627436041824
4.89,nan
4.9,nan
4.91,nan
4.92,nan
4.93,nan
4.94,nan
4.95,nan
4.96,nan
4.97,nan
4.98,nan
4.99,nan
5.0,nan
5.01,nan
5.02,nan
5.03,nan
5.04,nan
5.05,nan
5.06,nan
