Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,552.2750002026352
0.13,556.2766520532444
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,301.8723404935163
0.35,nan
0.36,nan
0.37,332.883492855347
0.38,337.3165987241285
0.39,339.42299562076755
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,304.1592842643446
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,327.57482122455605
0.71,nan
0.72,350.7047557867072
0.73,nan
0.74,nan
0.75,397.1564579953132
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,464.4854889496918
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,302.5111976349054
1.05,302.3263567092406
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,276.59334331960144
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,492.6014823320983
1.96,491.122128113285
1.97,484.42592202661075
1.98,472.6045259080087
1.99,467.74781270163146
2.0,464.31900653192884
2.01,462.4692785163829
2.02,459.93840892629174
2.03,455.4467788470368
2.04,450.33616795048783
2.05,445.23301519263066
2.06,440.9691855831044
2.07,437.7076468166325
2.08,434.6459600864872
2.09,432.56182422992487
2.1,431.1607843534145
2.11,429.9621733850937
2.12,429.15591268278126
2.13,428.3173179970046
2.14,424.60278242694505
2.15,417.4085424336693
2.16,413.6427241621945
2.17,412.5106232172039
2.18,412.9369199126898
2.19,413.2068135846245
2.2,413.10620381973024
2.21,411.697152420981
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,321.4884471329302
2.31,320.34446796503863
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,319.9187333925558
2.41,315.77786601815524
2.42,312.3125598886638
2.43,310.25143085283287
2.44,309.4904942397844
2.45,309.7934178446683
2.46,310.4144951546778
2.47,311.3302956523789
2.48,312.1908781922824
2.49,312.764729722665
