Time,Frequency
0.0,287.3113993103697
0.01,287.1066221763458
0.02,288.5901832809696
0.03,289.3625276289663
0.04,289.88114535409454
0.05,289.2157435812244
0.06,285.1358339051589
0.07,276.6543564627148
0.08,272.2193273169004
0.09,269.0419197182485
0.1,264.3333731716775
0.11,259.58227495002143
0.12,256.7315028911974
0.13,255.42010973500518
0.14,254.16623082595044
0.15,252.30542487794656
0.16,249.91309286635965
0.17,247.94629783593388
0.18,247.01948824722425
0.19,246.7213072723953
0.2,247.25999975451018
0.21,248.00677526452276
0.22,248.7072405159604
0.23,249.6191798570496
0.24,250.53282092257547
0.25,251.4631282154416
0.26,252.43073531796924
0.27,252.7784208913927
0.28,251.7923053311513
0.29,249.7868175179105
0.3,247.57703109047992
0.31,245.8733361889232
0.32,244.35378585240292
0.33,243.30551494328972
0.34,242.9580744187895
0.35,244.14904486699717
0.36,246.2092197903165
0.37,249.30386715765675
0.38,253.543176805126
0.39,256.6886741574912
0.4,258.70601248157215
0.41,261.6342154155371
0.42,271.2377331397952
0.43,272.3360081496406
0.44,268.8516907309902
0.45,260.8805043340019
0.46,255.2688136599669
0.47,248.68109787926
0.48,243.1408184225916
0.49,241.20327261979293
0.5,240.704167476047
0.51,241.72871778119642
0.52,244.04811411789336
0.53,248.07563265379176
0.54,255.05307530951947
0.55,258.64620804879746
0.56,260.53141438437456
0.57,262.3814212456039
0.58,265.60162172190365
0.59,267.346444496211
0.6,264.11602631857727
0.61,258.60279278575786
0.62,254.56600998786652
0.63,nan
0.64,242.12276337503468
0.65,236.67435041137043
0.66,233.40321796174428
0.67,234.2357196375661
0.68,237.3900648622881
0.69,239.89127856753953
0.7,245.89453350517033
0.71,255.95754625618912
0.72,nan
0.73,nan
0.74,nan
0.75,326.2094421937846
0.76,328.19075664942835
0.77,327.54696424771447
0.78,nan
0.79,nan
0.8,nan
0.81,268.0207348508152
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,500.3120276241543
1.06,493.78908350694564
1.07,483.6771533652334
1.08,473.3343446302025
1.09,469.16177978030817
1.1,469.59627167956336
1.11,470.6045722501099
1.12,471.50436911510985
1.13,473.1766531217216
1.14,nan
1.15,487.9591027676584
1.16,490.42643250949254
1.17,492.73992530336733
1.18,494.0405788455705
1.19,495.6044381174152
1.2,497.1132574815919
1.21,498.7909467005849
1.22,501.49574891706766
1.23,506.03930174562413
1.24,509.755729797082
1.25,512.6063872367714
1.26,513.4747296012732
1.27,513.386363247881
1.28,511.1752302932066
1.29,504.5176576392935
1.3,497.7167220475049
1.31,490.4803595160306
1.32,480.6343755046012
1.33,471.82107447447993
1.34,469.2730114159976
1.35,470.8651129100372
1.36,478.81920389456087
1.37,484.8213211394076
1.38,489.6529099828964
1.39,494.47583899301526
1.4,503.2964831896796
1.41,510.3833031713921
1.42,512.8779173742067
1.43,516.1088490612949
1.44,519.7787888903284
1.45,522.6943916633992
1.46,523.5991791704863
1.47,522.4500060953869
1.48,519.136398053586
1.49,514.0964295176761
1.5,508.2237468727357
1.51,503.109209183079
1.52,500.48803433335706
1.53,496.8589780487466
1.54,494.8611932124522
1.55,493.4250254247549
1.56,492.14309366301495
1.57,493.6851089367844
1.58,495.59537652675033
1.59,496.86409407312846
1.6,498.1545454376083
1.61,502.3487727705589
1.62,511.34161046406473
1.63,518.9577474002106
1.64,525.0755564155967
1.65,526.8961046987881
1.66,526.01666340459
1.67,524.3193080128025
1.68,522.499995612347
1.69,520.4166568127225
1.7,517.4969288425046
1.71,514.0191788098797
1.72,506.74224103259627
1.73,498.12791747407584
1.74,489.37643560736524
1.75,478.6488746945259
1.76,471.4364879688146
1.77,469.943968948815
1.78,471.0925586850416
1.79,nan
1.8,492.2523898136269
1.81,499.96376312059624
1.82,512.1801940602707
1.83,520.0836625610565
1.84,525.0623752782974
1.85,526.3265620990435
1.86,525.2527671843887
1.87,523.1107549520991
1.88,518.9749675565708
1.89,nan
1.9,507.42807196654417
1.91,502.6562235967526
1.92,500.89585675623704
1.93,500.88005544029664
1.94,501.3978781252668
1.95,502.738815029816
1.96,505.2165046935477
1.97,508.6442718369334
1.98,510.99128948055966
1.99,512.3850221901714
2.0,514.2024212383594
2.01,515.6200649469703
2.02,517.9246856239882
2.03,nan
2.04,nan
2.05,nan
2.06,505.33035876900334
2.07,507.57492935912813
2.08,507.2157252268913
2.09,507.31376636688907
2.1,nan
2.11,nan
2.12,512.8103425832211
2.13,nan
2.14,nan
2.15,nan
2.16,499.29875828838857
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,493.19639189541425
2.33,497.1933680104288
