Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,150.41544140128042
0.85,152.18149988722243
0.86,154.386392921776
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,172.9985996894581
0.93,173.7969589872803
0.94,173.422634107087
0.95,nan
0.96,nan
0.97,161.92346823848095
0.98,nan
0.99,152.123551495818
1.0,148.09365600180297
1.01,144.66296311714495
1.02,142.20842670365647
1.03,142.0835795721285
1.04,143.50224763264077
1.05,146.6806196712157
1.06,150.1023711002767
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,181.70100641587737
1.12,183.00655636712537
1.13,181.555953641229
1.14,nan
1.15,nan
1.16,165.78656514807037
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,150.50413201627512
1.22,150.7111774778288
1.23,nan
1.24,nan
1.25,nan
1.26,164.90663833664556
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,185.4489852020901
1.32,185.23982761230863
1.33,nan
1.34,184.4234961131528
1.35,185.2335769596396
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,227.33797202622156
1.42,226.80573072404655
1.43,225.79063455774525
1.44,224.6113027069432
1.45,223.26066719592944
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,219.67726934466657
1.53,220.6830775736363
1.54,220.4056953295072
1.55,217.79962200923995
1.56,213.62745029575464
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,207.4851281110036
1.63,nan
1.64,211.377270807989
1.65,213.19393414191268
1.66,214.5828115714409
1.67,215.1816422094846
1.68,nan
1.69,215.63522541963115
1.7,215.3689049655713
1.71,214.34279250991207
1.72,212.0844934644759
1.73,209.13987510471966
1.74,207.00651161054267
1.75,205.29350732205648
1.76,204.16160941790585
1.77,203.2841254314905
1.78,203.0656924609185
1.79,204.62292616366773
1.8,208.2895251765552
1.81,212.2185484864015
1.82,213.88457375173047
1.83,213.6630198034446
1.84,212.3053700993537
1.85,210.92013195850413
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
