Time,Frequency
0.0,275.7758562999217
0.01,276.31248758335687
0.02,276.1455341462551
0.03,275.62240937384195
0.04,275.09531384946445
0.05,274.4018810587505
0.06,273.25283345329774
0.07,271.19165551934213
0.08,271.1338294551465
0.09,272.4983690481191
0.1,275.8393849772895
0.11,281.7347196684473
0.12,nan
0.13,301.1101934093859
0.14,304.921868135795
0.15,308.3931232765215
0.16,310.7852665296553
0.17,311.3055232874929
0.18,310.8270792127758
0.19,308.9343779732167
0.2,304.55217026832
0.21,299.1216364169975
0.22,nan
0.23,290.077254924329
0.24,287.79430470211486
0.25,286.42115052955825
0.26,286.2613410192119
0.27,287.0808695629679
0.28,289.08444726318817
0.29,291.7851704044982
0.3,294.00315961096845
0.31,295.697940262562
0.32,297.20048822979203
0.33,298.5731631849732
0.34,300.3179074756263
0.35,302.2077853481466
0.36,302.6912817990852
0.37,301.5919822489112
0.38,299.38567355167146
0.39,295.2210828983866
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,262.7743748958662
0.65,260.0410850670381
0.66,258.77349847155466
0.67,258.8572454946921
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,271.81449670606423
0.75,271.75819049023914
0.76,271.21016012564576
0.77,270.32111281566694
0.78,267.97596603574254
0.79,nan
0.8,258.7668778691415
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,189.6572866120334
0.86,187.11591257799145
0.87,186.82500763622485
0.88,188.61083891540488
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,222.40141880761564
0.96,222.94807108200013
0.97,221.10195487665197
0.98,217.01245280690853
0.99,211.194040067088
1.0,nan
1.01,nan
1.02,198.08050956872395
1.03,195.72992967284912
1.04,194.2014456577584
1.05,193.76593246665263
1.06,194.0965460012814
1.07,195.689854522362
1.08,197.79029559742813
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,194.5957614844407
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,199.1114296821022
1.41,205.3116448566464
1.42,207.87449704119652
1.43,209.53432080736147
1.44,210.6698385781616
1.45,211.16448143367668
1.46,211.15883441446488
1.47,210.31458709845325
1.48,209.0832979253001
1.49,205.37042981152644
1.5,201.37891324453136
1.51,196.51448466338252
1.52,193.72697180684537
1.53,192.4226125931063
1.54,192.5279407649876
1.55,193.554928565199
1.56,195.51748765873975
1.57,198.37149877173542
1.58,203.9055587524336
1.59,207.5737036696426
