Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,275.45596011165054
0.14,275.80322838668354
0.15,275.60261973003685
0.16,275.30614656974336
0.17,275.0748083757076
0.18,274.73471408865026
0.19,273.8469349374491
0.2,272.396323615233
0.21,269.6375271855781
0.22,265.5964275013448
0.23,261.5308923714657
0.24,259.3076599190005
0.25,257.8624598346733
0.26,257.9544003884239
0.27,259.824750093298
0.28,262.4680846268999
0.29,266.54043437092645
0.3,271.1194479168724
0.31,274.1027082948208
0.32,276.895161925721
0.33,277.80834202433635
0.34,277.7521263803882
0.35,277.00763022536034
0.36,275.8447902446408
0.37,273.71914748862207
0.38,269.88178929664065
0.39,264.73089694469815
0.4,262.145573559508
0.41,262.6974288549296
0.42,267.0886562495079
0.43,273.5932094208476
0.44,278.14323636749265
0.45,282.21590647462534
0.46,284.7990537593046
0.47,284.72033888973766
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,381.898560742286
1.09,381.8047680100048
1.1,382.2892027012807
1.11,381.28560384666577
1.12,378.937248391292
1.13,378.9142305789008
1.14,380.7909613653824
1.15,379.4728592426788
1.16,376.9355982085917
1.17,373.3467840558081
1.18,369.0369124615223
1.19,365.5686483343083
1.2,362.2540663146912
1.21,360.8233670155292
1.22,361.9764062809087
1.23,363.0441276163741
1.24,361.6557431704063
1.25,360.0945263967625
1.26,357.99341761917947
1.27,356.2142372383184
1.28,355.8491993164708
1.29,357.57191914824347
1.3,360.5294545987274
1.31,360.8489493755041
1.32,360.2196513300308
1.33,361.0394585510203
1.34,361.3832827853047
1.35,360.0601096899028
1.36,358.5420826447489
1.37,355.8329530897
1.38,352.9731992363869
1.39,351.9889103362806
1.4,352.2547796764359
1.41,352.3973665670581
1.42,352.1300237812317
1.43,349.3852467893595
1.44,343.0857288324768
1.45,336.0686137570638
1.46,333.4219135459836
1.47,333.34739980600614
1.48,333.05656775306994
1.49,332.6002324013152
1.5,332.9393801303289
1.51,333.7287727151926
1.52,334.5831497863853
1.53,335.774447584176
1.54,337.1945814376133
1.55,338.250784762012
1.56,337.31300600419286
1.57,333.3029929460374
1.58,327.48466914385693
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,275.05107703371647
1.98,276.86740923803666
1.99,277.7700266080513
2.0,277.5034121893572
2.01,276.5612939316476
2.02,275.3693956230554
2.03,272.6325754386773
2.04,268.1973530132658
2.05,nan
2.06,248.6763832685094
2.07,245.30843589773437
2.08,245.90554244272067
2.09,249.74210210757016
2.1,nan
2.11,nan
2.12,277.2637246647935
2.13,280.0114872219569
2.14,280.9140230255712
