Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,242.99875932043682
0.16,244.24955772336904
0.17,245.4866729863604
0.18,247.1098612772187
0.19,248.86186123697817
0.2,250.3203494579878
0.21,251.5295725347303
0.22,nan
0.23,nan
0.24,nan
0.25,257.2270089904932
0.26,259.1298397496652
0.27,261.3759656784708
0.28,263.1484310761017
0.29,264.052531910643
0.3,263.7574388260915
0.31,262.66166484485444
0.32,261.15618562148137
0.33,259.46868704262897
0.34,256.97613713558474
0.35,254.69575239076386
0.36,253.4039901774333
0.37,252.6710828684658
0.38,252.16140061298796
0.39,252.90972614309467
0.4,255.43004754471127
0.41,258.92189208792604
0.42,262.6210613946591
0.43,264.6567751403704
0.44,262.72328992327584
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,250.0128491453487
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,207.0679752914779
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,207.56883203856663
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,246.43988047070383
1.15,247.00825058260332
1.16,nan
1.17,nan
1.18,nan
1.19,256.50643724907195
1.2,257.8614472479922
1.21,257.8711140118365
1.22,257.1280934611623
1.23,256.1707192369892
1.24,254.9518325326801
1.25,254.15229041363995
1.26,253.7317571077849
1.27,253.5132610856746
1.28,252.7999281219886
1.29,252.4273948688208
1.3,252.9007945531936
1.31,254.42756529127377
1.32,256.6387439103429
1.33,258.0237380213736
1.34,258.46844279416024
1.35,259.0399797713048
1.36,259.39480759079623
1.37,259.3350201285226
1.38,259.1291292424906
1.39,258.54209573928773
1.4,257.90234443408366
1.41,256.8640327877005
1.42,255.826951622702
1.43,254.4588602116831
1.44,253.85809407128187
1.45,253.58287391184967
1.46,253.9614315581996
1.47,254.89950898635527
1.48,256.58620565964446
1.49,258.1041211079946
1.5,259.83094424651495
1.51,261.5425074335405
1.52,263.1421810201785
1.53,264.47277426864514
1.54,265.4768356621714
1.55,264.81060713608906
1.56,262.506848564497
1.57,260.36958695081785
1.58,258.5621500809407
1.59,257.7821898173595
1.6,257.6230155049569
1.61,258.15666780758227
1.62,259.3415556820495
1.63,260.6673694981855
1.64,261.6454257393743
1.65,262.2777899738848
1.66,262.3492613157456
1.67,262.7911844412406
1.68,263.65238340954653
1.69,262.8288562089632
1.7,261.8567528261942
1.71,261.0500893221859
1.72,260.5174943010107
1.73,260.37146849878405
1.74,260.08656535435864
1.75,259.895013834217
1.76,258.38499778685724
1.77,256.5503432307884
1.78,254.33794692993663
1.79,253.1517119266209
1.8,253.96277805098072
1.81,255.98979089338567
1.82,257.23563123611007
1.83,257.92115031919883
1.84,258.9111857932485
1.85,260.39160729037667
1.86,261.29594739329383
1.87,261.7380873658929
1.88,261.3771198737481
1.89,262.12711108982035
1.9,263.01552614643447
1.91,262.22167874976
1.92,261.0287091976817
1.93,260.22095878083474
1.94,260.756252963875
1.95,260.9699286455184
1.96,259.1570259125042
1.97,255.31209181045773
1.98,253.4842681431097
1.99,253.8152918930443
2.0,255.693976141442
2.01,258.13157406048384
2.02,260.7189995981685
2.03,261.8628173128153
