Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,267.66117374868
0.18,261.5300881153228
0.19,255.5886943956331
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,286.4250594943944
0.31,nan
0.32,nan
0.33,270.83076017561405
0.34,266.24023186969754
0.35,nan
0.36,nan
0.37,245.6349002481929
0.38,nan
0.39,236.96561762849257
0.4,236.6506340010817
0.41,240.9074918078804
0.42,nan
0.43,nan
0.44,281.32144216722224
0.45,285.54241415465805
0.46,291.9184503894986
0.47,292.0829016413964
0.48,288.4426134876136
0.49,283.67512964115446
0.5,280.32421330221086
0.51,280.79828155367306
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,336.8713203563818
0.57,337.62047500516445
0.58,334.52244747272283
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,315.23804019068626
0.68,310.72484067931435
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,315.90053370597565
0.75,320.2517416789837
0.76,nan
0.77,nan
0.78,nan
0.79,327.62044439141323
0.8,324.2847482794979
0.81,318.8090296597669
0.82,308.9804126512114
0.83,305.34778710622953
0.84,305.0322838801824
0.85,310.23000272257383
0.86,318.88697820367645
0.87,331.9374290010462
0.88,334.90887048346445
0.89,335.6111971517816
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,352.4705579694438
0.96,349.85008963517686
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,368.5429340259122
1.06,369.0068412968052
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,382.0457759144966
1.16,384.2403889184651
1.17,nan
1.18,384.4677315686431
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,369.3655872477913
1.27,364.2301051994087
1.28,362.5288218244793
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
2.46,nan
2.47,nan
2.48,nan
2.49,nan
2.5,nan
2.51,nan
2.52,nan
2.53,nan
