Time,Frequency
0.0,263.91311604425783
0.01,264.49106427788905
0.02,265.1387412062936
0.03,266.80031325379395
0.04,268.81699730378324
0.05,270.46403643291865
0.06,271.6773264508651
0.07,273.71174472265056
0.08,275.25754935249984
0.09,276.6016582468624
0.1,277.6659180809207
0.11,277.3526965995173
0.12,275.9675443062316
0.13,273.7862436917759
0.14,270.97046696682645
0.15,268.50405073226443
0.16,266.7335902990275
0.17,265.6931493021028
0.18,264.49875465232947
0.19,264.88228246718324
0.2,266.63898178881266
0.21,269.32507001375905
0.22,271.58335958496343
0.23,273.0303567177206
0.24,274.7472214463478
0.25,275.6614079225693
0.26,275.9691105059111
0.27,275.2488202956392
0.28,273.2613265246278
0.29,270.8539057323364
0.3,268.0522111663751
0.31,266.42676719205235
0.32,265.72511128522143
0.33,266.0394233334725
0.34,266.8643077566605
0.35,269.26852282066244
0.36,271.62794424469416
0.37,272.58280792769085
0.38,272.3236933805207
0.39,269.0866813830648
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,275.43552389614115
0.47,280.6902161810142
0.48,284.87182327099833
0.49,287.54547067609815
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,316.5711588016674
0.57,315.1616607469944
0.58,311.3447537621299
0.59,304.5414996107019
0.6,300.4529997059845
0.61,298.1015620191189
0.62,295.9808477218466
0.63,294.6976937757445
0.64,293.53960318756253
0.65,292.989985091343
0.66,293.6117210389509
0.67,295.2303170623786
0.68,296.0250516424834
0.69,296.4458846294136
0.7,296.2828028483092
0.71,294.1687134442044
0.72,290.34504072767686
0.73,287.278584324636
0.74,285.6933272936775
0.75,285.26205711814725
0.76,286.1109609534896
0.77,288.462418265022
0.78,290.9684725191936
0.79,291.4722778338953
0.8,290.5901084962261
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,274.03355299545984
0.88,272.19732070024014
0.89,267.5155242777886
0.9,260.97375228570195
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,271.97689726282806
0.98,273.46590283575165
0.99,273.9351177693818
1.0,273.441328767684
1.01,271.79353436444904
1.02,270.546717571837
1.03,269.47356653825784
1.04,268.2244775664868
1.05,268.13949134853567
1.06,269.6780967329072
1.07,272.0625706323213
1.08,274.8338173795868
1.09,276.8713812264425
1.1,277.6556437789056
1.11,275.1693790648449
1.12,271.87990692400086
1.13,269.1540639456625
1.14,269.4919307359878
1.15,275.26790328774234
1.16,283.03198885897467
1.17,nan
1.18,nan
1.19,339.5076862940617
1.2,348.78957456052456
1.21,355.7789400018829
1.22,360.7139284731268
1.23,362.2964807871188
1.24,360.6955035011064
1.25,357.8873112648049
1.26,nan
1.27,nan
1.28,nan
1.29,315.0231661353211
1.3,310.34296215584874
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,299.3212146507934
1.59,294.0559046322361
1.6,290.6859886441702
1.61,288.57414409570106
1.62,287.80388290367506
1.63,287.7166386937621
1.64,288.53212846799187
1.65,290.05943296746244
1.66,291.3072955922841
1.67,291.9814398456372
1.68,293.96875661616497
1.69,295.23218007740473
1.7,295.2215486162163
1.71,292.872698478352
1.72,289.62790705259573
1.73,nan
1.74,293.8965497456733
1.75,291.7858160437149
1.76,nan
1.77,275.3538594841262
1.78,271.0866728946437
1.79,266.7815045968795
1.8,264.806151422601
1.81,264.7665917040135
1.82,265.2372969684147
1.83,nan
1.84,267.7482766422322
1.85,269.4263440656781
1.86,nan
1.87,272.6671569840163
1.88,273.4949213895273
1.89,273.15109074411714
1.9,272.7185775193484
1.91,271.71101735414754
1.92,269.9245973020321
1.93,268.79557219559825
1.94,267.6924737915421
1.95,267.00566878660834
1.96,266.02892445469985
1.97,265.1356758426282
1.98,263.907584577322
1.99,263.63618513012574
2.0,264.4496276639938
2.01,266.5478331021545
2.02,268.925524084775
2.03,271.1360536698586
2.04,272.8877177644269
2.05,274.88487392185215
2.06,276.67732116157794
2.07,277.157363437609
2.08,276.5179534296032
2.09,274.4696364899913
2.1,272.0974689816324
2.11,269.48377068160016
2.12,267.24057663915346
2.13,264.9231775166934
2.14,263.284249780796
2.15,262.7666247430464
