Time,Frequency
0.0,261.73122502810173
0.01,261.58753886948034
0.02,260.6419252657444
0.03,259.0617431349293
0.04,256.9967928144521
0.05,254.00177109347683
0.06,249.5977568755187
0.07,247.04116933214797
0.08,244.85501441023055
0.09,241.99240320927967
0.1,239.6459440660768
0.11,240.7697580420688
0.12,244.1342129947165
0.13,246.96721742975691
0.14,249.233589340148
0.15,250.88585466586352
0.16,252.6021453243881
0.17,256.1662832019219
0.18,258.05731206431466
0.19,259.65054501703344
0.2,259.6364949861978
0.21,257.1414684030956
0.22,254.46507988279595
0.23,250.70957801576003
0.24,247.3280058379761
0.25,246.4647788644386
0.26,245.29359734605904
0.27,239.6788320889442
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,305.0415243497624
0.69,nan
0.7,303.9134525842554
0.71,307.5819345215081
0.72,309.4118316585865
0.73,308.9224955789872
0.74,307.2953272397333
0.75,304.9878499490072
0.76,303.8760071156222
0.77,300.66591600889933
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,315.9584892374145
0.92,nan
0.93,nan
0.94,314.88600054475603
0.95,311.45935799356766
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,262.5178345764056
1.02,nan
1.03,nan
1.04,263.1937126861432
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,311.2944149020287
1.1,nan
1.11,312.16800636655205
1.12,309.594048247061
1.13,305.0191954084409
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,325.7729213146783
