Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,374.616078512808
0.14,376.57455179840673
0.15,378.7277010882183
0.16,381.34541505331936
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,400.4861967054451
0.43,400.31930811979777
0.44,401.46245327411214
0.45,402.2991593770225
0.46,403.54964815529104
0.47,403.1813642428164
0.48,403.3639931662685
0.49,404.9778190796906
0.5,405.7773552972136
0.51,405.5726418312418
0.52,404.8613576165424
0.53,403.5696157153676
0.54,402.5616655895481
0.55,401.8313411841016
0.56,400.6659583584642
0.57,401.8471642091734
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,389.4975331616515
1.04,393.5179934380542
1.05,396.2090139601436
1.06,396.6527210630091
1.07,395.52849350458393
1.08,394.1355201088311
1.09,394.4356236828589
1.1,397.6967884116366
1.11,402.01864379432254
1.12,405.0676858366944
1.13,nan
1.14,406.3726583724577
1.15,406.8029885456904
1.16,406.55058203948727
1.17,406.3295037685659
1.18,407.0812370097197
1.19,407.73830103235616
1.2,406.970403727638
1.21,405.4502615176448
1.22,405.4078846447642
1.23,406.8308440089323
1.24,408.2934149714592
1.25,410.02593950371136
1.26,411.4385816042881
1.27,411.95869596809126
1.28,411.3828941502545
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,412.9424954198241
1.38,413.038826698642
1.39,412.08780506115767
1.4,411.7996454283048
1.41,411.0015706321975
1.42,nan
1.43,409.2744545850597
1.44,408.6124371004397
1.45,409.2750504397742
1.46,nan
1.47,nan
1.48,409.15128394513215
1.49,nan
1.5,410.4196981463761
1.51,410.711434131215
1.52,411.262681742612
1.53,nan
1.54,nan
1.55,411.61900572440993
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,209.07199301191423
1.67,209.52818941879045
1.68,210.4082653393733
1.69,208.5820284106518
1.7,205.85938969584555
1.71,204.87944849975912
1.72,204.85498575475253
1.73,203.805651401761
1.74,202.9122221379386
1.75,nan
1.76,nan
1.77,nan
1.78,206.3515516954136
1.79,208.4124868039032
1.8,210.0982827315813
1.81,209.4646412911206
1.82,209.2992552484384
1.83,209.36101964903384
1.84,209.28264312000152
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,202.001809345857
1.9,202.2448657977732
1.91,201.771104593692
1.92,201.0095061293252
1.93,200.98053835795423
1.94,202.03655008751352
1.95,203.70481374964723
1.96,nan
1.97,203.9101585555376
1.98,204.01878021124327
1.99,204.92881692647552
2.0,206.69034826079653
2.01,207.52017019991652
2.02,nan
2.03,206.37523348919024
2.04,205.93221654890837
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,207.78008670275693
2.21,208.7140495472083
2.22,210.0692602161989
