Time,Frequency
0.0,319.4812486346321
0.01,315.98308532085
0.02,314.45871555940226
0.03,312.64582820519684
0.04,311.3104259502567
0.05,309.1582828193689
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,335.7596962975647
0.64,341.7921293280023
0.65,nan
0.66,336.76004178234115
0.67,333.6086631408423
0.68,332.67132554773553
0.69,332.9702318641895
0.7,334.3903206078318
0.71,337.74786881968294
0.72,341.44872173749513
0.73,343.2536266494023
0.74,343.98501891767387
0.75,343.72686173913587
0.76,342.20146084869214
0.77,340.3523945190874
0.78,339.5937617168381
0.79,339.8345921293315
0.8,339.2700790247398
0.81,338.1750971863131
0.82,335.4142696248973
0.83,333.276474344677
0.84,330.5979743142517
0.85,328.42577950472594
0.86,327.8002303490586
0.87,327.57400799786444
0.88,327.3581128841763
0.89,327.30611269974014
0.9,326.6169008195169
0.91,325.5373249134914
0.92,323.43344736067786
0.93,320.7829393117191
0.94,319.5142895208046
0.95,319.8193528243272
0.96,319.95284181974114
0.97,318.3268395892606
0.98,315.00498623150327
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,436.4671752051596
1.21,435.8164489452387
1.22,435.677470717548
1.23,435.53895007723634
1.24,436.6573356607797
1.25,437.9456782982151
1.26,437.92682907638186
1.27,437.2156381795245
1.28,437.9726064786548
1.29,438.85328356232606
1.3,438.404687862037
1.31,437.6949327779922
1.32,437.19120512090046
1.33,436.3556233260129
1.34,434.14946349842376
1.35,431.5626160868255
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,425.88357281007
1.52,427.9826258531549
1.53,429.5868719464046
1.54,429.4912139808264
1.55,431.97236200968655
1.56,429.6816055144506
1.57,429.1932775271997
1.58,429.107985071314
1.59,428.6104833295353
1.6,429.78562377713104
1.61,427.3953089660572
1.62,426.5327486432315
1.63,427.0313652412452
1.64,426.212804557422
1.65,425.7688475903048
1.66,426.3583078552196
1.67,426.1690848655965
1.68,426.49758959672425
1.69,426.1401973978559
1.7,424.6735597660029
1.71,421.3810607732606
1.72,417.7137758051267
1.73,414.8566636299285
1.74,412.7859512616935
1.75,412.5435916302391
1.76,413.458391955202
1.77,419.4226136257925
1.78,nan
1.79,432.4681736746706
1.8,434.1947830557584
1.81,433.1364192131563
1.82,431.9264219954134
1.83,432.4150828005224
1.84,432.0784757106848
1.85,431.9796001509622
1.86,431.9223748587451
1.87,431.6916832626322
1.88,431.1292544191704
1.89,429.7671144647353
1.9,427.7695879078055
1.91,426.3421628097041
1.92,425.5145496252096
1.93,425.1562301199839
1.94,425.0184953905312
1.95,425.2588129256752
1.96,425.56184695958274
1.97,425.68567952624096
1.98,426.0527271210064
1.99,427.1784225724052
2.0,428.9032958273821
2.01,430.2495224760952
2.02,430.2611100654198
2.03,429.6700676988696
2.04,428.8137600144
2.05,427.5187534809424
2.06,424.7515115357266
2.07,421.5631601480934
2.08,416.2310060757994
2.09,414.42142023698136
2.1,415.0345025645174
2.11,417.58186251290726
2.12,421.6824886745814
2.13,424.7121154308638
2.14,427.03102960744417
2.15,428.5965167220433
2.16,428.9023337081692
2.17,428.3150050001152
2.18,429.1883871841196
2.19,429.2063392465503
2.2,429.5076082219532
2.21,428.6975155146216
2.22,427.74735535479743
2.23,427.4370244954392
2.24,426.6592629388424
2.25,426.1533497038381
2.26,427.25510497893015
2.27,428.46722178008656
2.28,430.5411842911871
2.29,431.5610126975648
2.3,431.8344332185629
2.31,431.3770605431221
2.32,429.0814007027256
2.33,426.2336428125816
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,348.6806169743804
2.44,351.89737595687353
2.45,353.75433070587434
2.46,355.4194863101592
2.47,355.7024992759026
2.48,354.1840892287571
2.49,351.418106968454
2.5,348.35182405170235
2.51,nan
2.52,nan
2.53,326.8785403614121
2.54,323.5168702452551
2.55,323.5247453143103
2.56,322.9766884739671
2.57,318.4603709805469
2.58,nan
2.59,311.6166383563693
2.6,309.2256820013628
2.61,307.4838979826758
2.62,305.5140542512319
2.63,304.1064872047917
2.64,302.07609911528635
2.65,299.5231620621372
2.66,297.90356956771166
2.67,297.3003199232424
2.68,298.0054241830626
2.69,299.1543006066903
2.7,298.9343059632194
2.71,nan
2.72,nan
2.73,nan
2.74,nan
2.75,nan
2.76,nan
2.77,nan
2.78,nan
2.79,nan
2.8,nan
2.81,nan
2.82,nan
2.83,nan
2.84,nan
2.85,nan
2.86,nan
2.87,nan
2.88,nan
2.89,nan
2.9,nan
2.91,nan
2.92,nan
2.93,nan
2.94,nan
2.95,nan
2.96,nan
2.97,nan
2.98,nan
2.99,nan
3.0,nan
3.01,nan
3.02,nan
3.03,nan
3.04,nan
3.05,nan
3.06,nan
3.07,nan
3.08,nan
3.09,nan
3.1,nan
3.11,nan
3.12,nan
3.13,nan
3.14,nan
3.15,nan
3.16,393.1588257913173
3.17,395.2143180827789
3.18,396.4191941355821
3.19,398.1622557415912
3.2,400.8926888095401
3.21,nan
3.22,nan
3.23,412.5399742107999
3.24,415.6018750399245
3.25,418.4109245644404
3.26,421.5474903802348
3.27,424.1204182099946
3.28,427.1945353346458
3.29,430.2741811459345
3.3,429.1965860616514
3.31,427.42415912244417
3.32,425.08532155047527
3.33,423.5113313521185
3.34,422.9614251091343
3.35,421.80496166829096
3.36,421.30921799119386
3.37,421.2401955363865
3.38,422.3555737239994
3.39,423.3426491925759
3.4,425.0239477017469
3.41,426.8783841589011
3.42,429.033164983195
3.43,430.4513784447485
3.44,430.2907284976157
3.45,429.6731302589024
3.46,429.04625609416536
3.47,429.2117814709293
3.48,430.0571443137168
3.49,430.6112587406749
3.5,430.7797905265504
3.51,430.401810383412
3.52,429.9220855140513
3.53,429.6241850264171
3.54,429.3890998058338
3.55,428.8488204901198
3.56,428.3373910928339
3.57,427.4833189405198
3.58,426.59699702585
3.59,426.3480744083416
3.6,426.3097687763768
3.61,425.92699964702
3.62,424.63896436830873
3.63,423.5587839471311
3.64,424.2265901575549
3.65,425.8936543062618
3.66,428.9408059932673
3.67,431.03015267475007
3.68,432.08574726560136
3.69,432.4670284745632
3.7,433.2420633018074
3.71,433.6751269163346
3.72,433.7110673268648
3.73,432.4979142600406
3.74,430.65035714174815
3.75,429.2256896312333
3.76,427.5798536734183
3.77,425.9573790531193
3.78,425.2182049225257
3.79,426.0958314832164
3.8,428.05213608704327
3.81,429.8889127013136
3.82,432.02429945461375
3.83,433.3026361934333
3.84,433.8623704385456
3.85,434.4451685578326
3.86,434.4599497081609
3.87,434.1279307648023
3.88,434.202926352788
3.89,433.4643185600222
3.9,432.9587051000405
3.91,432.1606302086329
3.92,431.17720038091306
3.93,429.106501242112
3.94,426.5896284585375
3.95,423.6021055301948
3.96,422.3324234763976
3.97,422.9187173495504
3.98,425.3977180395789
3.99,428.210644180698
4.0,430.6033110764249
4.01,432.1414839663026
4.02,433.3172895226944
4.03,434.172002610687
4.04,434.0720218932674
4.05,433.682909155874
4.06,433.38744417558
4.07,433.2431167198444
4.08,432.4582305599965
4.09,431.0055027434376
4.1,428.5331210774922
4.11,426.42403426120273
4.12,424.8358893145112
4.13,423.66282918581584
4.14,423.77089125117146
4.15,426.3300817476539
4.16,429.9318976290375
4.17,433.2987838654207
4.18,436.2521148872961
4.19,437.6445444416388
4.2,438.129710211402
4.21,437.832739366927
4.22,436.6939405208004
4.23,434.71997178833976
4.24,432.87485269216734
4.25,431.3737644618044
4.26,429.2325540649923
4.27,428.2402914490769
4.28,427.79896208061336
4.29,428.8594792768731
4.3,430.4165919192809
4.31,432.39383832263286
4.32,433.3460939406836
4.33,433.43772386227965
4.34,433.0281451599493
4.35,433.2085374026586
4.36,433.0356261140228
4.37,432.9237313987298
4.38,432.6615560743978
4.39,432.5511063412369
4.4,431.045979730604
4.41,nan
4.42,nan
4.43,nan
4.44,nan
4.45,nan
4.46,nan
4.47,nan
4.48,nan
4.49,nan
4.5,343.1337110023156
4.51,342.22178656186634
4.52,341.5362797096426
4.53,341.47712571346403
4.54,340.62787271330444
4.55,339.5301300523888
4.56,338.7609970300098
4.57,339.5972492579327
4.58,340.24759073664137
4.59,342.5190388134103
4.6,343.2943997576987
4.61,342.68644442246347
4.62,339.3121531487477
4.63,nan
4.64,nan
4.65,nan
4.66,nan
4.67,nan
4.68,nan
4.69,nan
4.7,nan
4.71,nan
4.72,nan
4.73,nan
4.74,nan
4.75,nan
4.76,nan
4.77,338.8676694080399
