Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,450.32610554054287
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,421.5637325779117
0.87,420.56030538700486
0.88,419.218259107136
0.89,416.9429568829926
0.9,414.44922476662094
0.91,411.5915191774058
0.92,408.5896335222572
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,370.1407936849528
1.13,nan
1.14,363.5956222364522
1.15,364.13325201277246
1.16,365.71606393712864
1.17,369.60342124125424
1.18,nan
1.19,nan
1.2,nan
1.21,386.11408847103206
1.22,388.7955063604966
1.23,389.06733918035934
1.24,387.6477971509137
1.25,384.8586136377461
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,344.15305887770324
1.33,nan
1.34,nan
1.35,nan
1.36,353.0615877409822
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,364.3684119799053
1.43,362.2251727263404
1.44,362.3493784763827
1.45,362.3002369117075
1.46,360.8458272551948
1.47,357.4856724032154
1.48,355.3527123020018
1.49,353.17031448043025
1.5,351.693134470587
1.51,352.5089580883257
1.52,353.44460457669595
1.53,357.3082502319304
1.54,nan
1.55,375.4374214183579
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,340.03416061892983
1.65,337.9803552454167
1.66,337.94529359015223
1.67,338.4220484870352
1.68,339.8677115780575
1.69,340.49219646858774
1.7,340.086327996328
1.71,339.58744847716963
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,346.98408720181044
1.82,346.2055008865183
1.83,346.6484443706128
1.84,347.54473618189854
1.85,350.1078357800383
1.86,nan
1.87,367.0044656251018
1.88,nan
1.89,362.61590081143686
1.9,357.8017617699035
1.91,354.4163249599567
1.92,351.6694927252476
1.93,347.97319275652177
1.94,345.36626128125295
1.95,343.98507826052486
1.96,343.6545546841626
1.97,339.86829122953293
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
2.46,nan
