Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,371.686679000704
1.43,373.5286615581416
1.44,375.58644276985285
1.45,377.1333238235314
1.46,376.69580071325936
1.47,374.08219225245
1.48,371.74619351614695
1.49,369.11060336564776
1.5,367.4986947601496
1.51,366.1599378180515
1.52,363.99926125854665
1.53,360.9167861156992
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,341.894548635693
1.59,335.92204363627644
1.6,333.4471904515442
1.61,332.54219154747443
1.62,331.2968550108956
1.63,331.17514463287023
1.64,330.6834260813053
1.65,330.2974144122899
1.66,329.9015855987182
1.67,329.38450629893373
1.68,327.9937616715673
1.69,325.5667508742942
1.7,323.8163261822833
1.71,323.7051142932647
1.72,323.1263017242396
1.73,321.6633209991729
1.74,320.56061991724965
1.75,319.4525938254685
1.76,317.4644362818699
1.77,315.3189387239375
1.78,313.0862354793606
1.79,312.141105430445
1.8,311.3946580569184
1.81,311.3497953165754
1.82,310.3620158378968
1.83,310.0876340355626
1.84,310.787331431081
1.85,311.5757356647828
1.86,311.9649626841175
1.87,311.4530626905507
1.88,307.9819003199801
1.89,302.9217348036228
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,312.6479995382715
2.03,315.2942131719896
2.04,317.7362683821144
2.05,321.26421546790226
2.06,325.76535799653703
2.07,327.0608798305484
2.08,326.82914126369974
2.09,326.3766747400068
2.1,326.7447575814956
2.11,326.83317392384345
2.12,325.3601989980439
2.13,323.3961170440408
2.14,320.28974475218376
2.15,317.0784870682636
2.16,315.27219223784994
2.17,314.12440124143905
2.18,313.06282695086884
2.19,312.7168527572402
2.2,312.38023998052046
2.21,312.21547722254377
2.22,312.0206590425673
2.23,311.9276721917888
2.24,312.29157157124155
2.25,312.1907615469326
2.26,311.9159568449376
2.27,312.450673606695
2.28,312.96162751226444
2.29,313.54183930957515
2.3,313.3558293619719
2.31,312.1450339997142
2.32,309.0329039926393
