Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,364.30075115737066
0.27,363.6458082312271
0.28,362.0179307593928
0.29,368.00679847082176
0.3,370.9938710748539
0.31,366.7743062384881
0.32,362.74900626131057
0.33,362.8270724642965
0.34,364.237415490032
0.35,365.0129335118224
0.36,365.1523684829602
0.37,366.1834221874071
0.38,379.2815238972329
0.39,390.495328820848
0.4,396.3227794257398
0.41,394.2038192144313
0.42,389.83830237830216
0.43,390.47404159324464
0.44,391.48908496125847
0.45,389.7601892941582
0.46,386.023070422668
0.47,383.0506216510229
0.48,377.2698772092178
0.49,361.0449277948647
0.5,354.444746425907
0.51,351.7905441434661
0.52,349.11240063573825
0.53,344.4450704141349
0.54,338.3261052392001
0.55,332.8624095144707
0.56,329.16334326008337
0.57,324.9721827521016
0.58,319.865317416342
0.59,316.54421307158805
0.6,312.6837094481496
0.61,308.5107767439333
0.62,305.26884744042366
0.63,302.0218028145178
0.64,298.81247952495295
0.65,294.01725112880484
0.66,289.20890311467406
0.67,285.74645808670334
0.68,282.00689538405504
0.69,276.332300843006
0.7,271.8140953928096
0.71,268.5308212180241
0.72,265.29797121064627
0.73,261.1515014561897
0.74,257.0835003237132
0.75,253.62460395534325
0.76,248.4647775138561
0.77,242.92744082442997
0.78,237.2937680146944
0.79,231.6814529897974
0.8,223.07117645916668
0.81,216.254729705382
0.82,206.33390963296776
0.83,200.0319015465542
0.84,194.9377907063052
0.85,189.67159995111672
0.86,184.5057593212817
0.87,181.41885132554276
0.88,177.7760839938904
0.89,173.22590273268506
0.9,169.8166961368941
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,336.0586770051344
1.28,344.240040612826
1.29,351.2403796134353
1.3,359.43661407746583
1.31,364.95111347685656
1.32,367.9911797545927
1.33,368.0757927652859
1.34,365.7128150955813
1.35,nan
1.36,364.3828500135433
1.37,364.3736201436262
1.38,364.37386789479314
1.39,364.8806342751667
1.4,nan
1.41,384.5790176469907
1.42,384.4353306306176
1.43,386.54285489305255
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,394.5887294536221
1.51,391.3710118985804
1.52,nan
1.53,nan
1.54,nan
1.55,356.9078460528515
1.56,359.6064570526969
1.57,367.3549856786043
1.58,371.0803391780871
1.59,374.2482779474843
1.6,379.5705342563231
1.61,384.2762293157649
1.62,389.433099022848
1.63,391.5382381272853
1.64,390.7112459999834
1.65,388.5936645947913
1.66,384.7494174159536
1.67,381.61965997858726
1.68,379.1201878090431
1.69,376.7628950335304
1.7,374.9452358820196
1.71,373.6606811454251
1.72,373.3567460220064
1.73,373.9139749021646
1.74,374.8492073852239
1.75,375.34151266752366
1.76,375.1222142017695
1.77,372.7627282443989
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,355.79570065411366
1.93,357.00925051939686
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,368.0499837179041
2.02,366.3855807452148
2.03,364.5591619999292
2.04,358.8208747711876
2.05,nan
2.06,nan
2.07,nan
