Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,340.8567612567193
0.04,340.59740873810983
0.05,336.2377041558452
0.06,333.1570464091118
0.07,330.8149620893639
0.08,328.2662050129084
0.09,325.5316558965785
0.1,323.9416504316065
0.11,nan
0.12,nan
0.13,323.2649403604173
0.14,324.3320114379656
0.15,325.51753835734723
0.16,324.638735378443
0.17,nan
0.18,nan
0.19,nan
0.2,327.16917987067427
0.21,329.0379984063546
0.22,330.02030214506
0.23,330.234074907904
0.24,329.0101703203751
0.25,325.14912278228496
0.26,317.7634657642758
0.27,310.84625076762444
0.28,304.4001147785962
0.29,298.8452166719694
0.3,297.8689596102409
0.31,299.3226067369139
0.32,nan
0.33,nan
0.34,332.1875221555709
0.35,335.30326916991737
0.36,335.3073551651369
0.37,333.16554583438887
0.38,329.5437790661051
0.39,321.668140806834
0.4,317.28013534978106
0.41,314.0514388896393
0.42,nan
0.43,nan
0.44,nan
0.45,267.55411483447114
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,329.1444296741816
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,368.4455919083632
0.62,369.0735983901605
0.63,367.38778385123294
0.64,364.9252006582421
0.65,362.5216589962261
0.66,358.3607214001511
0.67,354.1068107967991
0.68,350.29111672688833
0.69,345.0905213932322
0.7,335.0153405469789
0.71,330.1434404473485
0.72,327.441863676827
0.73,325.1901770572004
0.74,321.3431868754815
0.75,317.271808205722
0.76,315.8397824786572
0.77,316.2367744078824
0.78,317.86048271252736
0.79,320.129571004168
0.8,322.4359316752705
0.81,325.4391587731689
0.82,326.12717019544607
0.83,325.8840023840636
0.84,327.9156170603736
0.85,331.3260121039418
0.86,330.9394203970547
0.87,324.57147420079866
0.88,322.0722801180454
0.89,320.18144558230745
0.9,317.75299622272
0.91,315.10127656535724
0.92,312.5586254883313
0.93,312.2213819938495
0.94,311.072676405955
0.95,308.1012788725126
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,322.9485489298796
1.05,324.7340351023939
1.06,326.7507767642022
1.07,327.5554555328376
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,312.03678317264894
1.34,310.395008010689
1.35,305.99352282737726
1.36,304.1681036371017
1.37,305.0191441393042
1.38,309.719347657169
1.39,316.9660097644444
1.4,319.9380451441018
1.41,320.71346973734046
1.42,322.1668811485955
1.43,323.6100034042171
1.44,323.8555505427476
1.45,322.4447542352748
1.46,321.28598282454743
1.47,320.32441333924254
1.48,319.0744284102559
1.49,318.1423166180149
1.5,316.42673710973565
1.51,313.5040846011028
1.52,311.5650819591034
1.53,313.1451466625434
1.54,314.2814098351671
1.55,312.20879529284383
1.56,309.4648259856439
1.57,309.1395327414036
1.58,311.6910935026382
1.59,315.103393961915
1.6,314.67506584320233
1.61,312.9677869019399
1.62,312.3706933616149
1.63,311.1767266656784
1.64,308.8401308517638
1.65,305.96865595668555
1.66,303.68199457869184
1.67,301.6314380611984
1.68,301.2848164418459
1.69,303.42347348345766
1.7,305.873672026672
1.71,308.67072943724816
1.72,309.8584575514122
1.73,309.8813998218162
1.74,311.5366579734177
1.75,314.7297931301079
1.76,nan
1.77,300.1734883990543
1.78,300.07969164506403
1.79,299.7036864670371
1.8,298.071270782311
1.81,297.162581098239
1.82,296.8209931244019
1.83,297.28194752646186
1.84,300.48428154192624
1.85,304.04604680433675
1.86,305.5536824117436
1.87,305.8630964253944
1.88,305.0281509430776
1.89,304.6537124855588
1.9,305.03441585955164
1.91,305.3218268508517
1.92,305.1793920474497
1.93,304.4891900898724
