Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,387.7825274047865
0.48,388.0683213832103
0.49,386.8512671896459
0.5,384.98551806285326
0.51,384.3709825136679
0.52,354.89007448841073
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,350.9362446650652
0.82,361.9564730216514
0.83,369.2835663973063
0.84,373.6314896389797
0.85,377.2092162422176
0.86,382.5037126713327
0.87,385.531166159054
0.88,387.3101379975373
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,356.15840698537056
0.95,356.26453276274515
0.96,356.2235374796132
0.97,357.749516775849
0.98,359.9092512105768
0.99,360.8767667386198
1.0,363.8622687607426
1.01,366.5672067529167
1.02,368.31800051482
1.03,368.60840676527823
1.04,367.2290042861045
1.05,362.3760129845246
1.06,354.41324445416006
1.07,346.1549414204311
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,330.31750479290474
1.15,332.89410673549577
1.16,336.28934782497487
1.17,nan
1.18,nan
1.19,330.9922465652904
1.2,331.8926779091123
1.21,332.0273845188066
1.22,nan
1.23,nan
1.24,347.72771510022096
1.25,346.5889567861205
1.26,345.2859132116441
1.27,341.44552819451405
1.28,330.28892001228854
1.29,324.8008473551285
1.3,324.6739902811444
1.31,328.1822315619806
1.32,332.4722509075428
1.33,334.02106211373007
1.34,333.29268414072715
1.35,332.3138334116312
1.36,331.7372143414696
1.37,nan
1.38,nan
1.39,nan
1.4,296.2052183006227
1.41,289.70375418477454
1.42,nan
1.43,276.47572229341114
1.44,275.2205976506122
1.45,277.32901160878896
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,327.4714527697259
1.51,330.9746456785961
1.52,334.8677711287488
1.53,338.5873879434524
1.54,344.5699036596457
1.55,349.670656786202
1.56,354.3376731785764
1.57,358.4887773475433
1.58,360.5621410119928
1.59,360.8284811249413
1.6,359.0082372114706
1.61,356.0518960538321
1.62,352.9752938696639
1.63,350.5177871414112
1.64,347.2649173772052
1.65,nan
1.66,330.7915453261981
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,275.80865127895754
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,329.49567464820683
1.78,331.6921949898798
1.79,333.1933915717321
1.8,nan
1.81,nan
1.82,nan
1.83,361.3208608864952
1.84,363.439835581573
1.85,359.95978494765166
1.86,356.9008307899401
1.87,353.6579244963501
1.88,351.3921959308803
1.89,347.8725501226219
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,348.1832797096856
2.02,349.094617379124
2.03,349.78189292792314
2.04,350.8678030448672
2.05,353.5002093837292
2.06,355.8451498502285
2.07,357.98851270834456
2.08,361.08756427885953
2.09,360.9203341878671
2.1,359.874981383304
2.11,360.8490650039837
2.12,362.5546316539379
2.13,361.53408048746
2.14,nan
2.15,nan
2.16,348.8565713008168
2.17,347.1836728927365
2.18,349.8190361340005
2.19,nan
