Time,Frequency
0.0,256.39485052352154
0.01,257.96891737809534
0.02,259.0445227116748
0.03,261.1967303830219
0.04,262.6374381171862
0.05,262.91481387990166
0.06,261.9422717026907
0.07,260.44384198422665
0.08,258.14833269031703
0.09,254.947839406246
0.1,250.61609131590697
0.11,247.4054298742529
0.12,246.75724755817367
0.13,247.10620227373863
0.14,249.22905325566836
0.15,251.88083567411195
0.16,254.02290604108697
0.17,256.55468185003576
0.18,258.792035806528
0.19,259.6468148376294
0.2,259.3284384289512
0.21,258.61416236865784
0.22,257.13638902134363
0.23,252.89292669125547
0.24,249.7080860053647
0.25,248.77612077673825
0.26,248.1911487242397
0.27,247.6192823150237
0.28,247.64287186651885
0.29,248.94150680360795
0.3,251.1595868896309
0.31,254.75704335430487
0.32,259.70532574060564
0.33,263.0895836308484
0.34,264.3994030036493
0.35,264.3088457768972
0.36,263.31239350382884
0.37,261.8826794483534
0.38,260.1145276253809
0.39,258.79677129663355
0.4,257.7100459427014
0.41,256.11107317538034
0.42,253.4032369444837
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,289.4933832850804
0.48,293.2609954353557
0.49,296.3055506049397
0.5,298.4500264197195
0.51,300.51862050133786
0.52,301.98390351769103
0.53,302.86868010356096
0.54,302.6652712133568
0.55,301.2188240424304
0.56,297.529788338741
0.57,290.2208533347989
0.58,285.268144324634
0.59,280.1802501804318
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,301.3593498629896
0.69,299.94805458751904
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,295.5863615524465
0.79,295.3012064710236
0.8,295.6427359218601
0.81,298.156874173252
0.82,301.07162552859404
0.83,303.4637207591143
0.84,305.1615709065679
0.85,306.1713277490242
0.86,305.658226893136
0.87,303.7955161633515
0.88,302.047440088715
0.89,300.2978649096337
0.9,298.77103585828945
0.91,296.47210374455125
0.92,293.85622007048244
0.93,291.6656352409367
0.94,289.77209626528924
0.95,287.3138761842344
0.96,283.1673617573529
0.97,280.76116252318604
0.98,281.224141199436
0.99,280.9505630832816
1.0,279.7208953019788
1.01,278.29006998450734
1.02,276.9047234733012
1.03,276.4401290914891
1.04,276.2625881233617
1.05,276.1856738650051
1.06,276.5742747495832
1.07,276.87201092415074
1.08,276.8308441837627
1.09,276.5790105327776
1.1,275.821880703612
1.11,274.79731262800783
1.12,273.8638941450528
1.13,272.8104736134459
1.14,272.04972109844374
1.15,271.3216784429283
1.16,269.96330962933416
1.17,267.99166200424906
1.18,265.2445067753926
1.19,260.8505002530697
1.2,255.36378256599988
1.21,251.28775062142276
1.22,246.7087563931129
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,209.31700862640656
1.28,207.6716101789887
1.29,207.54609654627848
1.3,207.84559211516557
1.31,209.22975635805705
1.32,211.10712799741123
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,139.00472327336595
1.99,141.13046953827777
2.0,144.0808472301934
2.01,145.89257594129683
2.02,146.1572933283445
2.03,146.39231560678172
2.04,146.60343026549828
2.05,146.46218033335887
2.06,145.27576146798768
2.07,nan
2.08,nan
2.09,141.49194602289845
2.1,139.10944109187076
2.11,137.7247115273528
2.12,137.19039993187454
2.13,136.8187594887166
2.14,136.6138493826869
2.15,136.33831407808327
2.16,136.29811952539004
2.17,136.6066852996765
2.18,137.67270260163184
2.19,138.8923970578936
2.2,139.92226682900605
2.21,141.00480431492423
2.22,142.2919609558081
2.23,143.2104923469435
2.24,144.01283941236326
2.25,144.22425641703146
2.26,144.19323207933883
2.27,144.13456595021825
2.28,143.73697320568309
2.29,143.19591304056902
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,167.02986004484984
2.37,nan
2.38,nan
2.39,nan
2.4,227.71000507899677
2.41,237.91046976138463
2.42,nan
2.43,nan
2.44,nan
2.45,272.8302286021888
2.46,274.6172687860492
2.47,274.4440386978739
2.48,273.3688189985056
2.49,271.78638589281604
2.5,270.6330633455703
2.51,270.3317790057881
2.52,268.4339094114952
2.53,nan
2.54,nan
