Time,Frequency
0.0,nan
0.01,290.5018650397127
0.02,290.9722876518088
0.03,293.2201586387672
0.04,295.1232344049355
0.05,295.58724479582986
0.06,294.52587595200487
0.07,292.33842253944505
0.08,288.8570725906265
0.09,284.37023977585375
0.1,282.00164111396344
0.11,280.2553106346029
0.12,278.67974326343364
0.13,279.5499907514384
0.14,282.2060860533473
0.15,286.42112782520263
0.16,290.2738440764711
0.17,293.9145937412418
0.18,296.3081927617872
0.19,297.0207209945183
0.2,296.4361208973576
0.21,295.3876813928291
0.22,293.5963263927039
0.23,290.4795631473818
0.24,287.3729150371308
0.25,284.65655798764203
0.26,284.29255214538136
0.27,285.09930680389
0.28,286.2924953378184
0.29,287.69939276916114
0.3,288.6369540612459
0.31,288.86841599836964
0.32,288.4577136574356
0.33,287.69971672578333
0.34,286.7624575032396
0.35,286.1156387700623
0.36,286.5432595640432
0.37,288.4136990947802
0.38,291.1475848046117
0.39,294.7411250005567
0.4,297.3076609442604
0.41,298.657612138505
0.42,297.8295692171338
0.43,294.3173840788914
0.44,289.872181924205
0.45,286.703926121205
0.46,284.04653870561043
0.47,282.51125844473034
0.48,282.2777526642681
0.49,283.81359647120803
0.5,286.40059661619176
0.51,288.9400196373401
0.52,292.6295671262669
0.53,296.0460469704043
0.54,298.11365120626147
0.55,298.1628973133899
0.56,297.10141899810424
0.57,295.8476233133501
0.58,293.62419826466044
0.59,nan
0.6,284.2876189452544
0.61,282.1455840495041
0.62,282.44991007156807
0.63,284.8309914328404
0.64,288.34822184829216
0.65,291.8912961634978
0.66,293.9132870140061
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,329.3731389882186
1.63,332.7929894313105
1.64,335.28347095586383
1.65,338.05728733036057
1.66,339.29208460667905
1.67,337.947013144684
1.68,333.96158129802825
1.69,329.1854924960382
1.7,nan
1.71,315.42505171446106
1.72,310.0862010722553
1.73,306.8654762066011
1.74,304.598626681066
1.75,302.44949735083986
1.76,299.70359996065577
1.77,nan
1.78,nan
1.79,329.1947233515219
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
2.46,nan
2.47,nan
2.48,nan
2.49,nan
2.5,nan
2.51,nan
2.52,nan
2.53,nan
2.54,nan
2.55,nan
2.56,nan
2.57,nan
2.58,nan
2.59,nan
2.6,nan
2.61,nan
2.62,nan
2.63,nan
2.64,nan
2.65,nan
2.66,nan
2.67,nan
2.68,nan
2.69,nan
2.7,nan
2.71,nan
2.72,nan
2.73,386.0471936610134
2.74,nan
2.75,nan
2.76,nan
2.77,nan
2.78,nan
2.79,nan
2.8,nan
2.81,nan
2.82,nan
2.83,nan
2.84,nan
2.85,nan
2.86,nan
2.87,nan
2.88,nan
2.89,nan
2.9,nan
2.91,nan
2.92,nan
2.93,nan
2.94,nan
2.95,nan
2.96,nan
2.97,nan
2.98,nan
2.99,nan
3.0,nan
3.01,nan
3.02,nan
3.03,nan
3.04,nan
3.05,nan
3.06,nan
3.07,nan
3.08,nan
3.09,nan
3.1,nan
3.11,nan
3.12,nan
3.13,nan
3.14,nan
3.15,nan
3.16,nan
3.17,nan
3.18,nan
3.19,nan
3.2,nan
3.21,nan
3.22,nan
3.23,nan
3.24,nan
3.25,nan
3.26,nan
3.27,nan
3.28,274.36946290523235
3.29,276.3125009730823
3.3,278.2215015528492
3.31,279.4361871355282
3.32,279.9961465232487
3.33,279.016513633472
3.34,276.7061514145489
3.35,274.7677381210013
3.36,273.8625019713397
3.37,276.8095045846539
3.38,279.0538313785306
3.39,281.1601008197052
3.4,283.35007056664455
3.41,289.8339696230129
3.42,294.57745605396275
3.43,295.6276161072665
3.44,295.0067144667974
3.45,292.0405612713105
3.46,287.8410470094188
3.47,283.58520979408456
3.48,281.2669696980005
3.49,281.1472257974845
3.5,281.9995688990395
3.51,284.25040449386506
3.52,286.91098714515414
3.53,288.6606153010485
3.54,289.4969037995049
3.55,291.2275215915346
3.56,294.9523526816388
3.57,300.2870345558223
3.58,306.0340654453809
3.59,311.4815360050772
3.6,315.35303571926227
3.61,318.17668175473403
3.62,318.39209476566936
3.63,316.76864225524264
3.64,313.2547990243684
3.65,306.40960544780216
3.66,300.4277565909203
3.67,292.6710414057079
3.68,289.36048327148256
3.69,289.6917525555302
3.7,295.70003290721905
3.71,305.04635236841057
3.72,317.7842931736377
3.73,326.64037766384325
3.74,328.81118463567054
3.75,328.6355534766915
3.76,325.0267563535484
3.77,nan
3.78,nan
3.79,nan
3.8,281.8717146464584
3.81,281.8723725308173
3.82,nan
3.83,nan
3.84,nan
3.85,nan
3.86,nan
3.87,nan
3.88,nan
3.89,nan
3.9,nan
3.91,nan
3.92,393.1133782694027
3.93,nan
3.94,nan
3.95,nan
3.96,nan
3.97,nan
3.98,nan
3.99,nan
4.0,395.1121975279914
4.01,395.9959655497004
4.02,395.5559393404
4.03,393.3930242396013
4.04,nan
4.05,nan
4.06,nan
4.07,306.59508820039787
4.08,306.3332558451009
4.09,309.59566995157866
4.1,314.3651756758554
4.11,319.74094871910177
4.12,323.9167627599292
4.13,326.53602676423185
4.14,327.7576001776864
4.15,326.6772947023235
4.16,323.622848456134
4.17,318.4199869072227
4.18,313.2126994249858
4.19,305.26762048729006
4.2,300.4501126028658
4.21,298.0133305375392
4.22,298.7889429270664
4.23,302.1692535102094
4.24,310.2429447938486
4.25,318.45076675947286
4.26,327.5548354355267
4.27,331.9822679557441
4.28,334.17410373854926
4.29,333.3787436082492
4.3,329.5193178434614
4.31,323.85549308174035
4.32,nan
4.33,304.1989550066228
4.34,299.0123265128725
4.35,298.2229297011381
4.36,301.4273214615824
4.37,306.06902070884905
4.38,312.9722914007653
4.39,319.0962242769218
4.4,321.7419745623031
4.41,322.0329914459528
4.42,321.44228678616594
4.43,315.77266610736774
4.44,312.0125488132609
4.45,nan
4.46,nan
4.47,nan
4.48,nan
4.49,nan
4.5,nan
4.51,nan
4.52,nan
4.53,nan
4.54,nan
4.55,289.2119279931672
4.56,285.38683301815024
4.57,283.9349448502077
4.58,285.1057069066308
4.59,288.47846786380734
4.6,292.2201754883179
4.61,294.3360705055087
4.62,295.0702993624764
4.63,293.5987319826689
4.64,nan
4.65,291.72879775843575
4.66,294.5435911258569
4.67,296.0269044041688
4.68,296.6573429576773
4.69,296.35041869308264
4.7,295.4387980508237
4.71,294.62781731062614
4.72,294.30547987141296
4.73,294.1623844215471
4.74,293.55601783993694
4.75,292.4028380561089
4.76,289.71106334798304
4.77,288.3888416156741
4.78,288.18169284812933
4.79,287.7982682186291
4.8,287.5131082959819
4.81,287.8039281210977
4.82,287.40251750214304
4.83,286.7504368853074
4.84,284.38023391855864
4.85,279.8120848888691
4.86,278.6515582230676
4.87,280.0133001951126
4.88,282.41448871907954
4.89,284.6091859691363
4.9,286.23795030465425
4.91,290.41073431832785
4.92,295.6307176129656
4.93,296.3364471243641
4.94,292.38823515510154
4.95,287.09649681781
4.96,284.04321321094625
4.97,283.00747732722294
4.98,283.2451375626547
4.99,284.2997212478118
5.0,285.7325560230019
5.01,287.4665997847358
5.02,289.9486221816401
5.03,292.3281673999099
5.04,293.07897896105817
5.05,291.9266326693383
5.06,289.373393083712
5.07,287.7614015629449
5.08,287.4319146577727
5.09,287.490858209483
5.1,287.9406300596316
5.11,288.6157067431464
5.12,288.8220991809991
5.13,288.5025719649818
5.14,288.01315390546966
5.15,286.6137354309027
5.16,283.20567114697184
5.17,278.93803092439373
5.18,275.4505032315688
5.19,274.15804782192134
5.2,274.5277666681484
5.21,276.63425617947405
5.22,279.7337342890369
5.23,284.5987398324251
5.24,288.877952479166
5.25,292.46924576577493
5.26,294.85487377794266
5.27,294.7947813530402
5.28,292.132054987285
5.29,286.50586408875046
5.3,279.56334561663215
