Time,Frequency
0.0,nan
0.01,274.44758664613687
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,355.03430297563034
0.14,nan
0.15,nan
0.16,nan
0.17,302.11081521579086
0.18,303.9680130210284
0.19,305.7460042322152
0.2,308.19696069875874
0.21,310.54571739461903
0.22,311.6864430738744
0.23,312.73933366560954
0.24,314.45362292071394
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,222.3472404266675
0.34,222.5515681874245
0.35,224.0342316904679
0.36,225.6758603842401
0.37,228.5889787825512
0.38,231.15512954505107
0.39,232.56731491901343
0.4,232.66775937199668
0.41,232.91630690330095
0.42,233.31342340723765
0.43,233.48295733804676
0.44,233.1792170731886
0.45,233.41577023564824
0.46,233.6161749175991
0.47,234.7585601141448
0.48,236.24473820941688
0.49,238.37214704617597
0.5,241.1627584924747
0.51,243.71525835260343
0.52,246.64456292946727
0.53,251.04207348877088
0.54,254.83812636230695
0.55,258.1250827294365
0.56,261.32196918322546
0.57,262.65113105296444
0.58,262.4254163283666
0.59,261.83300102275405
0.6,259.89733167950953
0.61,258.48120682011063
0.62,256.1809136499373
0.63,252.7775945528072
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,241.20310036223697
0.71,243.97620800990148
0.72,246.66183780271427
0.73,248.4325564866852
0.74,250.7176946690556
0.75,253.6443294868465
0.76,255.78202316688987
0.77,257.16993707748827
0.78,258.2420103967113
0.79,258.6452841918922
0.8,258.5108625374665
0.81,256.9861572977125
0.82,252.8481741958066
0.83,248.77497216933816
0.84,nan
0.85,nan
0.86,233.18071697112697
0.87,232.71774871927076
0.88,233.8136247942071
0.89,236.4454925647996
0.9,240.34476834654825
0.91,245.87515019300076
0.92,251.5512247414648
0.93,256.3856018833991
0.94,260.7990732692658
0.95,263.9322731387137
0.96,266.0515050186489
0.97,266.6630880083944
0.98,266.11491813777167
0.99,263.8699968312187
1.0,260.9490640418402
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,234.36702015552845
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,265.6664517195604
1.13,270.0869027306083
1.14,272.65859756550424
1.15,273.8684051318031
1.16,273.5758871297172
1.17,272.5805739832284
1.18,270.9069831745833
1.19,267.6547663005701
1.2,262.71880308291327
1.21,nan
1.22,nan
1.23,nan
1.24,233.424517834582
1.25,232.4716042716384
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,289.8815764585257
1.34,291.28811711274915
1.35,290.32304860066245
1.36,287.6673104552537
1.37,283.74918847910914
1.38,nan
1.39,nan
1.4,267.99395745376887
1.41,nan
1.42,nan
1.43,nan
1.44,231.67538417024872
1.45,228.494079807863
1.46,230.23468249953845
1.47,234.4540623136609
1.48,239.32295300459327
1.49,nan
1.5,nan
1.51,270.71750459781134
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,271.8861712321564
1.57,nan
1.58,nan
1.59,nan
1.6,239.4605415438264
1.61,239.06785392749688
1.62,nan
1.63,250.94770506934117
1.64,nan
1.65,nan
1.66,nan
1.67,318.1513890281017
1.68,317.2759893500991
1.69,317.7737204033332
1.7,316.3649574605434
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,270.0269395938467
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,334.0587954378956
1.95,340.97718807055253
1.96,347.73316246043
1.97,352.93266976420915
1.98,362.5953330800277
1.99,366.04256372413965
2.0,367.7800384041668
2.01,368.0775383707687
2.02,366.2742566980092
2.03,nan
2.04,355.8395006261651
2.05,351.1435606794655
2.06,347.457947443956
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,364.0899639680902
2.17,368.75470505162747
2.18,369.6260219921589
2.19,368.1222633243644
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,397.634707936134
2.46,393.7286527348769
2.47,392.6036001097049
2.48,394.91376840422936
2.49,nan
2.5,nan
2.51,395.8043053551148
2.52,389.5871114756568
2.53,nan
2.54,nan
2.55,nan
2.56,nan
2.57,nan
2.58,nan
2.59,nan
2.6,nan
2.61,nan
2.62,nan
2.63,345.85692772628386
2.64,nan
2.65,365.6382627499298
2.66,371.2159195989301
2.67,372.7582519865592
2.68,nan
2.69,nan
2.7,nan
2.71,nan
2.72,nan
2.73,nan
2.74,nan
2.75,nan
2.76,nan
2.77,219.9169425253777
2.78,218.4053860026188
2.79,220.2277301902581
2.8,221.934145326228
2.81,224.40905520628752
2.82,225.72566135598063
2.83,224.3624864056646
