Time,Frequency
0.0,363.24693347266566
0.01,362.0160832193683
0.02,357.85146083523955
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,348.3442148048292
0.29,352.5492493313458
0.3,355.5530479444558
0.31,358.93360873896137
0.32,362.17499911038254
0.33,365.1711676252774
0.34,367.70511980052765
0.35,369.0836501524144
0.36,368.5250044681782
0.37,367.2761260014533
0.38,364.8737687760606
0.39,361.1764443501855
0.4,356.9179349031996
0.41,352.7872214029687
0.42,351.28278619843974
0.43,353.33264090053086
0.44,nan
0.45,358.2155407679594
0.46,353.84449468474145
0.47,351.5622170469157
0.48,354.36928372420834
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,353.48300204386084
0.54,nan
0.55,349.9515316977929
0.56,nan
0.57,nan
0.58,349.91188107146
0.59,349.9826236121077
0.6,351.78914629429744
0.61,354.1796033948011
0.62,nan
0.63,352.4259859550605
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,372.07178841696617
0.71,369.26972519918303
0.72,368.1535717167326
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,377.40675895935374
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,359.0470433739903
0.89,358.1721664979715
0.9,360.2276124294838
0.91,363.9741703872165
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,371.1858883204698
0.99,374.6501370285862
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,279.4635213965556
1.09,275.23072055217807
1.1,271.5897095225726
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,183.54582767344667
1.18,179.59604758110987
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,364.39318935246064
1.49,364.0633426375024
1.5,360.0598100627844
1.51,356.35245690152766
1.52,354.154517384939
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,360.6819888990083
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,280.63061055110944
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,375.5597484728357
2.06,371.8205700207071
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,367.2101017813953
