Time,Frequency
0.0,266.9066504564954
0.01,266.0548148189398
0.02,265.23831706435925
0.03,263.8778975086222
0.04,262.7320155741005
0.05,261.90467780537824
0.06,261.53618605787256
0.07,262.1894825414741
0.08,263.4755407675726
0.09,265.14754164306146
0.1,267.285276720926
0.11,269.0879424014263
0.12,271.2487462761428
0.13,272.60456599737006
0.14,274.4776344328662
0.15,276.1260213787474
0.16,277.25958229029555
0.17,277.53374551016583
0.18,277.3177239401158
0.19,276.9470718928625
0.2,275.79992754716733
0.21,274.13384749489546
0.22,271.59263054032215
0.23,268.37115066656185
0.24,266.9375764417719
0.25,267.1842290124699
0.26,267.8613749503174
0.27,268.49676824384545
0.28,269.47850145094594
0.29,269.30182158329563
0.3,268.2933864926482
0.31,268.3699739424559
0.32,269.7941773901227
0.33,271.7407859605513
0.34,272.85016522209804
0.35,273.2781107637825
0.36,272.90976201416123
0.37,270.19965346215344
0.38,267.0783905619708
0.39,265.2769754520493
0.4,266.6586595346319
0.41,272.382435178697
0.42,279.70429832933246
0.43,291.0969714842731
0.44,299.49942508928143
0.45,308.1354073669131
0.46,315.5707481885798
0.47,320.8517391912631
0.48,324.07664952019377
0.49,324.6432572587125
0.5,322.16841454496466
0.51,318.08497931163504
0.52,314.85229725457805
0.53,310.7176756799728
0.54,305.91383986340344
0.55,301.98574755398954
0.56,298.0876509076059
0.57,294.7109316164242
0.58,292.72074498663494
0.59,291.9566987356217
0.6,292.1542869857714
0.61,293.06933383376986
0.62,294.618126088174
0.63,296.86932095414613
0.64,300.29867413962626
0.65,304.08139221050425
0.66,306.7315457486574
0.67,308.4142335537283
0.68,309.30707429337485
0.69,309.60866395528666
0.7,308.9841900798782
0.71,307.80734905327745
0.72,305.45921101871306
0.73,302.2987994728283
0.74,298.4058964128942
0.75,292.72526109359666
0.76,288.7631976680721
0.77,285.51548687023467
0.78,281.8022355280326
0.79,279.63335467298305
0.8,279.6266017097535
0.81,281.1103083041612
0.82,285.01659932192484
0.83,290.0114428003622
0.84,293.3837276681608
0.85,296.2278773045675
0.86,298.50276602539503
0.87,300.5916557297045
0.88,301.5014494500325
0.89,300.7140084693689
0.9,nan
0.91,nan
0.92,277.96308907502896
0.93,276.8494781721391
0.94,274.2178451109927
0.95,271.5709304893306
0.96,271.23013837754013
0.97,272.6094668297944
0.98,280.6841874685503
0.99,285.6402188654401
1.0,292.2704021935754
1.01,297.85898092408564
1.02,304.14510956083376
1.03,311.6827054229875
1.04,319.75503778671344
1.05,329.6149831590683
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,311.4197605612486
1.17,309.4672684002585
1.18,309.9978381727341
1.19,311.3693408761449
1.2,312.73593670805366
1.21,314.01912038881625
1.22,314.289643015792
1.23,313.2815339831064
1.24,311.44174984177675
1.25,308.1655332532655
1.26,303.1330724228345
1.27,294.86338124123
1.28,289.2293394681288
1.29,283.8665386212136
1.3,281.3016547073905
1.31,281.64726400611505
1.32,283.6667924836727
1.33,286.95618153227093
1.34,290.33248297867624
1.35,293.21583880112405
1.36,296.43212201117854
1.37,299.59040658767043
1.38,301.8227268959803
1.39,302.1930419531984
1.4,298.771821787151
1.41,291.673819859281
1.42,nan
1.43,277.8651526563062
1.44,276.7777416947728
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,275.46779490131155
1.59,269.90170836786496
1.6,268.4499448773225
1.61,269.451901858705
1.62,270.45472263879685
1.63,271.36364079219953
1.64,271.642774638679
1.65,271.8188125415326
1.66,271.91184945188667
1.67,271.92929196010414
1.68,271.4008149551525
1.69,271.26692013746754
1.7,270.6635075218795
1.71,269.5455050483208
1.72,267.36917191481416
1.73,262.7825770403364
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,199.71721342926872
1.86,205.8701181576668
1.87,211.05897784020868
1.88,215.3829068232435
1.89,217.49186416848048
1.9,217.10302053888796
1.91,215.18876543211468
1.92,211.68451798638677
1.93,207.25927419886816
1.94,203.32859720212195
1.95,200.2609721205733
1.96,198.8729497265962
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,198.84708232012517
2.03,201.3554963500173
2.04,204.0751702023831
2.05,207.18924136876495
2.06,210.88541913650383
2.07,215.6277946634505
2.08,219.26562417096343
2.09,221.22187974004052
2.1,220.93615682115544
2.11,220.0133330591775
2.12,217.79525144778063
2.13,214.21015907154683
2.14,209.79622699389424
2.15,205.4144984528716
2.16,201.27243784885223
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,221.6343870607186
2.28,223.96519969015412
2.29,223.8448588786585
2.3,222.5956136082604
2.31,220.3791027519026
2.32,217.7264339073901
2.33,214.27295605807296
2.34,208.99487461078365
2.35,nan
2.36,197.56684675122216
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,199.77664912645892
2.45,nan
2.46,213.92485716284472
2.47,220.5451923336267
2.48,223.8435155220617
2.49,225.47933818506976
2.5,225.32452239350872
2.51,223.2878825660777
2.52,220.84728637717475
2.53,216.90804812835597
2.54,212.05584959332936
2.55,nan
2.56,198.17966436556213
2.57,nan
2.58,nan
2.59,nan
2.6,nan
2.61,nan
2.62,nan
2.63,nan
2.64,213.02645754266075
2.65,216.7713345331925
2.66,220.58536172255603
2.67,222.41279027818752
2.68,222.8092250515129
2.69,221.2275679030017
2.7,218.07570662386564
2.71,213.54907945479397
2.72,207.9318105683693
2.73,203.4006053507669
2.74,199.3390928933192
2.75,197.88498418382085
2.76,198.4251995911816
2.77,200.9042368535947
2.78,205.17009342240505
2.79,210.3813398633921
2.8,214.13970372829817
2.81,219.3357578511572
2.82,224.21760035703863
2.83,225.30097055188423
2.84,nan
2.85,nan
2.86,208.39847735178387
2.87,nan
2.88,nan
2.89,nan
2.9,258.5830183882296
2.91,260.09445990269694
2.92,nan
2.93,263.70361207682026
2.94,266.22023087536456
2.95,266.43704913538073
2.96,265.2550858215557
2.97,264.6184997829034
2.98,264.78848657377625
2.99,265.62229359490374
3.0,266.33591020186253
3.01,266.9934279793594
3.02,267.6418085714663
3.03,268.576080185626
3.04,268.45273955272575
3.05,267.1634091556826
3.06,264.1976874065576
3.07,nan
3.08,nan
3.09,nan
3.1,nan
3.11,244.959046639965
3.12,244.1449312913537
3.13,242.800683307878
3.14,244.18704065566695
3.15,nan
3.16,265.0444388595771
3.17,268.06099771516574
3.18,268.8937068801556
3.19,268.811656737497
3.2,269.21412029788326
3.21,269.0316281368973
3.22,268.44894392164207
3.23,268.38163495535895
3.24,267.9834810104465
3.25,267.5931883785557
3.26,268.009265699506
3.27,268.26990387144605
3.28,268.5075192697484
3.29,268.9023092153565
3.3,269.14074868172327
3.31,268.9821505557748
3.32,268.694702034112
3.33,268.6403921974578
3.34,268.8701692902722
3.35,268.8975788135805
3.36,268.9532704411034
3.37,268.7165038027296
3.38,267.4682694328591
3.39,266.56064418289253
3.4,265.7726565179985
3.41,265.2124526036327
3.42,265.1347431621988
3.43,264.5202799279373
3.44,264.9122397364324
3.45,265.7293200394532
3.46,266.6445891850368
3.47,268.15191521166065
3.48,269.7271444740603
3.49,270.3837654965077
3.5,271.2100678836149
3.51,271.7517492505726
3.52,272.2873095167548
