Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,350.9659978280714
0.12,354.4674358148365
0.13,354.9938526719634
0.14,351.8428953820061
0.15,351.267201788315
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,350.98381656115305
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,351.7025747528692
0.52,353.7658619666872
0.53,nan
0.54,353.1088981580235
0.55,351.12877248017406
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,316.05633513973214
0.83,nan
0.84,nan
0.85,344.26949916680456
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,355.8276124089384
0.93,356.05486534622867
0.94,357.90460333110127
0.95,nan
0.96,nan
0.97,368.3197229129218
0.98,365.7404300404089
0.99,363.711280420585
1.0,362.06142744218766
1.01,358.49746199269504
1.02,354.2971814187873
1.03,349.7994892329254
1.04,345.81072764439534
1.05,338.83551445103126
1.06,333.00334264453795
1.07,327.8925456773566
1.08,322.18695095254395
1.09,316.20334535341846
1.1,308.97109511652263
1.11,307.62834856118576
1.12,308.8037526307375
1.13,310.7532542062982
1.14,311.57781842662155
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,334.41669434637345
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,356.4414581910746
1.49,351.5792787313087
1.5,346.0074475771695
1.51,nan
1.52,318.50259771260727
1.53,313.038032445975
1.54,312.1964679562771
1.55,313.20371088351965
1.56,317.12004963685973
1.57,321.7943626796698
1.58,326.8929862193989
1.59,331.6068305596343
1.6,nan
1.61,nan
1.62,nan
1.63,367.8214654485472
1.64,368.6031480932391
1.65,367.8701317724684
1.66,365.5210883735381
1.67,361.1951142549453
1.68,354.69104494762354
1.69,347.87362933917314
1.7,nan
1.71,nan
1.72,nan
1.73,332.50338679965665
1.74,337.4464247305466
1.75,342.71194698263844
1.76,347.61728232604094
1.77,354.65064142630524
1.78,361.4965562580856
1.79,366.57797108937416
1.8,369.1170907766761
1.81,368.9965937707243
1.82,366.1711375415228
1.83,359.74243226452165
1.84,351.6928812779262
1.85,343.8678416465657
1.86,332.60972339310564
1.87,326.0008328018798
1.88,323.806998209423
1.89,324.2727081705549
1.9,326.982410348033
1.91,331.1508167697591
1.92,336.5376933042916
1.93,348.1724516524019
1.94,356.0196504346524
1.95,359.53460895591024
1.96,361.0516865926141
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,349.0294267117753
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,334.5862535380794
2.15,339.368277142527
2.16,344.9713102871789
2.17,351.1746955604002
2.18,nan
2.19,372.1411065596821
2.2,376.7399406818526
2.21,379.4572786235119
2.22,380.6241043940298
2.23,379.226645063605
2.24,373.7761849773247
2.25,nan
