Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,299.46505268491813
0.12,306.8911773665515
0.13,312.0813198128679
0.14,315.03316144348355
0.15,316.8685455058078
0.16,316.7580033011882
0.17,315.5877188110358
0.18,312.4660225009184
0.19,307.8149974525165
0.2,300.4460813238308
0.21,nan
0.22,nan
0.23,274.22015712109044
0.24,275.01183031427297
0.25,281.0629576183503
0.26,288.55230459896444
0.27,294.4902641057176
0.28,301.048976004217
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,440.2610521634545
0.34,466.87000674528775
0.35,462.549731113194
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,297.3794155665555
0.45,298.018173051874
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,295.0230652209032
0.55,nan
0.56,nan
0.57,nan
0.58,240.54286998600887
0.59,242.11684442170682
0.6,246.39702751650188
0.61,252.03034766676302
0.62,257.1996282696672
0.63,263.3448418620921
0.64,267.54047423322265
0.65,nan
0.66,nan
0.67,nan
0.68,266.0050632838821
0.69,261.4957212116115
0.7,256.2376534032041
0.71,252.35085452867563
0.72,248.38756555506416
0.73,246.78688819262388
0.74,246.10450243365588
0.75,246.6931553778656
0.76,248.7768136875602
0.77,253.8427186530264
0.78,258.3546567883297
0.79,260.68569417157204
0.8,261.78377890081583
0.81,261.51730091008966
0.82,260.79115978010947
0.83,259.0215442967325
0.84,256.8455310918207
0.85,252.99880837358054
0.86,250.66749438260285
0.87,251.58582200769533
0.88,256.15739116611826
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,256.39611723276704
1.15,257.90223718557746
1.16,258.77180613507664
1.17,258.1533791166272
1.18,255.71500244157517
1.19,252.16452810620348
1.2,249.2403017901447
1.21,248.02086513980052
1.22,246.7548431211364
1.23,245.7493138759115
1.24,245.2537165955523
1.25,245.94677916489317
1.26,247.37638305416667
1.27,249.668469516022
1.28,252.94032642590903
1.29,256.094075447467
1.3,258.66063498672656
1.31,260.2607833408348
1.32,260.49944361966004
1.33,259.06419343149395
1.34,255.6140265528542
1.35,251.5609078555201
1.36,248.87530894148745
1.37,249.0876764838676
1.38,252.31485599089393
1.39,nan
1.4,nan
1.41,275.5621374245017
1.42,279.30691066395923
1.43,nan
1.44,295.46609623545174
1.45,300.3985902718657
1.46,306.0055737218443
1.47,312.5494056461218
1.48,317.44186630624074
1.49,nan
1.5,nan
1.51,321.9970749629328
1.52,324.7520861288842
1.53,nan
1.54,329.2373823368741
1.55,329.73233473507554
1.56,nan
1.57,nan
1.58,nan
1.59,278.0189286506693
1.6,279.45785501484454
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,312.8654761651313
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,311.4195263465689
1.86,311.6670762658462
1.87,316.85618625088546
1.88,324.8712429470308
1.89,330.9402022815559
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
