Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,272.7058411016328
0.12,272.3188251030699
0.13,272.2000697185667
0.14,272.2863243271471
0.15,270.54640566269893
0.16,267.75324787575806
0.17,266.37702956022406
0.18,267.44616940937163
0.19,269.88087302822623
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,273.5634598462884
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,257.2869206561374
1.13,253.14390626038556
1.14,248.55627062385136
1.15,275.7830023185392
1.16,309.8362606889123
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,396.0185219168927
1.23,396.8451767944509
1.24,400.07118234388815
1.25,406.95752630121495
1.26,413.5496632658884
1.27,nan
1.28,nan
1.29,417.0648220336501
1.3,414.98386125649415
1.31,412.8326262779707
1.32,412.2306379371218
1.33,nan
1.34,nan
1.35,350.8280917554874
1.36,341.93576464921955
1.37,340.4947823581128
1.38,344.6499137373903
1.39,349.2715745388484
1.4,356.53576871256223
1.41,nan
1.42,nan
1.43,413.4644909742196
1.44,421.9252146700527
1.45,430.168708142682
1.46,434.9849123869308
1.47,435.8101312537187
1.48,432.7921229790172
1.49,427.7354835886406
1.5,423.08208747193305
1.51,nan
1.52,nan
1.53,414.409788647819
1.54,422.4787154558778
1.55,430.5369978057322
1.56,438.8548265770637
1.57,nan
1.58,nan
1.59,488.0368534140581
1.6,497.00800988930985
1.61,503.97237163242266
1.62,506.2712697436337
1.63,502.01072477073234
1.64,489.5862439298747
1.65,479.66897503370507
1.66,479.91747467515785
1.67,nan
1.68,nan
1.69,483.4273402921772
1.7,473.94810778844425
1.71,463.44062229714336
1.72,454.2371110016244
1.73,449.06983951356636
1.74,446.47612873445513
1.75,445.80182736778346
1.76,446.18114077058885
1.77,446.69695801661527
1.78,447.2320707962908
1.79,448.1754567608422
1.8,448.2444142928864
1.81,446.04585793615115
1.82,442.8457289471688
1.83,439.7154996222496
1.84,438.0704813700077
1.85,436.1352491869761
1.86,436.615443419991
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,459.1670411153733
1.94,462.3887724460807
1.95,463.65362093750804
1.96,464.6691008340021
1.97,464.9532242788412
1.98,464.2233985251881
1.99,460.4112910253284
2.0,nan
2.01,435.5698301170192
2.02,426.77997249430285
2.03,413.2985660993721
2.04,402.5359083694392
2.05,397.51721373732295
2.06,394.8964099785102
2.07,394.4551644489409
2.08,396.0079687458484
2.09,398.63002614869913
2.1,nan
2.11,401.1823464051507
2.12,397.58387024374383
2.13,395.3429028611546
2.14,395.13734946233177
2.15,394.4870309831658
2.16,391.15542581942975
2.17,385.6628953957263
2.18,381.559442505266
2.19,378.6984040945992
