Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,179.31579901676406
0.16,nan
0.17,176.9832410294441
0.18,175.23109681993705
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,277.20637853732165
0.25,274.7365093026772
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,175.8855956177523
0.82,177.8090753569937
0.83,178.62818962245296
0.84,176.93993162585792
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,154.73475071873042
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,183.43241018235457
0.99,182.74125869685167
1.0,181.31438291695488
1.01,180.183515490112
1.02,177.01176798176206
1.03,174.0592302091147
1.04,169.98385512814352
1.05,167.17003017857436
1.06,165.30416289101314
1.07,164.94813453300267
1.08,165.30412666213746
1.09,166.3791694402487
1.1,167.9488393211465
1.11,167.88116144725765
1.12,166.57533114004536
1.13,165.43096983633615
1.14,164.5086382753146
1.15,163.1231759332701
1.16,nan
1.17,158.62970195945425
1.18,158.81717328998536
1.19,157.9998333696196
1.2,nan
1.21,nan
1.22,142.2854163584444
1.23,140.73253033132195
1.24,139.2181951866529
1.25,138.2886945894585
1.26,138.52725623142385
1.27,140.40157523720129
1.28,144.22463492766568
1.29,148.2866906817102
1.3,152.6873172660089
1.31,158.3125607852612
1.32,162.05645906318836
1.33,163.60153391718413
1.34,163.87668540090567
1.35,163.30050982996116
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,154.69394038146825
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,217.79426853921694
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,211.70105959713257
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,206.00022020363008
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,205.65051708454712
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,249.90583838585422
2.16,247.13528414959288
2.17,242.30430956373357
2.18,nan
2.19,nan
2.2,215.12733941625547
2.21,212.08688215369256
2.22,211.23771640580813
2.23,213.15246498611353
2.24,218.44018391432897
2.25,224.67067018715343
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,323.2123686912616
2.31,325.4036768341514
2.32,325.4856181836333
2.33,324.15421816046467
2.34,319.052067598126
2.35,314.3261447944378
2.36,nan
2.37,nan
2.38,nan
2.39,nan
